case,variant,cores,status,makespan_cycles,original_copy_bytes,scheduled_copy_bytes,added_copy_bytes,cache_hit_rate,cache_hit_bytes,wall_seconds,error
case_091,q3,4,ok,2305508,6577656,73968792,67391136,0.21136449323071077,15625504,16.7,
case_091,q3,5,ok,1865837,6577656,77856760,71279104,0.23456067165848588,18252288,15.585,
case_092,singlecore,1,ok,4815554,3256928,69257024,66000096,,,123.209,
case_092,q1,2,ok,2828252,3256928,69646016,66389088,,,68.819,
case_092,q1,3,ok,2231804,3256928,70041664,66784736,,,43.772,
case_092,q1,4,ok,1927728,3256928,70437312,67180384,,,33.883,
case_092,q1,5,ok,1661234,3256928,70237184,66980256,,,57.463,
case_092,q2,1,ok,4815554,3256928,69257024,66000096,,,15.499,
case_092,q2,2,ok,2828252,3256928,69646016,66389088,,,10.288,
case_092,q2,3,ok,2231804,3256928,70041664,66784736,,,8.343,
case_092,q2,4,ok,1927728,3256928,70437312,67180384,,,7.349,
case_092,q2,5,ok,1649430,3256928,70237184,66980256,,,6.845,
case_092,q3,1,ok,4333631,3256928,69257024,66000096,0.7935495964003455,52970464,15.204,
case_092,q3,2,ok,2358868,3256928,69646016,66389088,0.7591771943849205,50993920,9.557,
case_092,q3,3,ok,1792534,3256928,70041664,66784736,0.6541586932458932,44215392,8.133,
case_092,q3,4,ok,1470508,3256928,70437312,67180384,0.6479121478881523,44066112,7.631,
case_092,q3,5,ok,1351088,3256928,70237184,66980256,0.580675424788359,39473888,6.863,
