version,phase,case,cores,source_sha256,tensor_id,size_bytes,start_event,start_cycle,end_event,end_cycle,evicted
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004133,6144,3790,437954,3962,466656,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004149,6144,3791,437954,3962,466656,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004171,18432,3794,439062,3962,466656,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004187,18432,3795,439062,3963,466656,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004165,6144,3798,439268,3970,467970,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004181,6144,3799,439268,3970,467970,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004203,18432,3802,440376,3970,467970,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004219,18432,3803,440376,3971,467970,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004197,6144,3806,440582,3978,469284,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004213,6144,3807,440582,3978,469284,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004235,18432,3810,441690,3978,469284,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004251,18432,3811,441690,3979,469284,True
