case,question,cores,method,selected,makespan,reference_cycles,raw_speedup_vs_original_singlecore,same_plan_cache_gain,generation_seconds,plan_sha256
case_050,1,3,trained,valley_stage,77313,149690,1.9361556271260978,,0.712712399996235,a99ff99f87774285c20719cdf7d32d8d6da0813a9ca6cb09f0c1d3f577eef8fc
case_065,1,3,component_scalar,component_scalar,22057,53068,2.405948225053271,,0.10024260000500362,eb475a35174e4ae5726ca2cb00f0a8f64642fc863a40502609ea2aab4fd34331
case_065,1,3,trained,component_scalar_coalesced,18032,53068,2.9429902395740903,,0.09515939999255352,6ac8ee021000f9eff93ecf814c8709bc6afe6f64d0d9acd68ce74ae4ea154b7d
case_080,1,3,component_scalar,component_scalar,120710,292138,2.420164029492171,,0.08972910000011325,1b836b8fe381619d67a7b600737256ef25b3b6c8562e591b7f135c0e6e33c54f
case_080,1,3,trained,component_scalar_coalesced,100325,292138,2.9119162721156244,,0.08564829999522772,a0208e4401856390a239a990b09e9293842b3269aa42537b4bdcd64d3316085c
case_002,1,4,component_scalar,component_scalar,261945,261945,1.0,,0.14747470000293106,6f96441e5edd993e52ed45f0512f3d3abad20aebe58a72dbf33c1d3735cfe6f2
case_002,1,4,trained,depth_band,74270,261945,3.526928773394372,,0.1472939000086626,adf8b817f369fafe86bf73c776cd4550742aafaeea7e019574475346be61c8b9
case_005,1,4,component_scalar,component_scalar,95618,95618,1.0,,0.44675900001311675,f1444fa52f5324a2e3eb0e1b57c9bc56620269d1491e4c453528c1c1ff878e17
case_005,1,4,trained,valley_stage,44709,95618,2.1386745398018294,,0.4264507999905618,76845edad4b20b062ed82a92b54fae5351d64201b505022f0b901c9ab6470cc5
case_012,1,4,component_scalar,component_scalar,21020,59088,2.811037107516651,,0.17636070000298787,488e94525327923b1bcb2bb9488d1b38841050e03cd21dc9f1532dd4365fc24d
case_012,1,4,trained,component_scalar_coalesced,15863,59088,3.7248944083716826,,0.17764550000720192,2049b6e4cfe3e425aa3ea0492c43b9cb2f4a7cd01d48f53f39bac66b08d763fa
case_050,1,4,component_scalar,component_scalar,108147,149690,1.384134557592906,,0.6849767999956384,8e72296f2c27d9d05b42448c3da2ec688250f675a11d8519aac220974409cfc7
case_050,1,4,trained,valley_stage,61875,149690,2.419232323232323,,0.698707799994736,20fafbe106c7330fa0fed34c6f91e58b4f7ae18256ec24a5d2bf88da8d10ab2d
