case,question,cores,method,selected,makespan,reference_cycles,raw_speedup_vs_original_singlecore,same_plan_cache_gain,generation_seconds,plan_sha256
case_050,3,3,component_scalar,component_scalar,108134,149690,1.384300959920099,1.0,0.47596479998901486,f73af26c7d372bf8d9a8a65854356c5c008b5468816081a1930529d1067969a6
case_050,3,3,trained,valley_stage,62080,149690,2.411243556701031,1.0009826030927835,0.4736165000067558,a99ff99f87774285c20719cdf7d32d8d6da0813a9ca6cb09f0c1d3f577eef8fc
case_065,3,3,component_scalar,component_scalar,18750,53068,2.8302933333333335,1.0,0.05962450000515673,eb475a35174e4ae5726ca2cb00f0a8f64642fc863a40502609ea2aab4fd34331
case_065,3,3,trained,component_affinity,18875,53068,2.8115496688741723,1.000953642384106,0.05846240000391845,6569801cb1b8f25f8a9bac0524c02490112114f786498e121bd4c79748a3c005
case_080,3,3,component_scalar,component_scalar,100325,292138,2.9119162721156244,1.0,0.11410099999920931,1b836b8fe381619d67a7b600737256ef25b3b6c8562e591b7f135c0e6e33c54f
case_080,3,3,trained,component_scalar,100325,292138,2.9119162721156244,1.0,0.10429409999051131,1b836b8fe381619d67a7b600737256ef25b3b6c8562e591b7f135c0e6e33c54f
case_002,3,4,component_scalar,component_scalar,261945,261945,1.0,1.0,0.1329466000024695,6f96441e5edd993e52ed45f0512f3d3abad20aebe58a72dbf33c1d3735cfe6f2
case_002,3,4,trained,depth_band,65838,261945,3.9786293629818648,1.0,0.1330389000067953,adf8b817f369fafe86bf73c776cd4550742aafaeea7e019574475346be61c8b9
case_005,3,4,component_scalar,component_scalar,95618,95618,1.0,1.0,0.3668636999937007,f1444fa52f5324a2e3eb0e1b57c9bc56620269d1491e4c453528c1c1ff878e17
case_005,3,4,trained,valley_stage,32335,95618,2.957105303850317,1.0660275243544146,0.3779703000036534,76845edad4b20b062ed82a92b54fae5351d64201b505022f0b901c9ab6470cc5
case_012,3,4,component_scalar,component_scalar,15547,59088,3.8006046182543254,1.0,0.19378929999948014,488e94525327923b1bcb2bb9488d1b38841050e03cd21dc9f1532dd4365fc24d
case_012,3,4,trained,component_scalar,15547,59088,3.8006046182543254,1.0,0.19048570000450127,488e94525327923b1bcb2bb9488d1b38841050e03cd21dc9f1532dd4365fc24d
case_050,3,4,component_scalar,component_scalar,108147,149690,1.384134557592906,1.0,0.47485329999472015,8e72296f2c27d9d05b42448c3da2ec688250f675a11d8519aac220974409cfc7
case_050,3,4,trained,valley_stage,49986,149690,2.994638498779658,1.0091425599167767,0.4681951999955345,20fafbe106c7330fa0fed34c6f91e58b4f7ae18256ec24a5d2bf88da8d10ab2d
case_065,3,4,component_scalar,component_scalar,14506,53068,3.658348269681511,1.0052392113608162,0.06027769998763688,97e156af9df8ef7a558398f7e2d973d07a20a1bb3a62cd895585db42babcef57
case_065,3,4,trained,component_scalar,14506,53068,3.658348269681511,1.0052392113608162,0.06298580000293441,97e156af9df8ef7a558398f7e2d973d07a20a1bb3a62cd895585db42babcef57
case_080,3,4,component_scalar,component_scalar,90584,292138,3.225050781594984,1.228848361741588,0.2032032999995863,8a72c15554850ef0c17d774745a2bfe67c5179b04b9b64cc784888ecf7d4b851
case_080,3,4,trained,component_affinity_reuse_order,90584,292138,3.225050781594984,1.0332729841914687,0.1986443999921903,d010de391d7f52e5599b1deded672ee6339e220fba210210f0fd2df2b7fdafdf
case_002,3,5,component_scalar,component_scalar,261945,261945,1.0,1.0,0.15952099999412894,b6d1897b01a243057b34298838cb1860ed1197f5357eae433b6a79204f53b67b
case_002,3,5,trained,mask_band,55721,261945,4.701010391055437,1.0821234364063819,0.1450465000089025,68cc0892444692289fa41548ff2f48bd0fd70ca3c4efb5eb06411639f2dbe45d
case_005,3,5,component_scalar,component_scalar,95618,95618,1.0,1.0,0.4239696000004187,817de67f7640136b4fd86538641bbb80d53d344cb4c3a7b10571c1d728d5cd2b
case_005,3,5,trained,valley_stage,28247,95618,3.385067440790172,1.179523489220094,0.3955963999906089,d91ead82490c19d082d1ad0bc20946c792363871b8b1ccf7a519e85a5f4b6350
case_012,3,5,component_scalar,component_scalar,13445,59088,4.3947936035701005,1.0,0.26256080000894144,b650d02aee835516ff256bf289262837229be51fee83f8c45b9dafcbb0bfa1b4
case_012,3,5,trained,component_scalar,13445,59088,4.3947936035701005,1.0,0.24111199998878874,b650d02aee835516ff256bf289262837229be51fee83f8c45b9dafcbb0bfa1b4
case_050,3,5,component_scalar,component_scalar,108160,149690,1.3839681952662721,1.0,0.5158123000001069,5a1f84d0f47d21a7127b72459dfba2bf4b4717a9e2a13b451768e07b135668a3
case_050,3,5,trained,valley_stage,44949,149690,3.330218692295713,1.0091214487530311,0.4980349999968894,04981249726083cbc5f65077fc2fde10eac8f7a3a48df3ecf4997637fb89ba56
case_065,3,5,component_scalar,component_scalar,11610,53068,4.5708871662360036,1.0,0.06303750000370201,72ce7b61327a2000204a77d6547aebf5f5ee9e3296a3f117c4e2b7fe5a356143
case_065,3,5,trained,component_scalar,11610,53068,4.5708871662360036,1.0,0.06748650000372436,72ce7b61327a2000204a77d6547aebf5f5ee9e3296a3f117c4e2b7fe5a356143
case_080,3,5,component_scalar,component_scalar,90408,292138,3.2313290859215997,1.2549221307848863,0.2411778000096092,8c6f80bee7f45cb4dfb447432deb2338e807b76a5e382c2fc03468c5f14e8fab
case_080,3,5,trained,component_affinity_reuse_order,85226,292138,3.427803721868913,1.0797995916739023,0.2440887999982806,fe2828a3eda35a5b6b8d0fa7361351c73dfe31671a7c4572c7b5d8dc02c9cdf5
