case,variant,cores,status,makespan_cycles,original_copy_bytes,scheduled_copy_bytes,added_copy_bytes,cache_hit_rate,cache_hit_bytes,wall_seconds,error
case_004,q3,5,ok,88341,792576,1234944,442368,0.0,0,0.097,
case_004,singlecore,1,ok,392357,792576,792576,0,,,0.168,
case_005,q1,2,ok,95618,333414,333414,0,,,2.378,
case_005,q1,3,ok,95618,333414,333414,0,,,2.416,
case_005,q1,4,ok,95618,333414,333414,0,,,2.505,
case_005,q1,5,ok,95618,333414,333414,0,,,2.413,
case_005,q2,1,ok,95618,333414,333414,0,,,0.586,
case_005,q2,2,ok,95618,333414,333414,0,,,0.591,
case_005,q2,3,ok,95618,333414,333414,0,,,0.61,
case_005,q2,4,ok,95618,333414,333414,0,,,0.678,
case_005,q2,5,ok,95618,333414,333414,0,,,0.665,
case_005,q3,1,ok,95618,333414,333414,0,0.0,0,0.657,
case_005,q3,2,ok,95618,333414,333414,0,0.0,0,0.635,
case_005,q3,3,ok,95618,333414,333414,0,0.0,0,0.647,
case_005,q3,4,ok,95618,333414,333414,0,0.0,0,0.662,
case_005,q3,5,ok,95618,333414,333414,0,0.0,0,0.617,
case_005,singlecore,1,ok,95618,333414,333414,0,,,2.344,
case_006,q1,2,ok,46100,543348,572924,29576,,,0.136,
case_006,q1,3,ok,31153,543348,573428,30080,,,0.13,
case_006,q1,4,ok,31428,543348,576884,33536,,,0.136,
case_006,q1,5,ok,31733,543348,606964,63616,,,0.138,
case_006,q2,1,ok,82837,543348,559748,16400,,,0.079,
case_006,q2,2,ok,46100,543348,572924,29576,,,0.076,
case_006,q2,3,ok,31153,543348,573428,30080,,,0.079,
case_006,q2,4,ok,31428,543348,576884,33536,,,0.087,
case_006,q2,5,ok,31733,543348,606964,63616,,,0.09,
case_006,q3,1,ok,82837,543348,559748,16400,0.029275126148920052,16384,0.095,
case_006,q3,2,ok,46100,543348,572924,29576,0.05161686765496582,29568,0.091,
case_006,q3,3,ok,31153,543348,573428,30080,0.05246414020204275,30080,0.092,
case_006,q3,4,ok,31428,543348,576884,33536,0.041497919556171985,23936,0.086,
case_006,q3,5,ok,31733,543348,606964,63616,0.07318745056683364,44416,0.089,
case_006,singlecore,1,ok,82837,543348,559748,16400,,,0.136,
case_007,q1,2,ok,507494,1732608,1760256,27648,,,2.05,
case_007,q1,3,ok,338094,1732608,1787904,55296,,,1.411,
case_007,q1,4,ok,254398,1732608,1815552,82944,,,1.124,
case_007,q1,5,ok,203834,1732608,1843200,110592,,,0.977,
case_007,q2,1,ok,1012562,1732608,1732608,0,,,0.773,
case_007,q2,2,ok,507494,1732608,1760256,27648,,,0.632,
case_007,q2,3,ok,338094,1732608,1787904,55296,,,0.612,
case_007,q2,4,ok,254398,1732608,1815552,82944,,,0.551,
case_007,q2,5,ok,203834,1732608,1843200,110592,,,0.517,
case_007,q3,1,ok,1012562,1732608,1732608,0,0.0,0,0.829,
case_007,q3,2,ok,507494,1732608,1760256,27648,0.0,0,0.657,
case_007,q3,3,ok,338094,1732608,1787904,55296,0.0,0,0.607,
case_007,q3,4,ok,254398,1732608,1815552,82944,0.0,0,0.607,
case_007,q3,5,ok,203834,1732608,1843200,110592,0.0,0,0.569,
case_007,singlecore,1,ok,1012562,1732608,1732608,0,,,3.477,
case_008,q1,2,ok,244266,2654424,2654424,0,,,0.22,
case_008,q1,3,ok,163359,2654424,2654424,0,,,0.198,
case_008,q1,4,ok,123060,2654424,2654424,0,,,0.18,
case_008,q1,5,ok,100603,2654424,2654424,0,,,0.173,
