case,cores,strategy,status,makespan_cycles,added_copy_bytes,spill_added_copy_bytes,source_strategy,wall_seconds,error
case_020,4,band_w12_k4_trimmed,ok,255940,10551296,6619136,band_w12_k4,1.288,
case_021,2,band_w8_k2_trimmed,ok,3194570,3174400,1638400,band_w8_k2,0.747,
case_021,3,band_w8_k3_trimmed,ok,2144024,7766016,3055616,band_w8_k3,0.879,
case_021,4,band_w8_k4_trimmed,ok,1550324,4608000,0,band_w8_k4,0.605,
case_022,2,band_w4_k2_trimmed,ok,28370,708568,0,band_w4_k2,0.251,
case_022,3,band_w12_k3_trimmed,ok,19579,223748,0,band_w12_k3,0.181,
case_022,4,band_w12_k4_trimmed,ok,15248,223760,0,band_w12_k4,0.196,
case_023,2,band_w4_k2_trimmed,ok,58867,855920,199192,band_w4_k2,0.176,
case_023,3,band_w4_k3_trimmed,ok,37942,1147244,34816,band_w4_k3,0.197,
case_023,4,band_w12_k4_trimmed,ok,32158,497984,0,band_w12_k4,0.146,
case_024,2,band_w4_k2_trimmed,ok,1376112,2824,0,band_w4_k2,1.349,
case_024,3,band_w4_k3_trimmed,ok,953369,4032,0,band_w4_k3,1.331,
case_024,4,band_w4_k4_trimmed,ok,743623,4836,0,band_w4_k4,1.362,
case_025,2,band_w8_k2_trimmed,ok,2431840,27648,0,band_w8_k2,7.474,
case_025,3,band_w8_k3_trimmed,ok,1622164,55296,0,band_w8_k3,6.244,
case_025,4,band_w8_k4_trimmed,ok,1217444,82944,0,band_w8_k4,5.706,
case_026,2,band_w4_k2_trimmed,ok,61382,1132684,152064,band_w4_k2,0.114,
case_026,3,band_w12_k3_trimmed,ok,42932,153280,0,band_w12_k3,0.084,
case_026,4,band_w12_k4_trimmed,ok,42773,316020,0,band_w12_k4,0.084,
case_027,2,band_w12_k2_trimmed,ok,1225168,13344768,5947392,band_w12_k2,0.36,
case_027,3,band_w12_k3_trimmed,ok,850527,14141440,4147200,band_w12_k3,0.393,
case_027,4,band_w12_k4_trimmed,ok,707492,13443072,688128,band_w12_k4,0.413,
case_028,2,band_w4_k2_trimmed,ok,20602291,41688192,39447552,band_w4_k2,9.295,
case_028,3,band_w4_k3_trimmed,ok,13725435,33456384,29159424,band_w4_k3,8.006,
case_028,4,band_w4_k4_trimmed,ok,10387905,34603392,14057472,band_w4_k4,7.792,
case_029,2,band_w4_k2_trimmed,ok,19706,266326,0,band_w4_k2,0.16,
case_029,3,band_w12_k3_trimmed,ok,12743,0,0,band_w12_k3,0.125,
case_029,4,band_w12_k4_trimmed,ok,11028,0,0,band_w12_k4,0.115,
case_030,2,band_w12_k2_trimmed,ok,1401423,6940672,4989952,band_w12_k2,2.43,
case_030,3,band_w8_k3_trimmed,ok,933815,6868416,2966528,band_w8_k3,2.56,
case_030,4,band_w12_k4_trimmed,ok,699591,8632320,3377152,band_w12_k4,2.316,
case_031,2,band_w12_k2_trimmed,ok,714328,5943150,3755616,band_w12_k2,1.565,
case_031,3,band_w8_k3_trimmed,ok,484719,4003202,1046780,band_w8_k3,1.332,
case_031,4,band_w12_k4_trimmed,ok,363420,8740064,2816736,band_w12_k4,1.443,
case_032,2,band_w4_k2_trimmed,ok,20568,288944,0,band_w4_k2,0.144,
case_032,3,band_w8_k3_trimmed,ok,14950,221452,0,band_w8_k3,0.135,
case_032,4,band_w8_k4_trimmed,ok,14154,187652,0,band_w8_k4,0.139,
case_033,2,band_w8_k2_trimmed,ok,893740,6290596,3917864,band_w8_k2,0.805,
case_033,3,band_w8_k3_trimmed,ok,598061,7528152,2903572,band_w8_k3,0.922,
case_033,4,band_w4_k4_trimmed,ok,451620,10032392,1225728,band_w4_k4,0.891,
case_034,2,band_w12_k2_trimmed,ok,423298,2413628,772628,band_w12_k2,0.743,
case_034,3,band_w12_k3_trimmed,ok,282179,3616304,446984,band_w12_k3,0.808,
case_034,4,band_w12_k4_trimmed,ok,233336,4076084,204812,band_w12_k4,0.827,
case_035,2,band_w4_k2_trimmed,ok,101580,1010566,0,band_w4_k2,0.81,
case_035,3,band_w8_k3_trimmed,ok,80298,1106104,0,band_w8_k3,0.732,
case_035,4,band_w4_k4_trimmed,ok,73607,1772670,0,band_w4_k4,0.947,
case_036,2,band_w4_k2_trimmed,ok,466068,1152,0,band_w4_k2,0.596,
case_036,3,band_w4_k3_trimmed,ok,311345,2304,0,band_w4_k3,0.482,
case_036,4,band_w4_k4_trimmed,ok,233584,3456,0,band_w4_k4,0.502,
case_037,2,band_w8_k2_trimmed,ok,105374,204800,0,band_w8_k2,0.105,
case_037,3,band_w4_k3_trimmed,ok,73521,1310720,0,band_w4_k3,0.149,
case_037,4,band_w8_k4_trimmed,ok,53320,614400,0,band_w8_k4,0.127,
case_038,2,band_w8_k2_trimmed,ok,680340,4273240,2776576,band_w8_k2,1.269,
