case,cores,status,no_l2_cycles,l2_cycles,no_l2_added_bytes,l2_added_bytes,cache_hit_rate,hit_bytes,miss_bytes,cache_gain,seconds,plan_sha256,error,l2_speedup,no_l2_speedup,q2_cycles,vs_q2_gain
case_022,5,ok,11828,11828,20736,20736,0.08851098704092608,20736,213540,1.0,0.5326318000002175,4b0a839d963f84618d63b838e1466cf86d074860f725b71414452cc54f2f2ebb,,4.800473452823808,4.800473452823808,11828.0,1.0
case_023,5,ok,25191,25191,280992,280992,0.32420005761319176,231840,483274,1.0,0.4432209999999941,87fe7e47b1da5f384331823dae640a2845e310bfcb7fa803ac0e99121fb4acc5,,4.867373268230717,4.867373268230717,25191.0,1.0
case_024,5,ok,744621,744621,5236,5236,0.0015157869207799229,600,395234,1.0,4.664130899999691,40d76d768c7f0a3558aa70d931163983df3fa785b831f842ae9e36adcf806835,,3.4317364135580384,3.4317364135580384,795102.0,1.0677942201468935
case_025,5,ok,975282,975282,110592,110592,0.0,0,4233216,1.0,14.2754702000002,90e35fe8ad5d4818ae1c9cebf2efe3b99d71562395d28e21e23963bef3f5dd53,,4.986276789687495,4.986276789687495,975282.0,1.0
case_026,5,ok,43993,36584,1525308,1525308,0.31887925017978597,480662,1026686,1.2025202274218239,0.5031966999999895,85f420810481cd13a4f49152da7e9ee9765bfdbc39ac8f62eb5d65dd55abceba,,2.7116499015963265,2.254972381969859,44114.0,1.2058276842335447
case_027,5,ok,567064,567064,18718720,18718720,0.26,3620864,10305536,1.0,1.6773253999999724,5af37f583fe1456d393451595e79cd5db1d5210f2e7f882a128aa307e667b7ab,,4.1687569657040475,4.1687569657040475,558753.0,0.9853438059901528
case_028,5,ok,8242960,8212973,21778944,21778944,0.3349325026479346,6435720,12779256,1.0036511747938293,12.504809900000055,b95256669f76c505500eeef6ba378fdc3131e3a2dea51bbfcb55fe4602753df7,,5.33741435653082,5.317997418403098,8242960.0,1.0036511747938293
case_029,5,ok,9383,9383,0,0,0.0,0,258132,1.0,0.24845270000014352,fc490f7c63596886006b6e90ecde8e209fe53ced0e6d17079335d9c393a3f1f3,,4.002451241607162,4.002451241607162,9383.0,1.0
case_030,5,ok,560856,560562,7669760,7669760,0.7137478375903124,7182336,2880512,1.0005244736532266,4.738866200000302,e065dacf235a888c81cef4c5a87cd95f4aa53532dba78f825bad4a2055f1b821,,5.00931921892672,5.006693340180011,561192.0,1.001123872114057
case_031,5,ok,294518,292431,8696372,8696372,0.5421473684210526,5781324,4882426,1.0071367262704707,2.940447200000108,794c206f4e7ae2284a5b3db865b6af757aa0f15324d149263c4e5951eca2cdfe,,4.836590511949828,4.802317685166951,308135.0,1.0537015569484767
case_032,5,ok,10415,10391,12360,12360,0.028348358237626752,8264,283252,1.0023096910788183,0.23297039999988556,07f86d797d43e1bfed97cbc8ee174678f1e6da5926769783bb19e09ff9ea6aaa,,3.988355307477625,3.9791646663466156,10415.0,1.0023096910788183
case_033,5,ok,362856,360688,8163996,8163996,0.3235065398276502,3531904,7385662,1.0060107350397018,1.6780724000000191,1a0ee8b5de2ca6f385c8ed6178bcd7d14a32ab0f2d1a5aa36e31755cb0167222,,4.918921616466309,4.889531935533655,362856.0,1.0060107350397018
case_034,5,ok,178096,177225,3536896,3536896,0.571335836393393,3323392,2493488,1.0049146565100862,1.5410374000002776,806c10d4431d08eb22870d06d30ee02f2ab1c0ae00a504ec0254644a536b3b26,,4.756642685851319,4.733379750247058,178096.0,1.0049146565100862
case_035,5,ok,73126,72982,1562242,1562242,0.2859801014062948,358722,895638,1.0019730892548848,1.9046048999998675,667076dace8e251bf90d6069450ba3f3b3e9e2924839259de7c2b785262665be,,2.3234633197226713,2.3188879468314965,74644.0,1.0227727384834617
case_036,5,ok,187182,187182,4608,4608,0.0,0,3282560,1.0,1.061869800000295,da277d703ad507b8dc3ac2079d0b3bb7380686b9e2f3f2eff6d7f0b84a43c63c,,4.976493466252097,4.976493466252097,187182.0,1.0
case_037,5,ok,43013,43013,942080,942080,0.4222222222222222,622592,851968,1.0,0.3382000000001426,aa54eafb8549a0852d9bb2262d73494057d6f0f06fff41c1e80ac2fc4310f7d0,,4.882268151489085,4.882268151489085,44890.0,1.0436379699160718
case_038,5,ok,280243,280192,7592448,7592448,0.6323255114059425,6567936,3819018,1.0001820180447694,2.8667577999999594,e6faab60ff18a096a2cdf76240e75d3f11012899bd22c51cf927b5be3e685fc5,,4.870071236866149,4.869184957340594,291895.0,1.0417677878026497
case_039,5,ok,529845,451777,23437312,23437312,0.2529327022020992,5033984,14868480,1.1728020682770481,4.080441600000086,8abed586e800a7d1749d6ab1d328ba0d231e279cd4f29e1065bb7c89abe63114,,3.1769257841811336,2.708833715520577,431161.0,0.9543668668391706
case_040,5,ok,111360,107362,3502676,3502676,0.17604522030094083,511392,2393498,1.037238501518228,1.7918941000002633,915150765db3a80713b50f7dad13a24c52b04ef3af93b9080ecc6a38dcc9d20f,,2.3607421620312588,2.2759877873563217,110337.0,1.0277099904994318
case_041,5,ok,1191113,1190984,18745344,18745344,0.43938804615584076,10411008,13283328,1.0001083137976665,9.975443199999972,43e86a63a1e72a8b526b818d22fdc2b40822ca8aacc7e713f84acfb21bcec95f,,5.041173517024578,5.040627547512285,1208717.0,1.0148893687908487
case_042,5,ok,363216,362801,5065728,5065728,0.5131080819174365,3812352,3617568,1.0011438777732145,2.0174087000000327,cf4a3ba93316a53d9030fe4c0b7d10e7255e4ec303be250f76ae64838e058eb3,,4.6492154101008545,4.64390335227523,362266.0,0.9985253623887476
case_043,5,ok,215152,212411,6231888,6231888,0.4813540053388337,2736924,2948962,1.012904228123779,5.730679099999634,dad670f9d1b79073f1ab229d2d57514ca6decd26720c86af840762fc063602bf,,3.1903055868104757,3.1496616345653305,269612.0,1.2692939631186708
case_044,5,ok,83237,83141,3721600,3721600,0.000424427878065978,1984,4672544,1.0011546649667433,0.4497801000002255,037635b4b1ba83a6ec558b22468b0f1c19e0f4ca324d7def8141fb9e0a5033c8,,1.8571703491658749,1.855028412845249,83237.0,1.0011546649667433
case_045,5,ok,26164,26164,0,0,0.0,0,278528,1.0,0.5271826999996847,750f9eea70a4f66f706c0d7672961e27b7f41237fe5f05ab6e27f1c0e7134214,,4.801024308209754,4.801024308209754,26164.0,1.0
case_046,5,ok,95335,94751,3721600,3721600,0.00813984249404774,38400,4679136,1.0061635233401232,0.426683900000171,a16b928e56cd55900a92b9729703ca028450b3086baf8d9761a8d74c9692dc05,,2.9177000770440418,2.8998269261026905,95335.0,1.0061635233401232
case_047,5,ok,94714,90802,2392856,2392856,0.5558310854860439,1103248,881614,1.0430827514812449,7.731605400000262,ad2735f7a4f027a0586e02e7a97b359da58cdc045f3a3ef3dd8ed5cbb1a7140f,,3.595823880531266,3.4473045167557066,94756.0,1.043545296359111
case_048,5,ok,111467,110747,1462006,1462006,0.2584913533921055,314676,902680,1.00650130477575,1.1308748000001287,80c5a6cd67f579ab3330565d6d1c7ac9a61d8cf16e45339eb070d8075b053401,,2.006555482315548,1.9935945167628086,127339.0,1.1498189567211754
case_049,5,ok,97747,96061,1726740,1726740,0.26020020444770187,269812,767128,1.0175513475812243,1.9412382999998954,fd350a3215ce3077600bbb99396c7106a654b4553491f9bd83027132e80787c8,,2.0432433557843455,2.008000245531832,97747.0,1.0175513475812243
case_050,5,ok,47714,46479,1526304,1526304,0.3971961537446213,481478,730714,1.0265711396544677,2.326253500000348,171dcea75e81965a859a03b2a0d053096cf2114c91ceb58ef8802b18529ccce9,,3.220594246864175,3.1372343546967345,47714.0,1.0265711396544677
case_051,5,ok,179133,179133,1232,1232,0.0003504032176156331,138,393694,1.0,0.5495689999997921,dbd02c5cb1ba1d5ec44d504748df02af50e0b78c00b24d62dcbd94c88dfcdefd,,3.392049482786533,3.392049482786533,191961.0,1.0716115958533603
case_052,5,ok,47570,44514,1217204,1217204,0.307288522306825,530372,1195602,1.068652558745563,0.5041034999999283,f51d68410c08d2789d8e40d4a09615ba7f5e788fbcfd88edb252cd157fe64628,,4.050433571460664,3.79022493167963,51670.0,1.1607584130835242
case_053,5,ok,368746,351878,12803730,12803730,0.25416871472482877,3039472,8919010,1.0479370690978123,9.82490770000004,82cfbc09922f3964eb15cebd5e950b793ca5ba6496ddce45bb90338272091378,,4.185217603828599,3.993768067992602,520446.0,1.4790523988427808
case_054,5,ok,202096,198945,2922392,2922392,0.3446998185438639,1186130,2254922,1.0158385483425068,8.68043230000012,eaa8bdb25df6d25770158c8bc8f1050870ad4bb99c310c745ad9dca3c0fb2d69,,4.0968659679811,4.032989272424986,202096.0,1.0158385483425068
case_055,5,ok,26322,26322,198656,198656,0.22421598645232355,184832,639516,1.0,0.3473564000000806,21a11a5c22ad33a895d0410f7df20873c0ad33175dc0cf5f4815fdd5cae1ec20,,4.5146645391687565,4.5146645391687565,26781.0,1.0174378846592205
case_056,5,ok,96721,93868,3976084,3976084,0.30292541793528865,704012,1620032,1.0303937444070397,4.909249799999998,d1fb33058fad0b747469a1cd4d7a91e30c61f261b7add26eceb51e19520372df,,2.9539885797076746,2.866854147496407,112895.0,1.2026995355179615
case_057,5,ok,16538,16538,27936,27936,0.0007900714356256378,288,364236,1.0,0.24670609999975568,a02ee1e7633ab38df913f29108c4479d0fbce24a1a5795a7c099f24bd16b97dd,,3.6114403192647235,3.6114403192647235,16538.0,1.0
case_058,5,ok,902745,897570,30834688,30834688,0.4548933843630399,17039360,20418560,1.0057655670309837,10.545683899999858,aabab24b86e7a8e3b6e28cb3ad2d2603172ad91b77739bedcf7ed062f94e2554,,5.057786022260102,5.028792183839291,1004819.0,1.1194881736243414
case_059,5,ok,150782,150736,2072576,2072576,0.5441558441558442,1716224,1437696,1.0003051693026217,0.9875640000000203,ee975abc4d70a9fb4a5805922c30a2bb6196d26df48b5e22fb6e18812bcfa961,,5.502819498991615,5.501140719714555,150782.0,1.0003051693026217
case_060,5,ok,183272,182846,4290944,4290944,0.5288935018886729,3379456,3010216,1.0023298294739835,2.363880600000357,f83edc0910763ec026efc64771a9170d73cedfbaf0f783d5bdd4bc7ad0700566,,4.860861052470385,4.849562399057139,183272.0,1.0023298294739835
case_061,5,ok,22283,22283,83712,83712,0.0721818309257855,45312,582436,1.0,0.3489897999997993,e4ce62e76fe0dccea09f1d5a8b716e614289099044914b8f4e7eaf316a2241c6,,3.46412063007674,3.46412063007674,20949.0,0.9401337342368622
case_062,5,ok,650815,650815,6445056,6445056,0.0,0,16622592,1.0,16.02031950000037,5010aa4ef2b0d520d578640ca2b226a585694afa25ecc7394eb79f442ee951fa,,4.386513832655978,4.386513832655978,567755.0,0.8723754062214301
case_063,5,ok,244633,244633,2257920,2257920,0.0,0,6148608,1.0,4.233293799999956,4bc2f1c1a600b64942a1d316e896916ec13b038cc4975edd1a46ba64f833b6c2,,4.375521699852432,4.375521699852432,373335.0,1.526102365584365
case_064,5,ok,12480,12478,150100,150100,0.3481722041801982,41812,78278,1.0001602820964899,0.35071990000005826,8529f11e048d620ac252002c1d39ff76aea518d2c0f69629f93b476907cd4396,,1.5319762782497195,1.5317307692307693,10292.0,0.8248116685366245
case_065,5,ok,12156,12156,55584,55584,0.156440681782361,55584,299720,1.0,0.210805000000164,ab305bc1e9330442f90a7ad5d3259be92e9a3e7672bc7c5591673629b812629c,,4.365580783152352,4.365580783152352,12156.0,1.0
case_066,5,ok,94904,91753,2420166,2420166,0.34231322274020703,904638,1738082,1.034342201344915,3.969734899999821,193f5f615d3336965a010c7ae89d66b98be7a2cb8635fbb6d65db45b5dd90eea,,3.913441522348043,3.7835075444659867,94904.0,1.034342201344915
case_067,5,ok,15456614,13333990,176094720,176094720,0.7981793098297304,142261248,35970944,1.1591889599437228,5.512480200000027,d39cb3d42bb41e3a253b0adabfdd0937d0376fd726c3adec5c3b3d36bb70aa3b,,4.787376771693994,4.129936478972691,15329318.0,1.1496422301201665
case_068,5,ok,123877,107948,3420288,3420288,0.3565161877012443,1921034,3467316,1.147561789009523,3.7937676000001375,7d908de1a945c4cf20af3889faa51475a2607a918ab5c97d0caee92c47f15576,,3.354346537221625,2.923020415412062,123877.0,1.147561789009523
case_069,5,ok,11229,10312,310288,310288,0.3160104254523086,99664,215718,1.0889255236617532,0.460045700000137,37d9f9d238d0cba325fa5592d2b4be01daf973273abee959e03af444f1f916f4,,2.4383242823894493,2.239202066078903,14614.0,1.4171838634600467
case_070,5,ok,28228,27536,462848,462848,0.15486923165810587,136704,746002,1.0251307379430563,0.49405350000006365,abc6cbd944f423ae1b0f3a00fc9de51ad246d0e81d128d3811cdfd2df946b6a6,,4.259877977919814,4.155448490860139,27664.0,1.0046484601975596
case_071,5,ok,7648,7455,266512,266512,0.2810666188568394,81520,208518,1.025888665325285,0.35420280000016646,51c7c4a5e986532787533012e628063fc6b2e54485f3713558f53275948955c8,,2.53775989268947,2.473718619246862,11906.0,1.5970489604292422
case_072,5,ok,4721276,4719933,79266480,79266480,0.10881894569431261,9832824,80526662,1.0002845379372969,19.1921069,10573c10f700be602a1abe1d75f08a41d3005015d64196744b00d78a1a285603,,5.063171023825974,5.061730769393698,4863110.0,1.030334540765727
case_073,5,ok,3243126,2316337,95853568,95853568,0.7088277541240201,70428672,28930688,1.400109742235262,2.1919057000000066,1d1772bae56b2d6452255cbac4b370728ccc05031f8e3f7cac7a1ccde87d5d9e,,4.3524003631595924,3.108613726386209,3224273.0,1.3919705984060178
case_074,5,ok,335626,333481,7770112,7770112,0.26676070838913596,3080192,8466456,1.006432150557303,1.6021654999999555,745d7f838fc73fb39ce0194c4677d67832860226729a92e20d22882cfb7e5966,,5.044482294343606,5.0122427940624386,407970.0,1.223368047954756
case_075,5,ok,369499,365050,6786072,6786072,0.5434347203397736,3367190,2828936,1.0121873715929324,4.09687249999979,b8dd6eb6a01ad22dea7c4c66bc1da679238f348f6fe938ebc8e340691c431ed7,,3.9496205999178193,3.902064687590494,369499.0,1.0121873715929324
case_076,5,ok,1237109,1234163,17932288,17932288,0.45343849453438495,10066944,12134400,1.002387042878453,22.081295599999976,910f6cf28a40e5101c5f1f0654edfbf46773cc4c7ef6ee7f8480bc9afffa93ff,,5.011585179591351,4.9996507987574255,1238120.0,1.00320622154448
case_077,5,ok,121081,121081,172032,172032,0.0,0,2313292,1.0,1.4267578999997568,4b5f3f8d483bc722783a6e95e26fdd9237bca50296070645508ea4428505a112,,4.090815239385205,4.090815239385205,121081.0,1.0
case_078,5,ok,543260,543260,8593920,8593920,0.10508395026743651,1139184,9701520,1.0,0.2774971999997433,c2ad422660026bf7bbcfc5776fd83ce7680e94ff1ad88d04c7ab6ade546e3e4b,,4.226600522769944,4.226600522769944,528099.0,0.9720925523690314
case_079,5,ok,5996881,5991146,32460800,32460800,0.21157962328767124,8097792,30175232,1.0009572459092133,11.139108700000179,a2a7fa629543b9fc5970eafd76c6fdb4ab64ee321638f5a891e2664a9519ce4e,,5.183023581798874,5.178066898442707,6075976.0,1.014159227633578
case_080,5,ok,142123,94323,6488064,6488064,0.38313120176405735,2846720,4583424,1.5067692927493825,0.7451407999997173,1139783afa5e52d8482b98a8f78ac8444063747fd2d93ebde518bb34e62b6d4c,,3.0972085281426587,2.055529365408836,113455.0,1.2028349395163427
case_081,5,ok,30943,30943,0,0,0.0,0,1044820,1.0,1.2514977000000727,cca9874bd7622f36b5b247812be85007cc2356ba0f5e2044d04d6f129039ab9a,,4.905632937982743,4.905632937982743,30943.0,1.0
case_082,5,ok,187739,187306,2829592,2829592,0.5301861455941522,1265812,1121674,1.0023117251983384,1.7357273000002351,2b79a56e8dcf36f94be82411fc38ebce69cf2dc28e2cec132788ae895df757e3,,3.849534985531697,3.840656443253666,187739.0,1.0023117251983384
