case,cores,status,no_l2_cycles,l2_cycles,no_l2_added_bytes,l2_added_bytes,cache_hit_rate,hit_bytes,miss_bytes,cache_gain,seconds,plan_sha256,error
case_038,5,ok,280243,280192,7592448,7592448,0.6323255114059425,6567936,3819018,1.0001820180447694,2.8667577999999594,e6faab60ff18a096a2cdf76240e75d3f11012899bd22c51cf927b5be3e685fc5,
case_039,5,ok,529845,451777,23437312,23437312,0.2529327022020992,5033984,14868480,1.1728020682770481,4.080441600000086,8abed586e800a7d1749d6ab1d328ba0d231e279cd4f29e1065bb7c89abe63114,
case_040,5,ok,111360,107362,3502676,3502676,0.17604522030094083,511392,2393498,1.037238501518228,1.7918941000002633,915150765db3a80713b50f7dad13a24c52b04ef3af93b9080ecc6a38dcc9d20f,
case_041,5,ok,1191113,1190984,18745344,18745344,0.43938804615584076,10411008,13283328,1.0001083137976665,9.975443199999972,43e86a63a1e72a8b526b818d22fdc2b40822ca8aacc7e713f84acfb21bcec95f,
case_042,5,ok,363216,362801,5065728,5065728,0.5131080819174365,3812352,3617568,1.0011438777732145,2.0174087000000327,cf4a3ba93316a53d9030fe4c0b7d10e7255e4ec303be250f76ae64838e058eb3,
case_043,5,ok,215152,212411,6231888,6231888,0.4813540053388337,2736924,2948962,1.012904228123779,5.730679099999634,dad670f9d1b79073f1ab229d2d57514ca6decd26720c86af840762fc063602bf,
case_044,5,ok,83237,83141,3721600,3721600,0.000424427878065978,1984,4672544,1.0011546649667433,0.4497801000002255,037635b4b1ba83a6ec558b22468b0f1c19e0f4ca324d7def8141fb9e0a5033c8,
case_045,5,ok,26164,26164,0,0,0.0,0,278528,1.0,0.5271826999996847,750f9eea70a4f66f706c0d7672961e27b7f41237fe5f05ab6e27f1c0e7134214,
case_046,5,ok,95335,94751,3721600,3721600,0.00813984249404774,38400,4679136,1.0061635233401232,0.426683900000171,a16b928e56cd55900a92b9729703ca028450b3086baf8d9761a8d74c9692dc05,
case_047,5,ok,94714,90802,2392856,2392856,0.5558310854860439,1103248,881614,1.0430827514812449,7.731605400000262,ad2735f7a4f027a0586e02e7a97b359da58cdc045f3a3ef3dd8ed5cbb1a7140f,
case_048,5,ok,111467,110747,1462006,1462006,0.2584913533921055,314676,902680,1.00650130477575,1.1308748000001287,80c5a6cd67f579ab3330565d6d1c7ac9a61d8cf16e45339eb070d8075b053401,
case_049,5,ok,97747,96061,1726740,1726740,0.26020020444770187,269812,767128,1.0175513475812243,1.9412382999998954,fd350a3215ce3077600bbb99396c7106a654b4553491f9bd83027132e80787c8,
case_050,5,ok,47714,46479,1526304,1526304,0.3971961537446213,481478,730714,1.0265711396544677,2.326253500000348,171dcea75e81965a859a03b2a0d053096cf2114c91ceb58ef8802b18529ccce9,
case_051,5,ok,179133,179133,1232,1232,0.0003504032176156331,138,393694,1.0,0.5495689999997921,dbd02c5cb1ba1d5ec44d504748df02af50e0b78c00b24d62dcbd94c88dfcdefd,
case_052,5,ok,47570,44514,1217204,1217204,0.307288522306825,530372,1195602,1.068652558745563,0.5041034999999283,f51d68410c08d2789d8e40d4a09615ba7f5e788fbcfd88edb252cd157fe64628,
case_053,5,ok,368746,351878,12803730,12803730,0.25416871472482877,3039472,8919010,1.0479370690978123,9.82490770000004,82cfbc09922f3964eb15cebd5e950b793ca5ba6496ddce45bb90338272091378,
case_054,5,ok,202096,198945,2922392,2922392,0.3446998185438639,1186130,2254922,1.0158385483425068,8.68043230000012,eaa8bdb25df6d25770158c8bc8f1050870ad4bb99c310c745ad9dca3c0fb2d69,
case_055,5,ok,26322,26322,198656,198656,0.22421598645232355,184832,639516,1.0,0.3473564000000806,21a11a5c22ad33a895d0410f7df20873c0ad33175dc0cf5f4815fdd5cae1ec20,
case_056,5,ok,96721,93868,3976084,3976084,0.30292541793528865,704012,1620032,1.0303937444070397,4.909249799999998,d1fb33058fad0b747469a1cd4d7a91e30c61f261b7add26eceb51e19520372df,
case_057,5,ok,16538,16538,27936,27936,0.0007900714356256378,288,364236,1.0,0.24670609999975568,a02ee1e7633ab38df913f29108c4479d0fbce24a1a5795a7c099f24bd16b97dd,
case_058,5,ok,902745,897570,30834688,30834688,0.4548933843630399,17039360,20418560,1.0057655670309837,10.545683899999858,aabab24b86e7a8e3b6e28cb3ad2d2603172ad91b77739bedcf7ed062f94e2554,
case_059,5,ok,150782,150736,2072576,2072576,0.5441558441558442,1716224,1437696,1.0003051693026217,0.9875640000000203,ee975abc4d70a9fb4a5805922c30a2bb6196d26df48b5e22fb6e18812bcfa961,
case_060,5,ok,183272,182846,4290944,4290944,0.5288935018886729,3379456,3010216,1.0023298294739835,2.363880600000357,f83edc0910763ec026efc64771a9170d73cedfbaf0f783d5bdd4bc7ad0700566,
case_061,5,ok,22283,22283,83712,83712,0.0721818309257855,45312,582436,1.0,0.3489897999997993,e4ce62e76fe0dccea09f1d5a8b716e614289099044914b8f4e7eaf316a2241c6,
case_062,5,ok,650815,650815,6445056,6445056,0.0,0,16622592,1.0,16.02031950000037,5010aa4ef2b0d520d578640ca2b226a585694afa25ecc7394eb79f442ee951fa,
case_063,5,ok,244633,244633,2257920,2257920,0.0,0,6148608,1.0,4.233293799999956,4bc2f1c1a600b64942a1d316e896916ec13b038cc4975edd1a46ba64f833b6c2,
case_064,5,ok,12480,12478,150100,150100,0.3481722041801982,41812,78278,1.0001602820964899,0.35071990000005826,8529f11e048d620ac252002c1d39ff76aea518d2c0f69629f93b476907cd4396,
case_065,5,ok,12156,12156,55584,55584,0.156440681782361,55584,299720,1.0,0.210805000000164,ab305bc1e9330442f90a7ad5d3259be92e9a3e7672bc7c5591673629b812629c,
case_066,5,ok,94904,91753,2420166,2420166,0.34231322274020703,904638,1738082,1.034342201344915,3.969734899999821,193f5f615d3336965a010c7ae89d66b98be7a2cb8635fbb6d65db45b5dd90eea,
case_067,5,ok,15456614,13333990,176094720,176094720,0.7981793098297304,142261248,35970944,1.1591889599437228,5.512480200000027,d39cb3d42bb41e3a253b0adabfdd0937d0376fd726c3adec5c3b3d36bb70aa3b,
case_068,5,ok,123877,107948,3420288,3420288,0.3565161877012443,1921034,3467316,1.147561789009523,3.7937676000001375,7d908de1a945c4cf20af3889faa51475a2607a918ab5c97d0caee92c47f15576,
case_069,5,ok,11229,10312,310288,310288,0.3160104254523086,99664,215718,1.0889255236617532,0.460045700000137,37d9f9d238d0cba325fa5592d2b4be01daf973273abee959e03af444f1f916f4,
case_070,5,ok,28228,27536,462848,462848,0.15486923165810587,136704,746002,1.0251307379430563,0.49405350000006365,abc6cbd944f423ae1b0f3a00fc9de51ad246d0e81d128d3811cdfd2df946b6a6,
case_071,5,ok,7648,7455,266512,266512,0.2810666188568394,81520,208518,1.025888665325285,0.35420280000016646,51c7c4a5e986532787533012e628063fc6b2e54485f3713558f53275948955c8,
case_072,5,ok,4721276,4719933,79266480,79266480,0.10881894569431261,9832824,80526662,1.0002845379372969,19.1921069,10573c10f700be602a1abe1d75f08a41d3005015d64196744b00d78a1a285603,
case_073,5,ok,3243126,2316337,95853568,95853568,0.7088277541240201,70428672,28930688,1.400109742235262,2.1919057000000066,1d1772bae56b2d6452255cbac4b370728ccc05031f8e3f7cac7a1ccde87d5d9e,
case_074,5,ok,335626,333481,7770112,7770112,0.26676070838913596,3080192,8466456,1.006432150557303,1.6021654999999555,745d7f838fc73fb39ce0194c4677d67832860226729a92e20d22882cfb7e5966,
case_075,5,ok,369499,365050,6786072,6786072,0.5434347203397736,3367190,2828936,1.0121873715929324,4.09687249999979,b8dd6eb6a01ad22dea7c4c66bc1da679238f348f6fe938ebc8e340691c431ed7,
case_076,5,ok,1237109,1234163,17932288,17932288,0.45343849453438495,10066944,12134400,1.002387042878453,22.081295599999976,910f6cf28a40e5101c5f1f0654edfbf46773cc4c7ef6ee7f8480bc9afffa93ff,
case_077,5,ok,121081,121081,172032,172032,0.0,0,2313292,1.0,1.4267578999997568,4b5f3f8d483bc722783a6e95e26fdd9237bca50296070645508ea4428505a112,
case_078,5,ok,543260,543260,8593920,8593920,0.10508395026743651,1139184,9701520,1.0,0.2774971999997433,c2ad422660026bf7bbcfc5776fd83ce7680e94ff1ad88d04c7ab6ade546e3e4b,
case_079,5,ok,5996881,5991146,32460800,32460800,0.21157962328767124,8097792,30175232,1.0009572459092133,11.139108700000179,a2a7fa629543b9fc5970eafd76c6fdb4ab64ee321638f5a891e2664a9519ce4e,
case_080,5,ok,142123,94323,6488064,6488064,0.38313120176405735,2846720,4583424,1.5067692927493825,0.7451407999997173,1139783afa5e52d8482b98a8f78ac8444063747fd2d93ebde518bb34e62b6d4c,
case_081,5,ok,30943,30943,0,0,0.0,0,1044820,1.0,1.2514977000000727,cca9874bd7622f36b5b247812be85007cc2356ba0f5e2044d04d6f129039ab9a,
case_082,5,ok,187739,187306,2829592,2829592,0.5301861455941522,1265812,1121674,1.0023117251983384,1.7357273000002351,2b79a56e8dcf36f94be82411fc38ebce69cf2dc28e2cec132788ae895df757e3,
case_083,5,ok,197034,196519,3721600,3721600,0.1894710751348566,929536,3976416,1.0026206117474645,1.2154821999997694,7bc8dee7e3372db6b1ac1ef6a582f78d0e8848584634df682eb17e36318e880a,
case_084,5,ok,503472,503472,0,0,0.0,0,9927786,1.0,5.403511299999991,e5241435953f836de116f12591ccaffa93947087d478d5890d129422838cefd6,
case_085,5,ok,746292,744845,10855448,10855448,0.5254370581022013,4350870,3929608,1.001942686062201,12.627510300000267,a8e93b023e6d97f3119b454dabb3f879196b59721c4a090de056f54691f17e96,
case_086,5,ok,40905,36951,1898328,1898328,0.5382102091908176,837144,718278,1.1070065762766907,2.0631836999996267,47d94f9ff8923d4e71b6da05d8e8cae904691f3a6d32d70d03e8a010bc7bfe24,
case_087,5,ok,885740,852871,25908378,25908378,0.5069576856598562,14296226,13903812,1.0385392398146964,21.55477800000017,8588e627d5dd658cbd83f985e37e2c6a8d20a5ad53477a146153b6321d973cd6,
case_088,5,ok,86863,75845,2220472,2220472,0.35416680662765676,1265234,2307190,1.145269958467928,1.3778035000000273,828c99e849863ab9b9450f1a1659785d6c94d1bbb380ca6b3620e17fa424c455,
case_089,5,ok,133604,133604,954880,954880,0.0,0,1357440,1.0,1.559195599999839,3ac28abd0f96c8b48e87415b16b93aa3063c90b3527b48ca226a3cc17c670a89,
case_090,5,ok,261420,203403,8593920,8593920,0.49140371808112826,5298480,5483856,1.2852317812421645,0.4595377999999073,8f8301a591902ceb531a0670b0aeacda8e98e8592f7df637b2067b8425fbf5d6,
case_091,5,ok,1855564,1850709,32660992,32660992,0.1412748510893986,5537504,33659168,1.00262331895506,20.84475680000014,ca75aa66d8a086979d8f6019180746f6178c31497c296c300f03ef7825993b2b,
case_092,5,ok,827524,827834,4688256,4688256,0.20151297305810567,1269248,5029344,0.9996255287895882,9.636927900000046,3a1d8ae97abee815d8117edff0d646c0ddddd7aa61ccab43ad73899756fe0bd0,
case_093,5,ok,15876,15876,32768,32768,0.0,0,606208,1.0,0.20418689999996786,a0bde29809f8f463ad68862406fa965287c6b7e4d413bbf70e267a6ea6ebf8e3,
case_094,5,ok,25114,25114,259200,259200,0.25388759910639974,185472,545056,1.0,0.18552340000042022,d35e5c67697f3945cbc8a946c6a61fb2908b420ab79e8ca86701c92e6f65f66e,
case_095,5,ok,420852,420852,0,0,0.0,0,8516508,1.0,1.7983064000000013,993712f1560f0b0adcdfa951880c40e592b8479aae5c12dec518432c1d53c609,
case_096,5,ok,27053,27053,134784,134784,0.07011279720847197,24192,320852,1.0,0.2992265999996562,0021270dff33825143fca4bb712e51f6e8ac0ebefb0a792f84b0b59be6804202,
case_097,5,ok,2127942,2121402,19083264,19083264,0.2685558869977189,6268928,17074176,1.0030828668965146,3.9816046999999344,556e60ea7c3c4e26324df15d75a53204c95f883a90fb728ff5bc8b7af69aecda,
case_098,5,ok,73115,69585,3111352,3111352,0.11828302708405844,303140,2259696,1.0507293238485307,0.824571399999968,f5164df52567f3d45d11da436e9493644d8d9d964c187567b8b1c43a577788b9,
case_099,5,ok,328708,328634,7618560,7618560,0.48697581763623066,4943872,5208320,1.0002251745102455,2.8986918999999034,e5169f8f919c77bdd75816d4976b8559bf6757fb9df6b8730f9f49aafd0ca2fe,
case_100,5,ok,47926,40766,1863742,1863742,0.3831375797115551,645760,1039692,1.17563655987833,0.8548801999995703,39fbe1a0a965dec08ab62a38e04931d3d2ad21bb316552f1f311e0d812ba3f25,
