case,cores,status,makespan_cycles,added_copy_bytes,scheduled_copy_bytes,spill_added_copy_bytes,plan_sha256,seconds,error
case_001,2,ok,116868,1152,1640704,0,1c6cf2db91449c12c3f74d32318e7eb99bc2b42e8e9d12be444e905170f9c7b9,0.12360550000448711,
case_001,3,ok,78545,2304,1641856,0,615c13f2ec631ff23820de604f6b709a649e3e6e7d9e7f88769397c5311404a2,0.10952500000712462,
case_001,4,ok,58984,3456,1643008,0,24e0f017ce3f83737422c6595a29d122fe67b93a2fb3278d0dbecde6ce1ecadc,0.09544129999994766,
case_001,5,ok,47502,4608,1644160,0,5bc2ca2ae4423fdc659215ac6f3a876f85f88764538eaf3752d0a4901f62a878,0.09375400000135414,
case_002,2,ok,132845,56832,1281024,0,c714f82484bd458e640f220b26aed616f8c005e2c9fb229fdda33491efd1f83d,0.5164033000037307,
case_002,3,ok,89748,56832,1281024,0,dc2a581b8dc9c0f98ceb59ca71a183cbb6b0321f1f24c4e102b5086cbaa8c2fd,0.3580294999992475,
case_002,4,ok,68731,56832,1281024,0,0fb5c9a3448ad39bee6055cc1feef407596d1d9dcf2ae3c333589a17dfdb4ba7,0.33167430000321474,
case_002,5,ok,57312,1714176,2938368,0,a75b808b7bb6db441e3b212d675e8390b28e9fa23988a579ef0385a1fa9818dc,0.34806159998697694,
case_003,2,ok,336799,1965240,3249504,0,de3ecdcf805dd67efa0911a62fadb623508d5109bec2a06928d8eb62ca969056,5.436270899997908,
case_003,3,ok,241876,3010640,4294904,0,30d64de960a1e250a49a197a17aa74c677206b0d82db929bae5fe1a1db7db7b5,4.652859200010425,
case_003,4,ok,209284,3196140,4480404,0,5793acea7944e43605adbc7e8a514be94ee81a9a12f10afab95290d2fe422129,3.4837881999992533,
case_003,5,ok,179247,4404992,5689256,0,2627ed1a3ddcad9cf5d26906cbbcb7c5092bd0ee8ed233f6dc35c67e58b6db4c,3.686825900003896,
case_004,2,ok,199074,110592,903168,0,9988fe599fad0f2caf2b70c989fa5f054a5f07c606699de1b132096170aab6e3,0.1903466999938246,
case_004,3,ok,134043,221184,1013760,0,c6380c9f79c67c63fc0afb1aa0442d26baa646556142c3690856816a511bf384,0.16348600000492297,
case_004,4,ok,104188,331776,1124352,0,5f0ad1404f00cbab6a0ab7b4563ea12b3489768efb878552d04665f147b59bf5,0.17162939999252558,
case_004,5,ok,88341,442368,1234944,0,61a9582e96cfb601f07f8be3748989df9185c158a912eda430b1dedf0658190a,0.14044170000124723,
case_005,2,ok,59346,712540,1045954,0,4e9336b360b856257e431354aa47db7ee74e211c870f49321969481738f67914,1.184347999995225,
case_005,3,ok,48016,1050090,1383504,0,c67525db8b88453cf54fe5809b4bd7009a94d7ae23dc92d84cbc578742631860,1.147981099988101,
case_005,4,ok,42690,1122676,1456090,0,ec8388db51c16be651d2047e5cdbf0f1f60582c4dda292237230002e3534c281,0.828887499999837,
case_005,5,ok,39995,1323714,1657128,0,dc5e0672fd57bd0f50676f83e7d5374716511586e5da307de263e982307dc3ff,0.8106917999975849,
case_006,2,ok,46100,29576,572924,12296,0907767061f23cafcb97280a4e0abfe609f3644c996104e484a64674312c4c21,0.1341682999918703,
case_006,3,ok,33964,797604,1340952,0,13cfbdef47d0f94ce78074a6b053656277427612514d349c72436b46bd740101,0.13111799999023788,
case_006,4,ok,29485,864038,1407386,0,0c2ced26814e342bbaa181780209d0d35b6a2189f758edd492966fd89c01479e,0.14273450001201127,
case_006,5,ok,27152,858920,1402268,0,fb6001b5beed76b978d41efb6fa07776b6c7bb463d871fa8b81a5fef0a51f767,0.1511532000004081,
case_007,2,ok,507494,27648,1760256,0,52aa1f97cf1fa06190d3174d72460f81c27f12823ae206d812d0bffcfe849811,2.4112679999961983,
case_007,3,ok,338094,55296,1787904,0,d20378d444bc7d56eeb2e595c0b1302ce6cef4879fa599bb2bf2a04ec28c1d7a,1.6640156000066781,
case_007,4,ok,254398,82944,1815552,0,589758759dabf6d3e6074eb11040ff599ab83dd833132e3d60ce78b9901b3e96,1.237282400004915,
case_007,5,ok,203834,110592,1843200,0,8de95c02ab9d47e7a9c4c97ef5f10fd6c26f1c90b7978fa9fe4744b7332ef71f,1.038969500004896,
case_008,2,ok,244266,0,2654424,0,af37836db1a0d98ee189c59118c62497aa444e874523f14049b6e466a3c44705,0.22020060000068042,
case_008,3,ok,163359,0,2654424,0,012571a3b509f712b79c71d362fc65d3a60489be5cb7963d5911b8363ef19fc1,0.18782750000536907,
case_008,4,ok,123060,0,2654424,0,70d7ed600c2b1eef7945bbb9910043e313ac6bc397d5771f91b5848fc6725930,0.1804312000022037,
case_008,5,ok,100603,0,2654424,0,07a18d1888b2516c41957b36c86a05ecdc8ce35652d4130f728c3fafd007ff54,0.15663519999361597,
case_009,2,ok,96252,691132,1186464,0,98e512094c64e8c1147ccd94bae66baa05036b02cd06629e3e16af8d8db393e6,1.2007322999997996,
case_009,3,ok,71406,647448,1142780,0,89b167b440f7dc36885ee36f8f88490b0ac2c618656ae34485721e7ac6d1ad29,1.1898849999997765,
case_009,4,ok,57977,702550,1197882,0,412ab551f3d3223338e1faf1e903a4dd9e9d1088f8734ec59094681b13289c16,1.2414236999902641,
case_009,5,ok,52000,777248,1272580,0,8bca2f7456575cf2d3fee3d473ceda83674af399cdc0afa0a78d53770b032f33,1.3900261999951908,
