case,method,n,mean_makespan,min_makespan,max_makespan,sd_makespan,construction_best,mean_construction_ratio,mean_same_plan_cache_ratio,mean_calls,invalid_total
case_044,nsga3_generic,3,72299.33333333333,68239,75524,3713.6990095231645,84117,1.165540417964586,1.0809410243483086,30,0
case_044,nsga3_npu,3,71837.66666666667,56358,83709,14027.984614096686,84117,1.2041171844562137,1.3883950748886487,30,0
case_044,unsga3_npu,3,69429,59036,78326,9731.625609321394,84117,1.2282587817138824,1.150544718664566,30,0
case_074,nsga3_generic,3,335197.3333333333,333519,336925,1703.5358327118727,336925,1.0051714823061537,1.0132543065218746,30,0
case_074,nsga3_npu,3,335591,332923,336925,2310.5557772968823,336925,1.0040069325339493,1.0256740782339506,30,0
case_074,unsga3_npu,3,335682.3333333333,333664,336925,1763.4552257807209,336925,1.003720431290918,1.0127502155566466,30,0
case_082,nsga3_generic,3,511852.3333333333,508066,513771,3279.160004228725,513840,1.0039108521943227,1.0000409793912741,30,0
case_082,nsga3_npu,3,510720.3333333333,508038,513840,2925.6189658486514,513840,1.0061303491137812,1.000067976570812,30,0
case_082,unsga3_npu,3,510622.3333333333,506716,513840,3611.5841861063313,513840,1.0063350888391103,1.0001893563666435,30,0
