case,variant,cores,status,makespan_cycles,original_copy_bytes,scheduled_copy_bytes,added_copy_bytes,cache_hit_rate,cache_hit_bytes,wall_seconds,error
case_029,singlecore,1,ok,37555,430164,430164,0,,,0.326,
case_029,q1,2,ok,19740,430164,430164,0,,,0.319,
case_029,q1,3,ok,12743,430164,430164,0,,,0.24,
case_029,q1,4,ok,11028,430164,430164,0,,,0.216,
case_029,q1,5,ok,9383,430164,430164,0,,,0.173,
case_029,q2,1,ok,37555,430164,430164,0,,,0.153,
case_029,q2,2,ok,19740,430164,430164,0,,,0.176,
case_029,q2,3,ok,12743,430164,430164,0,,,0.155,
case_029,q2,4,ok,11028,430164,430164,0,,,0.148,
case_029,q2,5,ok,9383,430164,430164,0,,,0.147,
case_029,q3,1,ok,37555,430164,430164,0,0.0,0,0.178,
case_029,q3,2,ok,19740,430164,430164,0,0.0,0,0.159,
case_029,q3,3,ok,12743,430164,430164,0,0.0,0,0.169,
case_029,q3,4,ok,11028,430164,430164,0,0.0,0,0.157,
case_029,q3,5,ok,9383,430164,430164,0,0.0,0,0.147,
case_030,singlecore,1,ok,2808034,2394060,7913420,5519360,,,49.613,
case_030,q1,2,ok,1401423,2394060,9334732,6940672,,,63.651,
case_030,q1,3,ok,933969,2394060,11465676,9071616,,,45.937,
case_030,q1,4,ok,699591,2394060,11026380,8632320,,,45.402,
case_030,q1,5,ok,561192,2394060,14038476,11644416,,,47.626,
case_030,q2,1,ok,2808034,2394060,7913420,5519360,,,4.294,
case_030,q2,2,ok,1401423,2394060,9334732,6940672,,,3.472,
case_030,q2,3,ok,933969,2394060,11465676,9071616,,,3.496,
case_030,q2,4,ok,699591,2394060,11026380,8632320,,,3.022,
case_030,q2,5,ok,561192,2394060,14038476,11644416,,,3.23,
case_030,q3,1,ok,2807891,2394060,7913420,5519360,0.259867995341012,2056192,3.836,
case_030,q3,2,ok,1401161,2394060,9334732,6940672,0.3936368623148656,3674112,3.486,
case_030,q3,3,ok,933287,2394060,11465676,9071616,0.49374776705966417,5660672,3.21,
case_030,q3,4,ok,699285,2394060,11026380,8632320,0.480403083495867,5296640,3.22,
case_030,q3,5,ok,561199,2394060,14038476,11644416,0.5517014990699202,7744512,3.532,
case_031,singlecore,1,ok,1414369,2185040,5676368,3491328,,,10.009,
case_031,q1,2,ok,735345,2185040,7749968,5564928,,,11.791,
case_031,q1,3,ok,486363,2185040,7203152,5018112,,,8.81,
case_031,q1,4,ok,398198,2185040,10156880,7971840,,,9.669,
case_031,q1,5,ok,308135,2185040,10402640,8217600,,,9.978,
case_031,q2,1,ok,1414369,2185040,5676368,3491328,,,1.716,
case_031,q2,2,ok,735345,2185040,7749968,5564928,,,1.632,
case_031,q2,3,ok,486363,2185040,7203152,5018112,,,1.369,
case_031,q2,4,ok,398198,2185040,10156880,7971840,,,1.679,
case_031,q2,5,ok,308135,2185040,10402640,8217600,,,1.5,
case_031,q3,1,ok,1414159,2185040,5676368,3491328,0.26059362793218216,1479168,1.81,
case_031,q3,2,ok,734212,2185040,7749968,5564928,0.3403093881246203,2637312,1.819,
case_031,q3,3,ok,485410,2185040,7203152,5018112,0.4160439110073509,2996736,1.617,
case_031,q3,4,ok,397727,2185040,10156880,7971840,0.4606490716436309,4678656,1.699,
case_031,q3,5,ok,307852,2185040,10402640,8217600,0.4264361562021145,4435968,1.605,
case_032,singlecore,1,ok,41443,293088,293088,0,,,0.21,
case_032,q1,2,ok,21880,293088,299304,6216,,,0.209,
case_032,q1,3,ok,15402,293088,305448,12360,,,0.21,
case_032,q1,4,ok,14274,293088,305448,12360,,,0.222,
case_032,q1,5,ok,10415,293088,305448,12360,,,0.183,
case_032,q2,1,ok,41443,293088,293088,0,,,0.117,
case_032,q2,2,ok,21880,293088,299304,6216,,,0.122,
case_032,q2,3,ok,15402,293088,305448,12360,,,0.107,
case_032,q2,4,ok,14274,293088,305448,12360,,,0.105,
case_032,q2,5,ok,10415,293088,305448,12360,,,0.102,
case_032,q3,1,ok,41443,293088,293088,0,0.0,0,0.119,
case_032,q3,2,ok,21880,293088,299304,6216,0.0217820949497498,6216,0.142,
case_032,q3,3,ok,15402,293088,305448,12360,0.04239904499238464,12360,0.177,
case_032,q3,4,ok,14274,293088,305448,12360,0.04239904499238464,12360,0.126,
case_032,q3,5,ok,10391,293088,305448,12360,0.028348358237626752,8264,0.135,
case_033,singlecore,1,ok,1774196,2972910,7565550,4592640,,,3.986,
case_033,q1,2,ok,897883,2972910,9202446,6229536,,,4.625,
case_033,q1,3,ok,604202,2972910,10776366,7803456,,,4.708,
case_033,q1,4,ok,460454,2972910,10504014,7531104,,,4.439,
case_033,q1,5,ok,376794,2972910,11269998,8297088,,,3.972,
case_033,q2,1,ok,1774196,2972910,7565550,4592640,,,0.822,
case_033,q2,2,ok,897883,2972910,9202446,6229536,,,0.797,
case_033,q2,3,ok,604202,2972910,10776366,7803456,,,0.841,
case_033,q2,4,ok,460454,2972910,10504014,7531104,,,0.814,
case_033,q2,5,ok,376794,2972910,11269998,8297088,,,1.193,
case_033,q3,1,ok,1774080,2972910,7565550,4592640,0.09627692445862406,720384,1.218,
case_033,q3,2,ok,897326,2972910,9202446,6229536,0.28072644076658415,2560032,1.148,
case_033,q3,3,ok,603886,2972910,10776366,7803456,0.4194892619930064,4485696,1.136,
case_033,q3,4,ok,460140,2972910,10504014,7531104,0.3173536208074558,3307104,1.129,
case_033,q3,5,ok,376499,2972910,11269998,8297088,0.364232907452884,4074624,1.216,
case_034,singlecore,1,ok,842996,2280386,3360218,1079832,,,5.153,
case_034,q1,2,ok,418129,2280386,3928514,1648128,,,5.829,
case_034,q1,3,ok,282515,2280386,4918722,2638336,,,6.811,
case_034,q1,4,ok,213112,2280386,5457346,3176960,,,6.456,
case_034,q1,5,ok,178096,2280386,5817282,3536896,,,5.804,
case_034,q2,1,ok,842996,2280386,3360218,1079832,,,1.116,
case_034,q2,2,ok,418129,2280386,3928514,1648128,,,1.047,
case_034,q2,3,ok,282515,2280386,4918722,2638336,,,1.091,
case_034,q2,4,ok,213112,2280386,5457346,3176960,,,1.146,
