case,cores,status,no_l2_cycles,l2_cycles,no_l2_added_bytes,l2_added_bytes,cache_hit_rate,hit_bytes,miss_bytes,cache_gain,seconds,plan_sha256,error,l2_speedup,no_l2_speedup,q2_cycles,vs_q2_gain
case_011,5,ok,65327,47732,3244032,3244032,0.4649859943977591,1359872,1564672,1.368620631861225,0.4693638999997347,fcf1482f9f9201c84fc60b91140c384e9465e493e12ac4ebf8cf73da2a0f252e,,3.8694586440962038,2.827268969951169,47287.0,0.9906771138858628
case_012,5,ok,12519,12460,25344,25344,0.04974874371859297,25344,484096,1.0047351524879615,0.3271860999998353,3f0dcbef83bc54b9cdecc8a911de9c53ea5a54241872a024baf7f2a690daf1f4,,4.742215088282504,4.719865803977953,14300.0,1.1476725521669342
case_013,5,ok,54363,54363,32768,32768,0.0,0,2056192,1.0,0.8932982999999695,5ddfcd4283c7a16c47e466899301f1846a18d1695cde56169bb0025a7f578e3d,,4.855305998565201,4.855305998565201,54363.0,1.0
case_014,5,ok,3659604,3659089,43571208,43571208,0.20660799514640657,11049984,42432864,1.0001407454150473,26.944906900000205,0ffa053ddf0796f2382b8bea3ad246fd3ba3312044e76b0c06abe43fc7d8bdaf,,4.836894101236674,4.836213426370722,3694640.0,1.0097158063113523
case_015,5,ok,48778,48712,313344,313344,0.07010033176771918,83968,1113858,1.001354902282805,0.38324629999988247,7bdf44dc9f2b1a006cb53fb7a44e6f78429ba9c60d79fc257c8d57b089c4d2fd,,3.6410330103465265,3.6361064414285127,43437.0,0.8917104614879291
case_016,5,ok,2242797,2242797,15844,15844,0.004547063604046488,1824,399314,1.0,15.636644799999885,cf4dca010efd6899e84767478f9fde32235107f793f6833325eef8c5bcc6e33e,,3.4401343500994517,3.4401343500994517,2393034.0,1.0669864459422767
case_017,5,ok,36650,36650,339840,339840,0.04081567343803931,35712,839246,1.0,0.43206610000015644,92d884de784f7fb0fa1e40b9421b2f491075b33161082201f2bcd773cd60f52b,,4.442291950886767,4.442291950886767,35496.0,0.9685129604365621
case_018,5,ok,212066,211720,4628480,4628480,0.673550363313356,4190208,2030868,1.001634233893822,1.1215620000002673,6e0c9709c3c206b06a1947b281146f4a779d988f36bcfd22020c2b77f50fb259,,4.7438456451917626,4.736105740665642,203865.0,0.9628991120347629
case_019,5,ok,22893,22848,584808,584808,0.17420237138546998,98848,468584,1.001969537815126,0.26680439999972805,6d1e70a73c2d19e67f7211c65bc39a72b208a34754b68140b501ab7082985291,,3.551470588235294,3.5444895819682873,24169.0,1.0578168767507004
case_020,5,ok,107650,107650,0,0,0.0,0,1179648,1.0,2.0026450000000295,e7becef51f5bdcb7e86664b3eef600e7d40c2d4bcdaa6e90e581c1041c049385,,4.948871342313051,4.948871342313051,107650.0,1.0
case_021,5,ok,1252641,1248535,9420800,9420800,0.5598260869565217,6592512,5183488,1.003288654302843,1.7231758000002628,5f0a19372c36cfdce8c304d5bc9c5b362d84123585ca7e8af162483f781011ea,,5.260514923490331,5.243271615730285,1250168.0,1.0013079328973558
case_022,5,ok,11828,11828,20736,20736,0.08851098704092608,20736,213540,1.0,0.34753660000023956,4b0a839d963f84618d63b838e1466cf86d074860f725b71414452cc54f2f2ebb,,4.800473452823808,4.800473452823808,11828.0,1.0
case_023,5,ok,25191,25191,280992,280992,0.32420005761319176,231840,483274,1.0,0.2672032999998919,87fe7e47b1da5f384331823dae640a2845e310bfcb7fa803ac0e99121fb4acc5,,4.867373268230717,4.867373268230717,25191.0,1.0
case_024,5,ok,744621,744621,5236,5236,0.0015157869207799229,600,395234,1.0,3.071215299999949,40d76d768c7f0a3558aa70d931163983df3fa785b831f842ae9e36adcf806835,,3.4317364135580384,3.4317364135580384,795102.0,1.0677942201468935
case_025,5,ok,975282,975282,110592,110592,0.0,0,4233216,1.0,11.357657000000017,3863b182c24ce4f308900690c0c83e40425641ccc478f12574bce2d3ece14536,,4.986276789687495,4.986276789687495,975282.0,1.0
case_026,5,ok,43993,36584,1525308,1525308,0.31887925017978597,480662,1026686,1.2025202274218239,0.3404833999998118,85f420810481cd13a4f49152da7e9ee9765bfdbc39ac8f62eb5d65dd55abceba,,2.7116499015963265,2.254972381969859,44114.0,1.2058276842335447
case_027,5,ok,556428,556428,17768448,17768448,0.2745726495726496,3684352,9734144,1.0,1.0413088999998763,660e2274d45174943bdd1bbd4a338c5fec0ba0aac07c91af3a52a2c0c97c2b80,,4.248441846923591,4.248441846923591,558753.0,1.004178438180681
case_028,5,ok,8203611,8175815,18342912,18342912,0.36793042905739054,6437664,11059296,1.0033997833855095,11.54170890000023,6fed17b4d5520b20c1129628bd0476e1c79a7504ec1a5ed497ec77c29891e3bf,,5.361672200263827,5.343505439251081,8242960.0,1.0082126369053115
case_029,5,ok,9383,9383,0,0,0.0,0,258132,1.0,0.23658380000006218,fe50dd6711824f67b6cdd8a164fa1c3f17ef9d224032948de3e75e0153b0f539,,4.002451241607162,4.002451241607162,9383.0,1.0
case_030,5,ok,560856,560562,7669760,7669760,0.7137478375903124,7182336,2880512,1.0005244736532266,4.984012299999904,e065dacf235a888c81cef4c5a87cd95f4aa53532dba78f825bad4a2055f1b821,,5.00931921892672,5.006693340180011,561192.0,1.001123872114057
case_031,5,ok,294518,292431,8696372,8696372,0.5421473684210526,5781324,4882426,1.0071367262704707,3.1575419999999212,794c206f4e7ae2284a5b3db865b6af757aa0f15324d149263c4e5951eca2cdfe,,4.836590511949828,4.802317685166951,308135.0,1.0537015569484767
case_032,5,ok,10415,10391,12360,12360,0.028348358237626752,8264,283252,1.0023096910788183,0.21841119999999137,07f86d797d43e1bfed97cbc8ee174678f1e6da5926769783bb19e09ff9ea6aaa,,3.988355307477625,3.9791646663466156,10415.0,1.0023096910788183
case_033,5,ok,362856,360688,8163996,8163996,0.3235065398276502,3531904,7385662,1.0060107350397018,1.7651012999999693,1a0ee8b5de2ca6f385c8ed6178bcd7d14a32ab0f2d1a5aa36e31755cb0167222,,4.918921616466309,4.889531935533655,362856.0,1.0060107350397018
case_034,5,ok,178096,177225,3536896,3536896,0.571335836393393,3323392,2493488,1.0049146565100862,1.570940199999768,806c10d4431d08eb22870d06d30ee02f2ab1c0ae00a504ec0254644a536b3b26,,4.756642685851319,4.733379750247058,178096.0,1.0049146565100862
case_035,5,ok,73126,72982,1562242,1562242,0.2859801014062948,358722,895638,1.0019730892548848,1.8650450000000092,667076dace8e251bf90d6069450ba3f3b3e9e2924839259de7c2b785262665be,,2.3234633197226713,2.3188879468314965,74644.0,1.0227727384834617
case_036,5,ok,187182,187182,4608,4608,0.0,0,3282560,1.0,0.969671500000004,44eb0fd5643141ae77ce2094f9599928fea4c7cd89fc95841cadaf777e070f3e,,4.976493466252097,4.976493466252097,187182.0,1.0
case_037,5,ok,43013,43013,942080,942080,0.4222222222222222,622592,851968,1.0,0.2908938999999009,aa54eafb8549a0852d9bb2262d73494057d6f0f06fff41c1e80ac2fc4310f7d0,,4.882268151489085,4.882268151489085,44890.0,1.0436379699160718
case_038,5,ok,280243,280192,7592448,7592448,0.6323255114059425,6567936,3819018,1.0001820180447694,2.818854900000133,e6faab60ff18a096a2cdf76240e75d3f11012899bd22c51cf927b5be3e685fc5,,4.870071236866149,4.869184957340594,291895.0,1.0417677878026497
case_039,5,ok,529845,451777,23437312,23437312,0.2529327022020992,5033984,14868480,1.1728020682770481,4.011517499999627,8abed586e800a7d1749d6ab1d328ba0d231e279cd4f29e1065bb7c89abe63114,,3.1769257841811336,2.708833715520577,431161.0,0.9543668668391706
case_040,5,ok,111360,107362,3502676,3502676,0.17604522030094083,511392,2393498,1.037238501518228,1.7666457000000264,915150765db3a80713b50f7dad13a24c52b04ef3af93b9080ecc6a38dcc9d20f,,2.3607421620312588,2.2759877873563217,110337.0,1.0277099904994318
case_041,5,ok,1191113,1190984,18745344,18745344,0.43938804615584076,10411008,13283328,1.0001083137976665,9.380341900000076,43e86a63a1e72a8b526b818d22fdc2b40822ca8aacc7e713f84acfb21bcec95f,,5.041173517024578,5.040627547512285,1208717.0,1.0148893687908487
