case,cores,status,no_l2_cycles,l2_cycles,no_l2_added_bytes,l2_added_bytes,cache_hit_rate,hit_bytes,miss_bytes,cache_gain,seconds,plan_sha256,error
case_033,5,ok,362856,360688,8163996,8163996,0.3235065398276502,3531904,7385662,1.0060107350397018,1.7651012999999693,1a0ee8b5de2ca6f385c8ed6178bcd7d14a32ab0f2d1a5aa36e31755cb0167222,
case_034,5,ok,178096,177225,3536896,3536896,0.571335836393393,3323392,2493488,1.0049146565100862,1.570940199999768,806c10d4431d08eb22870d06d30ee02f2ab1c0ae00a504ec0254644a536b3b26,
case_035,5,ok,73126,72982,1562242,1562242,0.2859801014062948,358722,895638,1.0019730892548848,1.8650450000000092,667076dace8e251bf90d6069450ba3f3b3e9e2924839259de7c2b785262665be,
case_036,5,ok,187182,187182,4608,4608,0.0,0,3282560,1.0,0.969671500000004,44eb0fd5643141ae77ce2094f9599928fea4c7cd89fc95841cadaf777e070f3e,
case_037,5,ok,43013,43013,942080,942080,0.4222222222222222,622592,851968,1.0,0.2908938999999009,aa54eafb8549a0852d9bb2262d73494057d6f0f06fff41c1e80ac2fc4310f7d0,
case_038,5,ok,280243,280192,7592448,7592448,0.6323255114059425,6567936,3819018,1.0001820180447694,2.818854900000133,e6faab60ff18a096a2cdf76240e75d3f11012899bd22c51cf927b5be3e685fc5,
case_039,5,ok,529845,451777,23437312,23437312,0.2529327022020992,5033984,14868480,1.1728020682770481,4.011517499999627,8abed586e800a7d1749d6ab1d328ba0d231e279cd4f29e1065bb7c89abe63114,
case_040,5,ok,111360,107362,3502676,3502676,0.17604522030094083,511392,2393498,1.037238501518228,1.7666457000000264,915150765db3a80713b50f7dad13a24c52b04ef3af93b9080ecc6a38dcc9d20f,
case_041,5,ok,1191113,1190984,18745344,18745344,0.43938804615584076,10411008,13283328,1.0001083137976665,9.380341900000076,43e86a63a1e72a8b526b818d22fdc2b40822ca8aacc7e713f84acfb21bcec95f,
case_042,5,ok,363216,362801,5065728,5065728,0.5131080819174365,3812352,3617568,1.0011438777732145,1.8786712999999509,cf4a3ba93316a53d9030fe4c0b7d10e7255e4ec303be250f76ae64838e058eb3,
case_043,5,ok,215152,212411,6231888,6231888,0.4813540053388337,2736924,2948962,1.012904228123779,5.24662649999982,dad670f9d1b79073f1ab229d2d57514ca6decd26720c86af840762fc063602bf,
case_044,5,ok,83237,83141,3721600,3721600,0.000424427878065978,1984,4672544,1.0011546649667433,0.387242299999798,037635b4b1ba83a6ec558b22468b0f1c19e0f4ca324d7def8141fb9e0a5033c8,
case_045,5,ok,26164,26164,0,0,0.0,0,278528,1.0,0.35368749999997817,16c8ee2138dbbf5b3f98a086cfe11187e5ed434b81052b1a0fe1d3026ab8eda2,
case_046,5,ok,95335,94751,3721600,3721600,0.00813984249404774,38400,4679136,1.0061635233401232,0.2810601000001043,a16b928e56cd55900a92b9729703ca028450b3086baf8d9761a8d74c9692dc05,
case_047,5,ok,94714,90802,2392856,2392856,0.5558310854860439,1103248,881614,1.0430827514812449,7.341073099999903,ad2735f7a4f027a0586e02e7a97b359da58cdc045f3a3ef3dd8ed5cbb1a7140f,
case_048,5,ok,111467,110747,1462006,1462006,0.2584913533921055,314676,902680,1.00650130477575,1.0083444000001691,80c5a6cd67f579ab3330565d6d1c7ac9a61d8cf16e45339eb070d8075b053401,
case_049,5,ok,85570,85357,1871276,1871276,0.1493050687122074,168248,958626,1.0024954016659442,1.9585575999999492,aa4729783100c7230eec1ff1353af20e724622d393f72e365b023fb6e44adb55,
case_050,5,ok,47714,46479,1526304,1526304,0.3971961537446213,481478,730714,1.0265711396544677,2.3549808999996458,171dcea75e81965a859a03b2a0d053096cf2114c91ceb58ef8802b18529ccce9,
case_051,5,ok,179133,179133,1232,1232,0.0003504032176156331,138,393694,1.0,0.5783352000003106,dbd02c5cb1ba1d5ec44d504748df02af50e0b78c00b24d62dcbd94c88dfcdefd,
case_052,5,ok,40532,40125,884484,884484,0.14995326534803693,214656,1216830,1.0101433021806854,0.4712411999998949,0994b2d5c2187eb89662c17a59dc53c7e653f1ab4af8265a31c489219134ffa2,
case_053,5,ok,368746,351878,12803730,12803730,0.25416871472482877,3039472,8919010,1.0479370690978123,9.662719800000104,82cfbc09922f3964eb15cebd5e950b793ca5ba6496ddce45bb90338272091378,
case_054,5,ok,202096,198945,2922392,2922392,0.3446998185438639,1186130,2254922,1.0158385483425068,8.454496199999994,eaa8bdb25df6d25770158c8bc8f1050870ad4bb99c310c745ad9dca3c0fb2d69,
case_055,5,ok,26322,26322,198656,198656,0.22421598645232355,184832,639516,1.0,0.3315426999997726,21a11a5c22ad33a895d0410f7df20873c0ad33175dc0cf5f4815fdd5cae1ec20,
