case,cores,strategy,status,makespan_cycles,added_copy_bytes,spill_added_copy_bytes,scheduled_copy_bytes,peak_l1_bytes,peak_ub_bytes,wall_seconds,error
case_090,5,q1_selected,ok,287918,8893440,0,11121792,,,0.417,
case_091,5,q1_selected,ok,1874503,71279104,45365760,77856760,,,15.985,
case_092,5,q1_selected,ok,828993,6695296,2973696,9952224,,,6.042,
case_093,5,q1_selected,ok,15876,32768,0,747520,,,0.129,
case_094,5,q1_selected,ok,25530,259200,0,785892,,,0.116,
case_095,5,q1_selected,ok,420852,0,0,11355036,,,1.169,
case_096,5,q1_selected,ok,27053,134784,0,354342,,,0.213,
case_097,5,q1_selected,ok,2102348,21311488,4272128,26357760,,,2.602,
case_098,5,q1_selected,ok,79513,819376,0,1517370,,,0.313,
case_099,5,q1_selected,ok,337221,10698752,3080192,13232788,,,1.847,
case_100,5,q1_selected,ok,57811,72192,0,526790,,,0.289,
case_001,2,q1_selected,ok,116868,1152,0,1640704,,,0.088,
case_001,3,q1_selected,ok,78545,2304,0,1641856,,,0.087,
case_001,4,q1_selected,ok,58984,3456,0,1643008,,,0.086,
case_002,2,q1_selected,ok,138284,353280,46080,1577472,,,0.271,
case_002,3,q1_selected,ok,95171,408576,0,1632768,,,0.252,
case_002,4,q1_selected,ok,73038,460800,0,1684992,,,0.269,
case_003,2,q1_selected,ok,338772,1221510,0,2505774,,,4.361,
case_003,3,q1_selected,ok,218198,2209040,0,3493304,,,4.607,
case_003,4,q1_selected,ok,195722,3244694,0,4528958,,,4.606,
case_004,2,q1_selected,ok,199074,110592,0,903168,,,0.158,
case_004,3,q1_selected,ok,134043,221184,0,1013760,,,0.122,
case_004,4,q1_selected,ok,104188,331776,0,1124352,,,0.127,
case_005,2,q1_selected,ok,55420,398118,0,731532,,,1.025,
case_005,3,q1_selected,ok,41929,795084,0,1128498,,,0.889,
case_005,4,q1_selected,ok,33901,1080882,0,1414296,,,0.903,
case_006,2,q1_selected,ok,46100,29576,12296,572924,,,0.108,
case_006,3,q1_selected,ok,31153,30080,0,573428,,,0.117,
case_006,4,q1_selected,ok,31153,30080,0,573428,,,0.141,
case_007,2,q1_selected,ok,507494,27648,0,1760256,,,1.08,
case_007,3,q1_selected,ok,338094,55296,0,1787904,,,0.926,
case_007,4,q1_selected,ok,254398,82944,0,1815552,,,0.882,
case_008,2,q1_selected,ok,244266,0,0,2654424,,,0.194,
case_008,3,q1_selected,ok,163359,0,0,2654424,,,0.191,
case_008,4,q1_selected,ok,123060,0,0,2654424,,,0.158,
case_009,2,q1_selected,ok,82880,329102,0,824434,,,1.142,
case_009,3,q1_selected,ok,56946,505340,0,1000672,,,1.112,
case_009,4,q1_selected,ok,47865,656170,0,1151502,,,1.109,
case_010,2,q1_selected,ok,45272,48384,0,432534,,,0.078,
case_010,3,q1_selected,ok,30856,48384,0,432534,,,0.082,
case_010,4,q1_selected,ok,29856,96768,0,480918,,,0.077,
case_011,2,q1_selected,ok,92646,180224,0,786432,,,0.093,
case_011,3,q1_selected,ok,69625,1081344,0,1687552,,,0.142,
case_011,4,q1_selected,ok,46880,540672,0,1146880,,,0.116,
case_012,2,q1_selected,ok,30094,28800,0,583698,,,0.154,
case_012,3,q1_selected,ok,21894,20160,0,575058,,,0.132,
