case,question,cores,method,selected,makespan,reference_cycles,raw_speedup_vs_original_singlecore,same_plan_cache_gain,generation_seconds,plan_sha256
case_009,3,4,trained,component_affinity,92216,153261,1.6619783985425522,1.0,0.47421610000310466,fdd61fafe3050a65f1e712234e600fe7f728fdde81f366963d3346f7f91c8876
case_019,3,4,component_scalar,component_scalar,24099,81144,3.3671106684924688,1.0,0.044237099995370954,4ef80c256e81ad88a738492a366e24d496a528c74b87c4a744259a93a88abf37
case_019,3,4,trained,component_scalar,24099,81144,3.3671106684924688,1.0,0.04306250000081491,4ef80c256e81ad88a738492a366e24d496a528c74b87c4a744259a93a88abf37
case_026,3,4,component_scalar,component_scalar,44013,99203,2.253947697271261,1.0060891100356713,0.046231399988755584,cfe53074b4f5282f3ddf56e31abe6445c0b444799ffc55b56a0de16bf17b59b8
case_026,3,4,trained,component_vector,43824,99203,2.2636683096020445,1.0000912741876598,0.042736300005344674,0c6fa7a111767b3834c8f66e371de030e7a2c53f4f970e0a7708ad103c8ce8c3
case_066,3,4,component_scalar,component_scalar,249808,359070,1.4373839108435278,1.0000080061487222,0.39526760000444483,854528f85bb7694cca1dc323b40f250833db9d138d0e81507eafc5be68fc9934
case_066,3,4,trained,component_affinity,249809,359070,1.4373781569118806,1.0000080061166732,0.38958329999877606,82671a94889fd0af94b906b6f9e8bc19c1384d5a2bfd4d75bbc2f94c0d242963
case_071,3,4,component_scalar,component_scalar,18919,18919,1.0,1.0,0.04098419999354519,b7c86567c10457951771394c1a7e554a02df8ebfa68e1a2bcb39e4934639d024
case_071,3,4,trained,shared_prefix,9795,18919,1.931495661051557,1.0,0.041640299998107366,a40692493d91533e08831df71fa6710dcc2903e6c109e0185a929a2b3e568e5b
case_094,3,4,component_scalar,component_scalar,28226,94892,3.3618649472117905,1.0,0.07274580000375863,2bb4e732a75f77560206a2cb138f9f3a08686222aaba9de06923c9197f2bc33a
case_094,3,4,trained,component_scalar,28226,94892,3.3618649472117905,1.0,0.06832000000576954,2bb4e732a75f77560206a2cb138f9f3a08686222aaba9de06923c9197f2bc33a
case_009,3,5,component_scalar,component_scalar,92225,153261,1.6618162103551097,1.0,0.48463380000612233,6676f2bf72d5e34eed27a02ab5d9b03667a800bc5231354ffd7e41e80a60664d
case_009,3,5,trained,component_vector,92225,153261,1.6618162103551097,1.0,0.48590459999104496,963c198ae41ad3cdb2b50d0c05b47de15df6767b40acb1a144e8ffe73eb33672
case_019,3,5,component_scalar,component_scalar,24202,81144,3.3527807619205023,1.0,0.04404380000778474,be8323a2b9b91cecab720010f9b751ecdb14f99bfe761cebceaa19eda7fe8460
case_019,3,5,trained,component_affinity,24202,81144,3.3527807619205023,1.0,0.04460779999499209,b155731f154f55798ceaf4dc8f2ca525690d7aa23a21df94c8a7f6453aeeb1bd
case_026,3,5,component_scalar,component_scalar,45011,99203,2.203972362311435,1.0170180622514498,0.045800099993357435,5ee291e22b914fad55bee5c3a5a19fe625e62a36d22d3f85ef5a0199ce690a9a
case_026,3,5,trained,component_affinity,45097,99203,2.1997693859901988,1.00969022329645,0.046450399997411296,74a4bce99b6e660a2408085288506a4d4bacc87ec708a4a9f47611da268a7cf4
case_066,3,5,component_scalar,component_scalar,250415,359070,1.4338997264540863,1.0001277878721322,0.39051739999558777,d293f1bad1f7d236aa15de32e7093db92aa50c23ab134f0a463f01d526649dbd
case_066,3,5,trained,shared_prefix,251738,359070,1.4263639180417735,1.0000238343039192,0.38929940000525676,c7501ce2d2a12f3b01c05e8dce06b76eb610c232306923bbc1a147b66f1053e2
case_071,3,5,component_scalar,component_scalar,18919,18919,1.0,1.0,0.040348599999560975,1e71a3d32dc71c996be0e65d0064b9789c09b41ca4f17655f377e0e0bb674f7e
case_071,3,5,trained,shared_prefix,9247,18919,2.0459608521682706,1.028225370390397,0.0400041999964742,60376c477d124f9858c4a4226a359c8190d52d6c18f959e4f93323aefb022dcc
case_094,3,5,component_scalar,component_scalar,23233,94892,4.08436275986743,1.0,0.06963600000017323,cf59528a4532697816e213bb88bbbed34bc3024f7fb2fff2a182a1a285483f1a
case_094,3,5,trained,component_scalar,23233,94892,4.08436275986743,1.0,0.0701413000060711,cf59528a4532697816e213bb88bbbed34bc3024f7fb2fff2a182a1a285483f1a
