case,question,cores,method,selected,makespan,reference_cycles,raw_speedup_vs_original_singlecore,same_plan_cache_gain,generation_seconds,plan_sha256
case_066,1,3,trained,component_scalar_coalesced,248976,359070,1.442187198766146,,0.4547879000019748,ee36c22d05f589203ef33db2c319f2deebc5631474a534d3752aa839c562154c
case_071,1,3,component_scalar,component_scalar,18919,18919,1.0,,0.06398710000212304,15649b1818bb8ee690307daa2ab90f2392be0f4709c19a7700c6c1057476f4a8
case_071,1,3,trained,shared_prefix,10410,18919,1.8173871277617675,,0.058654599997680634,e970cc4f2a65872a790a16e83bf1c3307363968492f86d8c05d7eb2bc42c4586
case_094,1,3,component_scalar,component_scalar,41139,94892,2.3066190233112134,,0.07324559999688063,c87dc441a9bf1d90b58f40c9a378c0b65332fa5a8c60663a26353f6f755151c8
case_094,1,3,trained,component_scalar_coalesced,32222,94892,2.9449444478927442,,0.07533950000652112,4e9d19db6d26f33c1de824774e0927e6a904567cc134707b0102f485081565af
case_009,1,4,component_scalar,component_scalar,92216,153261,1.6619783985425522,,0.6341493999934755,efcdb522dd5c9d3f92910c9160988201e6c68f3a5abe7bfe07cf070bc84ff3d4
case_009,1,4,trained,component_affinity_coalesced,92216,153261,1.6619783985425522,,0.6273229999933392,c16228c382c58180f1b843b28df33bc662d96bc2c8847fe423e38375521d0dad
case_019,1,4,component_scalar,component_scalar,24099,81144,3.3671106684924688,,0.07329859999299515,4ef80c256e81ad88a738492a366e24d496a528c74b87c4a744259a93a88abf37
case_019,1,4,trained,component_affinity_coalesced,24099,81144,3.3671106684924688,,0.07031390001066029,c2c621e131d8e31e95dab963ca7c4fc59e4ca082f2fab7875b408f3e001f9e97
case_026,1,4,component_scalar,component_scalar,41243,99203,2.4053293892296876,,0.06988470000214875,cfe53074b4f5282f3ddf56e31abe6445c0b444799ffc55b56a0de16bf17b59b8
case_026,1,4,trained,component_vector_coalesced,42226,99203,2.3493345332259743,,0.07083750001038425,cf39502893d81f49590688874801d88c8a9efcf48efb2f36acbe5eebfb53f731
case_066,1,4,component_scalar,component_scalar,249149,359070,1.4411857964511197,,0.6764573000109522,854528f85bb7694cca1dc323b40f250833db9d138d0e81507eafc5be68fc9934
case_066,1,4,trained,shared_prefix_coalesced,267772,359070,1.3409542446559013,,0.6626308999984758,42e5602a6e584d318da97915e4280b62ae91c31e0d4df557cee0d9ecd02c9539
case_071,1,4,component_scalar,component_scalar,18919,18919,1.0,,0.06510870000056457,b7c86567c10457951771394c1a7e554a02df8ebfa68e1a2bcb39e4934639d024
case_071,1,4,trained,shared_prefix,10436,18919,1.8128593330778076,,0.058335099995019846,a40692493d91533e08831df71fa6710dcc2903e6c109e0185a929a2b3e568e5b
case_094,1,4,component_scalar,component_scalar,32527,94892,2.917330217972761,,0.07457450000219978,2bb4e732a75f77560206a2cb138f9f3a08686222aaba9de06923c9197f2bc33a
case_094,1,4,trained,component_scalar_coalesced,24640,94892,3.8511363636363636,,0.07233549999364186,13178a446276706d04e68cb97b280434951f10eb05474b850eee819c4e1783bf
case_009,1,5,component_scalar,component_scalar,92225,153261,1.6618162103551097,,0.640941899997415,6676f2bf72d5e34eed27a02ab5d9b03667a800bc5231354ffd7e41e80a60664d
case_009,1,5,trained,component_affinity_coalesced,92225,153261,1.6618162103551097,,0.6875938000011956,89900a2eb8a29675cb0a6ff731ff623de8327b98b1cc933b476bf211db55448a
case_019,1,5,component_scalar,component_scalar,24202,81144,3.3527807619205023,,0.07344860000011977,be8323a2b9b91cecab720010f9b751ecdb14f99bfe761cebceaa19eda7fe8460
case_019,1,5,trained,component_affinity_coalesced,24202,81144,3.3527807619205023,,0.08147790000657551,77a32665994e33bf004e642d7be3407ed291faae9285fc51513743a6dd5260f7
case_026,1,5,component_scalar,component_scalar,42608,99203,2.328271686068344,,0.06940259999828413,5ee291e22b914fad55bee5c3a5a19fe625e62a36d22d3f85ef5a0199ce690a9a
case_026,1,5,trained,component_affinity_coalesced,44453,99203,2.2316379097023824,,0.07447690000117291,8aaedd1bc9addd2d1db2012d544abd9117abbd49f48e2f7deef8aa37491edd50
case_066,1,5,component_scalar,component_scalar,249509,359070,1.4391064049793796,,0.6660692000004929,d293f1bad1f7d236aa15de32e7093db92aa50c23ab134f0a463f01d526649dbd
case_066,1,5,trained,shared_prefix_coalesced,252146,359070,1.4240559041190421,,0.6692644999857293,c44ce46bad2e4419df66515fbd092c668e0e09c24f5acf2f09b512b14895ea37
case_071,1,5,component_scalar,component_scalar,18919,18919,1.0,,0.05705540000053588,1e71a3d32dc71c996be0e65d0064b9789c09b41ca4f17655f377e0e0bb674f7e
case_071,1,5,trained,shared_prefix_coalesced,10042,18919,1.8839872535351523,,0.05636830000730697,45ae9d702d0504935beb39cc28a825a07c37f8ac0b7c8505db223c684e73c269
case_094,1,5,component_scalar,component_scalar,28408,94892,3.3403266685440722,,0.07661190000362694,cf59528a4532697816e213bb88bbbed34bc3024f7fb2fff2a182a1a285483f1a
case_094,1,5,trained,component_scalar_coalesced,21573,94892,4.3986464562184215,,0.07465830000001006,2178847f6ce688339c1d35868ac776b17c8b78357392ad7d60beafeb4fff53bf
case_009,2,1,component_scalar,component_scalar,153852,153261,0.9961586459714531,,0.3227963999961503,8763731649897e6042854bd71b83de21b90f140aad885ebca1e4d83e31e0063d
case_009,2,1,trained,component_scalar,153852,153261,0.9961586459714531,,0.34365759999491274,8763731649897e6042854bd71b83de21b90f140aad885ebca1e4d83e31e0063d
case_019,2,1,component_scalar,component_scalar,78156,81144,1.0382312298479963,,0.02811100000690203,0135cb278b39f4a74a4929b143e024ce78355721046757b33d4ec25e05344101
case_019,2,1,trained,join_tail,77162,81144,1.051605712656489,,0.037142200002563186,3dfe4a54d417405015e94ce557706d6604414b4a1b741163f7d386253b8aab58
case_026,2,1,component_scalar,component_scalar,96638,99203,1.026542353939444,,0.028671300009591505,5d6e0f23644ab24397b85b57dd5fb2670ea89fbabbf0c7df5d56f7e7795a064d
case_026,2,1,trained,component_scalar,96638,99203,1.026542353939444,,0.02892229999997653,5d6e0f23644ab24397b85b57dd5fb2670ea89fbabbf0c7df5d56f7e7795a064d
case_066,2,1,component_scalar,component_scalar,358930,359070,1.000390048198813,,0.33807299999170937,08547bca68dbb9f3f1232344d798bddfd999cb3697067047fa44d3c776ad088c
