cores,q2_speedup,no_l2_speedup,l2_speedup,cache_gain,byte_hit_percent,added_mib
1,1.0,1.0,1.0086217156663206,1.0086217156663206,9.203711809342652,11.841641616821288
2,1.935753781501983,2.02735349168245,2.0322696729378316,1.0024813469351923,16.09489181824047,6.349207420349121
3,2.7452343757149884,2.826701328501841,2.849607102060091,1.0090930395343531,22.12679434117191,7.182438869476318
4,3.4645482913893746,3.540343012190571,3.5913971883200033,1.0175498232712106,22.037726811519224,7.322239646911621
5,3.952170334022541,4.080391183229326,4.193922744398971,1.0368187009038523,26.452239807564204,8.63703525543213
