case,cores,status,no_l2_cycles,l2_cycles,no_l2_added_bytes,l2_added_bytes,cache_hit_rate,hit_bytes,miss_bytes,cache_gain,seconds,plan_sha256,error,l2_speedup,no_l2_speedup,q2_cycles,vs_q2_gain,selected,inference_seconds,candidate_count
case_005,2,ok,52497.0,52497.0,324774.0,324774.0,0.10866797142116061,55302.0,453606.0,1.0,1.4305414000000383,7587a3aded8df988ab927fa7698585bec669353166237fbc648207510253f91a,,1.82139931805627,1.82139931805627,52497.0,1.0,valley,0.5316663000003246,6
case_005,3,ok,40393.0,39266.0,900684.0,900684.0,0.3933882521970902,351564.0,542118.0,1.0287016757500127,1.4462956000002123,ca8112116e48403662bff39210bb2f4c43accb4c4511f02a859321f2e7ccaf99,,2.4351347221514796,2.367192335305622,40393.0,1.0287016757500127,valley,0.5928218999997625,6
case_005,4,ok,35109.0,33363.0,963570.0,963570.0,0.38696829562971297,371536.0,588584.0,1.0523334232533046,1.3615341999998236,fd8b09f7fe2ac7175c91dc2435bf92620266bd606e310a8ae7435bb1babd66c7,,2.8659892695501004,2.7234612207696034,34791.0,1.04280190630339,valley,0.5409919000003356,6
case_005,5,ok,35237.0,30287.0,1696344.0,1696344.0,0.5508851295750303,799320.0,651654.0,1.1634364578862217,1.5890678000000662,9cac7095370eb8bf453d6336f50c1e9a4470c68c8bd1c0b6f53bd8d799ab96eb,,3.157064086901971,2.7135681244146777,55110.0,1.819592564466603,valley,0.5573299000002407,6
case_006,1,ok,82837.0,82837.0,16400.0,16400.0,0.029275126148920052,16384.0,543272.0,1.0,0.18330990000004022,e8d3ed91089efe98f011e9644afe62ac4d6973c59b0d3f59f14753e2fbd6e871,,1.0,1.0,82837.0,1.0,single_core_fixed,0.011889500000052067,1
case_006,2,ok,40831.0,40831.0,308812.0,308812.0,0.16047797461946334,121728.0,636806.0,1.0,0.2234691000003295,44471f472dfcc08a79962af3e1e66206a4192b39e79be98e0581731c52a13a39,,2.0287771546129165,2.0287771546129165,46100.0,1.1290441086429428,data_wide,0.0960971999998037,7
case_006,3,ok,32965.0,32597.0,528836.0,528836.0,0.1591354712647309,141058.0,745344.0,1.0112893824585085,0.2562681999997949,61cdb51ad5bd2a78469bde5cb62dc79e439a971070ac4922c30b83c2ade2014e,,2.5412461269441975,2.5128772940998028,31153.0,0.955701444918244,data_wide,0.1018448999998327,7
case_006,4,ok,24586.0,24163.0,637248.0,637248.0,0.15313239353312302,149124.0,824700.0,1.0175061043744569,0.25901040000007924,0c2ced26814e342bbaa181780209d0d35b6a2189f758edd492966fd89c01479e,,3.428258080536357,3.369275197266737,24586.0,1.0175061043744569,data_wide,0.10120240000014746,7
case_006,5,ok,22039.0,21943.0,483828.0,483828.0,0.20561978371344827,183938.0,710616.0,1.0043749715171124,0.26730399999996735,fb6001b5beed76b978d41efb6fa07776b6c7bb463d871fa8b81a5fef0a51f767,,3.7750991204484348,3.758655111393439,22039.0,1.0043749715171124,data_wide,0.10354540000025736,7
case_007,1,ok,1012562.0,1012562.0,0.0,0.0,0.0,0.0,880128.0,1.0,1.9618056999997862,f77c69b65eb86b3d67a5234462bb5bca4de39d250d5cf19ac77e6e222ad6ed3d,,1.0,1.0,1012562.0,1.0,single_core_fixed,0.07028249999984837,1
case_007,2,ok,507494.0,507494.0,27648.0,27648.0,0.0,0.0,907776.0,1.0,1.5862569000000803,52aa1f97cf1fa06190d3174d72460f81c27f12823ae206d812d0bffcfe849811,,1.9952196479170197,1.9952196479170197,507494.0,1.0,component_merged,0.6171660999998494,4
case_007,3,ok,338094.0,338094.0,55296.0,55296.0,0.0,0.0,935424.0,1.0,1.4088222000000314,d20378d444bc7d56eeb2e595c0b1302ce6cef4879fa599bb2bf2a04ec28c1d7a,,2.994912657426633,2.994912657426633,338094.0,1.0,component_merged,0.5671188000001166,4
case_007,4,ok,254398.0,254398.0,82944.0,82944.0,0.0,0.0,963072.0,1.0,1.3652007000000594,589758759dabf6d3e6074eb11040ff599ab83dd833132e3d60ce78b9901b3e96,,3.980227831979811,3.980227831979811,254398.0,1.0,component_merged,0.5629076000000168,4
case_007,5,ok,203834.0,203834.0,110592.0,110592.0,0.0,0.0,990720.0,1.0,1.3045563999999104,8de95c02ab9d47e7a9c4c97ef5f10fd6c26f1c90b7978fa9fe4744b7332ef71f,,4.967581463347626,4.967581463347626,203834.0,1.0,component_merged,0.5655069999997977,4
