case,cores,singlecore_reference_cycles,first_stage_cycles,q3_l2_cycles,same_plan_no_l2_cycles,first_stage_speedup,speedup_vs_reference,same_plan_l2_gain,added_copy_bytes,spill_added_copy_bytes,peak_l1_bytes,peak_ub_bytes,cache_hit_rate,cache_hit_bytes,cache_miss_bytes,official_search_calls,invalid_candidates,selected,branch_called,plan_sha256
case_006,1,82837.0,78005,78005,78067,1.0619447471315941,1.0619447471315941,1.0007948208448176,786502,786502,231168,130048,0.08481681816787492,82950,895040,22,0,greedy,False,820b1cead91e89e7b272e34b278c2feaa532b4ed7442ba173ee705a2c0ab4e6f
case_006,2,82837.0,38837,38837,39273,2.132940237402477,2.132940237402477,1.0112264078069881,895586,87080,145024,131072,0.18666405629617702,204038,889038,24,0,greedy,False,76689f72c635acf0ed75f22fd47d42f28817d86b37b3504e6065db8978d03e6e
case_006,3,82837.0,27650,27650,30947,2.995913200723327,2.995913200723327,1.119240506329114,1170608,0,84736,114690,0.28947184945147886,381972,937576,24,0,greedy,False,cb02159e091a906d8262914d730e9a87b722ac39d8ef8ff5f1cced6ce19c2980
case_006,4,82837.0,24163,24163,24586,3.428258080536357,3.428258080536357,1.0175061043744569,637248,0,100992,51200,0.15313239353312302,149124,824700,24,0,greedy,False,e486dbe32087b69c110e1c8bb823c2197507e0e19992aae4c3ea5d70260af96f
case_006,5,82837.0,21931,21931,21964,3.777164743969723,3.777164743969723,1.001504719347043,483832,0,80512,98304,0.2044790935391412,182918,711638,24,0,greedy,False,1e2ce93723a2806979f06a894d6409b1096a08d2c87879683d309aeb8b585475
case_007,1,1012562.0,1012562,1012562,1012562,1.0,1.0,1.0,0,0,35328,6144,0.0,0,880128,6,0,greedy,False,2f9f56272856e422f5cfd8c39b111f190a2382aa245cfc036013f67978bbb724
case_007,2,1012562.0,490814,490814,490814,2.063025912056298,2.063025912056298,1.0,2933760,2906112,451584,129024,0.003903708523096942,9216,2351616,24,0,greedy,False,d139078d17d978e491657f2004f2343f056409c4632ad31ce835d08389b043a7
case_007,3,1012562.0,326994,326994,326994,3.096576695596861,3.096576695596861,1.0,2709504,2654208,308736,129024,0.0,0,2262528,24,0,greedy,False,26d350371a84d96022a7a9a131ec8cef0c6f87d8c10a4da76474cb5c08f8d01b
case_007,4,1012562.0,246058,246058,246058,4.115135455868129,4.115135455868129,1.0,2485248,2402304,238080,129024,0.0127750177430802,27648,2136576,24,0,greedy,False,6817a443f11fe05c09cf53f57f2ac3a7b0a99773f4df08fecf9a6e1b04e11b9d
case_007,5,1012562.0,197052,197052,197052,5.1385522603170735,5.1385522603170735,1.0,2260992,2150400,195072,129024,0.0,0,2065920,24,0,greedy,False,053200d784a79c692133d65c7df232e2ba2d387b7bec5f4035d8cb32bfea885c
case_008,1,487605.0,269325,269325,269325,1.8104706209969368,1.8104706209969368,1.0,3760128,3760128,30720,129216,0.0,0,3870936,8,0,greedy,False,6bd0070a2eb79cd8696141029e835bc93f718bcb6c83681e2e222d8d89f2aab5
case_008,2,487605.0,136244,136244,136244,3.5789098969495905,3.5789098969495905,1.0,3538944,3538944,30720,129216,0.0,0,3760344,22,0,greedy,False,de243dc1bc43c27538a1db0164a7404f975969dc7dfe2fda8a3710dfd61bf238
case_008,3,487605.0,110229,110229,110229,4.4235636719919444,4.4235636719919444,1.0,3317760,3317760,30720,129216,0.0,0,3649752,24,0,greedy,False,5583febebe8c0ef9d516499fc30da1fbf654e6184acbf54a7869ee3545305bb2
case_008,4,487605.0,104264,104264,104264,4.676638149313281,4.676638149313281,1.0,3096576,3096576,30720,129216,0.0,0,3539160,24,0,greedy,False,4d0c7b0bb4ecfa0502c7135b86bf7c7e3e3190c6494d6a3482eab67a74c6f43f
case_008,5,487605.0,97488,97488,97488,5.001692516001969,5.001692516001969,1.0,2875392,2875392,30720,129216,0.0,0,3428568,24,0,greedy,False,24eaae7a509a599240d5820eec96ae521381a7194af0b170caebc13d3a9b3bbd
case_009,1,153261.0,139480,139480,139486,1.0988026957269859,1.0988026957269859,1.0000430169199885,427016,427016,179200,130782,0.16929634221946682,131076,643164,9,0,greedy,False,eea2eda82b30efd6eced2d376d298288704b1953f94ae331afa2adc76c2caf51
case_009,2,153261.0,88229,88229,88429,1.7370819118430447,1.7370819118430447,1.0022668283670901,740494,7616,36992,127052,0.20426350396617082,196890,767012,24,0,greedy,False,85881590650c3b2f3186227704710e543725e25e0bcc6c308e0628779173ce6e
case_009,3,153261.0,70895,70895,70920,2.1618026659143803,2.1618026659143803,1.0003526341773044,618700,0,39712,78222,0.15021510653937706,130378,737564,54,0,greedy,True,905417c5e89b60dfb9f286f7e01f959aa50757b7ffc3c40e212f1e7b46d22c27
case_009,4,153261.0,64120,64120,64259,2.3902214597629445,2.3902214597629445,1.0021678103555833,747262,0,36992,72776,0.1813215940258603,173074,781440,54,0,greedy,True,dd07b5ffd920789aa89506c0eaa60db0db6d154ee058fa16de5f0eaf0c0e1829
case_009,5,153261.0,52461,52461,53909,2.9214273460284783,2.9214273460284783,1.027601456319933,861326,0,32800,47114,0.17412034867003573,176822,838694,55,0,greedy,True,34d5b9aba01fd670713b9a24a10eae73c1dbf9b1f2be6f92f4f4edbc7070e82d
case_010,1,86969.0,75821,75821,75821,1.1470305060603263,1.1470305060603263,1.0,299528,299528,299008,130778,0.007643359644703204,4096,531794,24,0,greedy,False,77bd5678e0c34346bb9659d66c8e2d183dbe33e102cc2d9e98cb971f4d3573f8
case_010,2,86969.0,43852,43852,44499,1.9832390768950106,1.9832390768950106,1.0147541731277936,965316,36864,177984,116674,0.10607464382484048,97088,818192,24,0,greedy,False,085a54a1165f3c12edf9b7858187878ec2d5427ec08bc1278541ad724ec57c81
case_010,3,86969.0,30457,30457,30457,2.8554683652362347,2.8554683652362347,1.0,55680,0,229376,32776,0.11343619900798285,49536,387150,24,0,greedy,False,1e1e5d32be556e2635268a94aad8173f2d90e8a81d0308d46a4f7b2efc537e5c
