case,cores,singlecore_cycles,baseline_cycles,selected_cycles,speedup,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,peak_l1_bytes,peak_ub_bytes,strategy,source_plan,source_result
case_029,4,37555,11028,11028,3.405422560754443,0,0,0,0,14340,band_w12_k4_trimmed,q2_optimization/transfer/case_029/n4/band_w12_k4_trimmed/case_029_multicore_res.json,q2_optimization/transfer/case_029/n4/band_w12_k4_trimmed/result.json.gz
case_029,5,37555,9383,9383,4.002451241607162,0,0,0,0,47114,band_w8_k5,q2_optimization/band/case_029/n5/band_w8_k5/case_029_multicore_res.json,q2_optimization/band/case_029/n5/band_w8_k5/result.json.gz
case_030,2,2808034,1401423,1401423,2.003701951516423,6940672,1950720,4989952,524288,132,band_w12_k2_trimmed,q2_optimization/transfer/case_030/n2/band_w12_k2_trimmed/case_030_multicore_res.json,q2_optimization/transfer/case_030/n2/band_w12_k2_trimmed/result.json.gz
case_030,3,2808034,933969,933815,3.0070560014563914,6868416,3901888,2966528,524288,168,band_w8_k3_trimmed,q2_optimization/transfer/case_030/n3/band_w8_k3_trimmed/case_030_multicore_res.json,q2_optimization/transfer/case_030/n3/band_w8_k3_trimmed/result.json.gz
case_030,4,2808034,699591,699591,4.0138223619228945,8632320,5255168,3377152,524288,132,band_w12_k4_trimmed,q2_optimization/transfer/case_030/n4/band_w12_k4_trimmed/case_030_multicore_res.json,q2_optimization/transfer/case_030/n4/band_w12_k4_trimmed/result.json.gz
case_030,5,2808034,561192,560435,5.010454379187595,7753200,6205936,1547264,524288,154,band_w8_k5,q2_optimization/band/case_030/n5/band_w8_k5/case_030_multicore_res.json,q2_optimization/band/case_030/n5/band_w8_k5/result.json.gz
case_031,2,1414369,735345,714328,1.9799993840364651,5943150,2187534,3755616,524288,131012,band_w12_k2_trimmed,q2_optimization/transfer/case_031/n2/band_w12_k2_trimmed/case_031_multicore_res.json,q2_optimization/transfer/case_031/n2/band_w12_k2_trimmed/result.json.gz
case_031,3,1414369,486363,484719,2.917915328262354,4003202,2956422,1046780,524288,131072,band_w8_k3_trimmed,q2_optimization/transfer/case_031/n3/band_w8_k3_trimmed/case_031_multicore_res.json,q2_optimization/transfer/case_031/n3/band_w8_k3_trimmed/result.json.gz
case_031,4,1414369,398198,363420,3.8918303890815036,8740064,5923328,2816736,524288,122050,band_w12_k4_trimmed,q2_optimization/transfer/case_031/n4/band_w12_k4_trimmed/case_031_multicore_res.json,q2_optimization/transfer/case_031/n4/band_w12_k4_trimmed/result.json.gz
case_031,5,1414369,308135,305233,4.633735539735219,8914468,7131844,1782624,524288,131072,band_w12_k5,q2_optimization/band/case_031/n5/band_w12_k5/case_031_multicore_res.json,q2_optimization/band/case_031/n5/band_w12_k5/result.json.gz
case_032,2,41443,21880,20568,2.0149260987942434,288944,288944,0,47104,71692,band_w4_k2_trimmed,q2_optimization/transfer/case_032/n2/band_w4_k2_trimmed/case_032_multicore_res.json,q2_optimization/transfer/case_032/n2/band_w4_k2_trimmed/result.json.gz
case_032,3,41443,15402,14950,2.772107023411371,221452,221452,0,53248,43018,band_w8_k3_trimmed,q2_optimization/transfer/case_032/n3/band_w8_k3_trimmed/case_032_multicore_res.json,q2_optimization/transfer/case_032/n3/band_w8_k3_trimmed/result.json.gz
case_032,4,41443,14274,14154,2.9280062173237247,187652,187652,0,53248,40960,band_w8_k4_trimmed,q2_optimization/transfer/case_032/n4/band_w8_k4_trimmed/case_032_multicore_res.json,q2_optimization/transfer/case_032/n4/band_w8_k4_trimmed/result.json.gz
case_032,5,41443,10415,10415,3.9791646663466156,12360,12360,0,40960,36876,baseline,baseline_results_29_55/case_032/q2_n5/case_032_multicore_res.json,baseline_results_29_55/case_032/q2_n5/result.json.gz
case_033,2,1774196,897883,893740,1.9851366169131963,6290596,2372732,3917864,524288,126984,band_w8_k2_trimmed,q2_optimization/transfer/case_033/n2/band_w8_k2_trimmed/case_033_multicore_res.json,q2_optimization/transfer/case_033/n2/band_w8_k2_trimmed/result.json.gz
case_033,3,1774196,604202,598061,2.966580332106591,7528152,4624580,2903572,523776,130060,band_w8_k3_trimmed,q2_optimization/transfer/case_033/n3/band_w8_k3_trimmed/case_033_multicore_res.json,q2_optimization/transfer/case_033/n3/band_w8_k3_trimmed/result.json.gz
case_033,4,1774196,460454,451620,3.928515123333776,10032392,8806664,1225728,523776,63488,band_w4_k4_trimmed,q2_optimization/transfer/case_033/n4/band_w4_k4_trimmed/case_033_multicore_res.json,q2_optimization/transfer/case_033/n4/band_w4_k4_trimmed/result.json.gz
case_033,5,1774196,376794,358066,4.954941267810963,9318688,8778016,540672,523776,123910,band_w8_k5,q2_optimization/band/case_033/n5/band_w8_k5/case_033_multicore_res.json,q2_optimization/band/case_033/n5/band_w8_k5/result.json.gz
case_034,2,842996,418129,418129,2.016114644045259,1648128,1066496,581632,524288,122898,baseline,baseline_results_29_55/case_034/q2_n2/case_034_multicore_res.json,baseline_results_29_55/case_034/q2_n2/result.json.gz
case_034,3,842996,282515,282179,2.987451227766772,3616304,3169320,446984,524288,124944,band_w12_k3_trimmed,q2_optimization/transfer/case_034/n3/band_w12_k3_trimmed/case_034_multicore_res.json,q2_optimization/transfer/case_034/n3/band_w12_k3_trimmed/result.json.gz
case_034,4,842996,213112,213112,3.955647734524569,3176960,3119616,57344,472576,122890,baseline,baseline_results_29_55/case_034/q2_n4/case_034_multicore_res.json,baseline_results_29_55/case_034/q2_n4/result.json.gz
case_034,5,842996,178096,178096,4.733379750247058,3536896,3487744,49152,326144,122890,baseline,baseline_results_29_55/case_034/q2_n5/case_034_multicore_res.json,baseline_results_29_55/case_034/q2_n5/result.json.gz
case_035,2,169571,95406,95406,1.7773620107750037,0,0,0,73728,74792,baseline,baseline_results_29_55/case_035/q2_n2/case_035_multicore_res.json,baseline_results_29_55/case_035/q2_n2/result.json.gz
case_035,3,169571,95424,80298,2.1117711524570972,1106104,1106104,0,131200,62018,band_w8_k3_trimmed,q2_optimization/transfer/case_035/n3/band_w8_k3_trimmed/case_035_multicore_res.json,q2_optimization/transfer/case_035/n3/band_w8_k3_trimmed/result.json.gz
case_035,4,169571,95442,62702,2.7043953940863132,449344,449344,0,73728,19954,q1_selected,q2_optimization/case_035/n4/q1_selected/case_035_multicore_res.json,q2_optimization/case_035/n4/q1_selected/result.json.gz
case_035,5,169571,95460,47399,3.5775227325471,560392,560392,0,73728,20654,q1_selected,q2_optimization/case_035/n5/q1_selected/case_035_multicore_res.json,q2_optimization/case_035/n5/q1_selected/result.json.gz
case_036,2,931510,466068,466068,1.998656848356892,1152,1152,0,13440,8192,band_w4_k2_trimmed,q2_optimization/transfer/case_036/n2/band_w4_k2_trimmed/case_036_multicore_res.json,q2_optimization/transfer/case_036/n2/band_w4_k2_trimmed/result.json.gz
case_036,3,931510,311345,311345,2.991890025534375,2304,2304,0,13440,8192,band_w4_k3_trimmed,q2_optimization/transfer/case_036/n3/band_w4_k3_trimmed/case_036_multicore_res.json,q2_optimization/transfer/case_036/n3/band_w4_k3_trimmed/result.json.gz
case_036,4,931510,233584,233584,3.987901568600589,3456,3456,0,13440,8192,band_w4_k4_trimmed,q2_optimization/transfer/case_036/n4/band_w4_k4_trimmed/case_036_multicore_res.json,q2_optimization/transfer/case_036/n4/band_w4_k4_trimmed/result.json.gz
case_036,5,931510,187182,187182,4.976493466252097,4608,4608,0,13440,8192,baseline,baseline_results_29_55/case_036/q2_n5/case_036_multicore_res.json,baseline_results_29_55/case_036/q2_n5/result.json.gz
case_037,2,210001,105374,105374,1.992910964754114,204800,204800,0,225280,0,band_w8_k2_trimmed,q2_optimization/transfer/case_037/n2/band_w8_k2_trimmed/case_037_multicore_res.json,q2_optimization/transfer/case_037/n2/band_w8_k2_trimmed/result.json.gz
case_037,3,210001,74038,73521,2.8563403653377946,1310720,1310720,0,262144,0,band_w4_k3_trimmed,q2_optimization/transfer/case_037/n3/band_w4_k3_trimmed/case_037_multicore_res.json,q2_optimization/transfer/case_037/n3/band_w4_k3_trimmed/result.json.gz
case_037,4,210001,53320,53320,3.938503375843961,614400,614400,0,110592,0,band_w8_k4_trimmed,q2_optimization/transfer/case_037/n4/band_w8_k4_trimmed/case_037_multicore_res.json,q2_optimization/transfer/case_037/n4/band_w8_k4_trimmed/result.json.gz
case_037,5,210001,43800,43800,4.794543378995434,1925120,1925120,0,28672,0,baseline,baseline_results_29_55/case_037/q2_n5/case_037_multicore_res.json,baseline_results_29_55/case_037/q2_n5/result.json.gz
case_038,2,1364555,683459,680340,2.005695681570979,4273240,1496664,2776576,524288,115758,band_w8_k2_trimmed,q2_optimization/transfer/case_038/n2/band_w8_k2_trimmed/case_038_multicore_res.json,q2_optimization/transfer/case_038/n2/band_w8_k2_trimmed/result.json.gz
case_038,3,1364555,462076,456366,2.990045270681865,6225452,4177964,2047488,524288,109128,band_w8_k3_trimmed,q2_optimization/transfer/case_038/n3/band_w8_k3_trimmed/case_038_multicore_res.json,q2_optimization/transfer/case_038/n3/band_w8_k3_trimmed/result.json.gz
case_038,4,1364555,346382,344336,3.962858951721574,7129036,5400452,1728584,523776,129120,band_w8_k4_trimmed,q2_optimization/transfer/case_038/n4/band_w8_k4_trimmed/case_038_multicore_res.json,q2_optimization/transfer/case_038/n4/band_w8_k4_trimmed/result.json.gz
case_038,5,1364555,280919,280919,4.857467811006019,9070080,7592448,1477632,524288,36864,baseline,baseline_results_29_55/case_038/q2_n5/case_038_multicore_res.json,baseline_results_29_55/case_038/q2_n5/result.json.gz
case_039,2,1435262,708561,708561,2.025601183243221,11067392,4202496,6864896,524288,0,band_w8_k2_trimmed,q2_optimization/transfer/case_039/n2/band_w8_k2_trimmed/case_039_multicore_res.json,q2_optimization/transfer/case_039/n2/band_w8_k2_trimmed/result.json.gz
case_039,3,1435262,485565,485565,2.9558596686334475,14323712,8404992,5918720,524288,0,band_w8_k3_trimmed,q2_optimization/transfer/case_039/n3/band_w8_k3_trimmed/case_039_multicore_res.json,q2_optimization/transfer/case_039/n3/band_w8_k3_trimmed/result.json.gz
case_039,4,1435262,395323,395323,3.6306058590064327,17604608,12607488,4997120,524288,0,band_w8_k4_trimmed,q2_optimization/transfer/case_039/n4/band_w8_k4_trimmed/case_039_multicore_res.json,q2_optimization/transfer/case_039/n4/band_w8_k4_trimmed/result.json.gz
case_039,5,1435262,431161,395323,3.6306058590064327,17604608,12607488,4997120,524288,0,band_w8_k4,q2_optimization/band/case_039/n5/band_w8_k4/case_039_multicore_res.json,q2_optimization/band/case_039/n5/band_w8_k4/result.json.gz
case_040,2,253454,144027,144027,1.7597672658598735,12288,12288,0,245760,90112,baseline,baseline_results_29_55/case_040/q2_n2/case_040_multicore_res.json,baseline_results_29_55/case_040/q2_n2/result.json.gz
case_040,3,253454,110105,94945,2.6694823318763494,702726,702726,0,245760,92934,q1_selected,q2_optimization/case_040/n3/q1_selected/case_040_multicore_res.json,q2_optimization/case_040/n3/q1_selected/result.json.gz
case_040,4,253454,110202,95217,2.661856601237174,1066250,1066250,0,245760,93236,q1_selected,q2_optimization/case_040/n4/q1_selected/case_040_multicore_res.json,q2_optimization/case_040/n4/q1_selected/result.json.gz
case_040,5,253454,110337,95398,2.65680622235267,873200,873200,0,245760,91700,valley_merge_16_heft,q2_optimization/replay/case_040/n5/valley_merge_16_heft/case_040_multicore_res.json,q2_optimization/replay/case_040/n5/valley_merge_16_heft/result.json.gz
case_041,2,6003957,3002984,3002984,1.9993303327623457,30557184,4709376,25847808,524288,8198,baseline,baseline_results_29_55/case_041/q2_n2/case_041_multicore_res.json,baseline_results_29_55/case_041/q2_n2/result.json.gz
case_041,3,6003957,1998385,1998385,3.0044045566795186,34762752,9787392,24975360,524288,8198,baseline,baseline_results_29_55/case_041/q2_n3/case_041_multicore_res.json,baseline_results_29_55/case_041/q2_n3/result.json.gz
case_041,4,6003957,1501288,1500477,4.001365565750091,34744364,13714476,21029888,524288,14338,band_w12_k4_trimmed,q2_optimization/transfer/case_041/n4/band_w12_k4_trimmed/case_041_multicore_res.json,q2_optimization/transfer/case_041/n4/band_w12_k4_trimmed/result.json.gz
case_041,5,6003957,1213259,1213259,4.948619379703756,38200320,18302976,19897344,524288,8198,baseline,baseline_results_29_55/case_041/q2_n5/case_041_multicore_res.json,baseline_results_29_55/case_041/q2_n5/result.json.gz
case_042,2,1686740,849537,849537,1.9854815034542346,6469920,2052384,4417536,524288,32776,baseline,baseline_results_29_55/case_042/q2_n2/case_042_multicore_res.json,baseline_results_29_55/case_042/q2_n2/result.json.gz
case_042,3,1686740,567781,567781,2.97075809158813,8368416,4104480,4263936,524288,32776,baseline,baseline_results_29_55/case_042/q2_n3/case_042_multicore_res.json,baseline_results_29_55/case_042/q2_n3/result.json.gz
case_042,4,1686740,444517,444517,3.7945455404405233,8168736,5542176,2626560,524288,32776,baseline,baseline_results_29_55/case_042/q2_n4/case_042_multicore_res.json,baseline_results_29_55/case_042/q2_n4/result.json.gz
case_042,5,1686740,362266,362266,4.656081442917635,10073088,7901184,2171904,524288,32776,baseline,baseline_results_29_55/case_042/q2_n5/case_042_multicore_res.json,baseline_results_29_55/case_042/q2_n5/result.json.gz
case_043,2,677656,353177,346000,1.958543352601156,1690534,1690534,0,515072,124008,q1_selected,q2_optimization/case_043/n2/q1_selected/case_043_multicore_res.json,q2_optimization/case_043/n2/q1_selected/result.json.gz
case_043,3,677656,268777,243660,2.7811540671427397,3029114,3029114,0,330352,112576,q1_selected,q2_optimization/case_043/n3/q1_selected/case_043_multicore_res.json,q2_optimization/case_043/n3/q1_selected/result.json.gz
case_043,4,677656,269194,193488,3.502315389068056,3853190,3853190,0,238592,113304,q1_selected,q2_optimization/case_043/n4/q1_selected/case_043_multicore_res.json,q2_optimization/case_043/n4/q1_selected/result.json.gz
case_043,5,677656,269612,175302,3.8656489943069676,4716778,4716778,0,192512,87952,q1_selected,q2_optimization/case_043/n5/q1_selected/case_043_multicore_res.json,q2_optimization/case_043/n5/q1_selected/result.json.gz
case_044,2,154407,131105,43931,3.514761785527304,930400,930400,0,172160,0,band_w2_k2_trimmed,q2_optimization/transfer/case_044/n2/band_w2_k2_trimmed/case_044_multicore_res.json,q2_optimization/transfer/case_044/n2/band_w2_k2_trimmed/result.json.gz
case_044,3,154407,123553,43931,3.514761785527304,930400,930400,0,172160,0,band_w2_k2_trimmed,q2_optimization/transfer/case_044/n3/band_w2_k2_trimmed/case_044_multicore_res.json,q2_optimization/transfer/case_044/n3/band_w2_k2_trimmed/result.json.gz
case_044,4,154407,124268,43931,3.514761785527304,930400,930400,0,172160,0,band_w2_k2_trimmed,q2_optimization/transfer/case_044/n4/band_w2_k2_trimmed/case_044_multicore_res.json,q2_optimization/transfer/case_044/n4/band_w2_k2_trimmed/result.json.gz
case_044,5,154407,132892,43931,3.514761785527304,930400,930400,0,172160,0,band_w2_k2,q2_optimization/band/case_044/n5/band_w2_k2/case_044_multicore_res.json,q2_optimization/band/case_044/n5/band_w2_k2/result.json.gz
case_045,2,125614,63059,63059,1.99200748505368,0,0,0,0,32768,baseline,baseline_results_29_55/case_045/q2_n2/case_045_multicore_res.json,baseline_results_29_55/case_045/q2_n2/result.json.gz
case_045,3,125614,42601,42601,2.94861622966597,0,0,0,0,32768,baseline,baseline_results_29_55/case_045/q2_n3/case_045_multicore_res.json,baseline_results_29_55/case_045/q2_n3/result.json.gz
case_045,4,125614,31878,31878,3.940460505677897,0,0,0,0,32768,baseline,baseline_results_29_55/case_045/q2_n4/case_045_multicore_res.json,baseline_results_29_55/case_045/q2_n4/result.json.gz
case_045,5,125614,26164,26164,4.801024308209754,0,0,0,0,32768,baseline,baseline_results_29_55/case_045/q2_n5/case_045_multicore_res.json,baseline_results_29_55/case_045/q2_n5/result.json.gz
case_046,2,276455,166578,111408,2.481464526784432,930400,930400,0,214016,0,data_band_w4_k2_trimmed,q2_optimization/transfer_data_band/case_046/n2/data_band_w4_k2_trimmed/case_046_multicore_res.json,q2_optimization/transfer_data_band/case_046/n2/data_band_w4_k2_trimmed/result.json.gz
case_046,3,276455,142176,83766,3.3003247140844736,1860800,1860800,0,197632,0,data_band_w4_k3_trimmed,q2_optimization/transfer_data_band/case_046/n3/data_band_w4_k3_trimmed/case_046_multicore_res.json,q2_optimization/transfer_data_band/case_046/n3/data_band_w4_k3_trimmed/result.json.gz
case_046,4,276455,124612,79548,3.4753230753758735,2791200,2791200,0,181248,0,data_band_w4_k4_trimmed,q2_optimization/transfer_data_band/case_046/n4/data_band_w4_k4_trimmed/case_046_multicore_res.json,q2_optimization/transfer_data_band/case_046/n4/data_band_w4_k4_trimmed/result.json.gz
case_046,5,276455,131039,79548,3.4753230753758735,2791200,2791200,0,181248,0,data_band_w4_k4,q2_optimization/data_band/case_046/n5/data_band_w4_k4/case_046_multicore_res.json,q2_optimization/data_band/case_046/n5/data_band_w4_k4/result.json.gz
case_047,2,326508,326508,177209,1.8425023559751479,528198,528198,0,20928,13220,q1_selected,q2_optimization/case_047/n2/q1_selected/case_047_multicore_res.json,q2_optimization/case_047/n2/q1_selected/result.json.gz
case_047,3,326508,326508,130202,2.507703414694091,1195788,1195788,0,21120,11108,q1_selected,q2_optimization/case_047/n3/q1_selected/case_047_multicore_res.json,q2_optimization/case_047/n3/q1_selected/result.json.gz
case_047,4,326508,326508,101551,3.2152120609348995,1104338,1104338,0,16128,8804,q1_selected,q2_optimization/case_047/n4/q1_selected/case_047_multicore_res.json,q2_optimization/case_047/n4/q1_selected/result.json.gz
case_047,5,326508,326508,92091,3.5454930449229565,2182936,2182936,0,19648,8964,q1_selected,q2_optimization/case_047/n5/q1_selected/case_047_multicore_res.json,q2_optimization/case_047/n5/q1_selected/result.json.gz
case_048,2,222220,222220,134500,1.6521933085501859,600998,600998,0,18560,12100,q1_selected,q2_optimization/case_048/n2/q1_selected/case_048_multicore_res.json,q2_optimization/case_048/n2/q1_selected/result.json.gz
case_048,3,222220,222220,100024,2.2216667999680078,727692,727692,0,14528,13444,q1_selected,q2_optimization/case_048/n3/q1_selected/case_048_multicore_res.json,q2_optimization/case_048/n3/q1_selected/result.json.gz
case_048,4,222220,222220,97230,2.2855085878843977,705230,705230,0,16448,13572,q1_selected,q2_optimization/case_048/n4/q1_selected/case_048_multicore_res.json,q2_optimization/case_048/n4/q1_selected/result.json.gz
case_048,5,222220,222220,93714,2.3712572294427727,614544,614544,0,8384,10308,valley_merge_6_heft,q2_optimization/replay/case_048/n5/valley_merge_6_heft/case_048_multicore_res.json,q2_optimization/replay/case_048/n5/valley_merge_6_heft/result.json.gz
case_049,2,196276,160206,118841,1.651584890736362,977242,977242,0,86176,110564,band_w4_k2_trimmed,q2_optimization/transfer/case_049/n2/band_w4_k2_trimmed/case_049_multicore_res.json,q2_optimization/transfer/case_049/n2/band_w4_k2_trimmed/result.json.gz
case_049,3,196276,160224,100334,1.9562262044770466,1503824,1503824,0,60032,92130,band_w4_k3_trimmed,q2_optimization/transfer/case_049/n3/band_w4_k3_trimmed/case_049_multicore_res.json,q2_optimization/transfer/case_049/n3/band_w4_k3_trimmed/result.json.gz
case_049,4,196276,160242,86256,2.2755054720831014,1742718,1742718,0,54432,95842,band_w4_k4_trimmed,q2_optimization/transfer/case_049/n4/band_w4_k4_trimmed/case_049_multicore_res.json,q2_optimization/transfer/case_049/n4/band_w4_k4_trimmed/result.json.gz
case_049,5,196276,160260,82372,2.382799980575924,2032176,2032176,0,49280,95778,band_w4_k5,q2_optimization/band/case_049/n5/band_w4_k5/case_049_multicore_res.json,q2_optimization/band/case_049/n5/band_w4_k5/result.json.gz
case_050,2,149690,108121,78136,1.915762260673697,231070,231070,0,17920,103602,q1_selected,q2_optimization/case_050/n2/q1_selected/case_050_multicore_res.json,q2_optimization/case_050/n2/q1_selected/result.json.gz
case_050,3,149690,108134,54550,2.7440879926672777,389776,389776,0,15968,82192,q1_selected,q2_optimization/case_050/n3/q1_selected/case_050_multicore_res.json,q2_optimization/case_050/n3/q1_selected/result.json.gz
case_050,4,149690,108147,42792,3.498083753972705,572750,572750,0,15424,65678,q1_selected,q2_optimization/case_050/n4/q1_selected/case_050_multicore_res.json,q2_optimization/case_050/n4/q1_selected/result.json.gz
case_050,5,149690,108160,38528,3.8852263289036544,682208,682208,0,15136,54154,q1_selected,q2_optimization/case_050/n5/q1_selected/case_050_multicore_res.json,q2_optimization/case_050/n5/q1_selected/result.json.gz
case_051,2,607628,607628,318596,1.9072053635324988,393884,393884,0,393216,65546,q1_selected,q2_optimization/case_051/n2/q1_selected/case_051_multicore_res.json,q2_optimization/case_051/n2/q1_selected/result.json.gz
case_051,3,607628,607628,227413,2.6719140946208,952,952,0,131072,65542,band_w4_k3_trimmed,q2_optimization/transfer/case_051/n3/band_w4_k3_trimmed/case_051_multicore_res.json,q2_optimization/transfer/case_051/n3/band_w4_k3_trimmed/result.json.gz
case_051,4,607628,607628,178135,3.4110534145451483,1140,1140,0,98304,65540,band_w4_k4_trimmed,q2_optimization/transfer/case_051/n4/band_w4_k4_trimmed/case_051_multicore_res.json,q2_optimization/transfer/case_051/n4/band_w4_k4_trimmed/result.json.gz
case_051,5,607628,607628,169999,3.5743033782551663,197840,197840,0,196608,65540,q1_selected,q2_optimization/case_051/n5/q1_selected/case_051_multicore_res.json,q2_optimization/case_051/n5/q1_selected/result.json.gz
case_052,2,180301,91254,86318,2.088799555133344,485988,477796,8192,85632,130590,band_w4_k2_trimmed,q2_optimization/transfer/case_052/n2/band_w4_k2_trimmed/case_052_multicore_res.json,q2_optimization/transfer/case_052/n2/band_w4_k2_trimmed/result.json.gz
case_052,3,180301,63361,63361,2.845614810372311,181248,181248,0,101376,50280,baseline,baseline_results_29_55/case_052/q2_n3/case_052_multicore_res.json,baseline_results_29_55/case_052/q2_n3/result.json.gz
case_052,4,180301,47721,47721,3.778231805703988,259584,259584,0,105984,49160,baseline,baseline_results_29_55/case_052/q2_n4/case_052_multicore_res.json,baseline_results_29_55/case_052/q2_n4/result.json.gz
case_052,5,180301,51670,40822,4.416760570280731,416844,416844,0,101376,32782,q1_selected,q2_optimization/case_052/n5/q1_selected/case_052_multicore_res.json,q2_optimization/case_052/n5/q1_selected/result.json.gz
case_053,2,1472686,774929,731721,2.0126332304252577,3251338,3251338,0,354592,101158,band_w8_k2_trimmed,q2_optimization/transfer/case_053/n2/band_w8_k2_trimmed/case_053_multicore_res.json,q2_optimization/transfer/case_053/n2/band_w8_k2_trimmed/result.json.gz
case_053,3,1472686,546106,518285,2.841459814580781,5687408,5687408,0,305152,114002,band_w8_k3_trimmed,q2_optimization/transfer/case_053/n3/band_w8_k3_trimmed/case_053_multicore_res.json,q2_optimization/transfer/case_053/n3/band_w8_k3_trimmed/result.json.gz
case_053,4,1472686,492232,437275,3.3678714767594764,7017212,7017212,0,420224,96932,band_w12_k4_trimmed,q2_optimization/transfer/case_053/n4/band_w12_k4_trimmed/case_053_multicore_res.json,q2_optimization/transfer/case_053/n4/band_w12_k4_trimmed/result.json.gz
case_053,5,1472686,492699,370991,3.9696003407090736,8302434,8302434,0,403328,130580,q1_selected,q2_optimization/case_053/n5/q1_selected/case_053_multicore_res.json,q2_optimization/case_053/n5/q1_selected/result.json.gz
case_054,2,815051,517960,425972,1.9133910210060756,799686,799686,0,109504,24724,q1_selected,q2_optimization/case_054/n2/q1_selected/case_054_multicore_res.json,q2_optimization/case_054/n2/q1_selected/result.json.gz
case_054,3,815051,517986,291396,2.797056239618938,1583882,1583882,0,109056,21652,q1_selected,q2_optimization/case_054/n3/q1_selected/case_054_multicore_res.json,q2_optimization/case_054/n3/q1_selected/result.json.gz
case_054,4,815051,518015,256479,3.1778469192409515,1458514,1458514,0,104448,20116,q1_selected,q2_optimization/case_054/n4/q1_selected/case_054_multicore_res.json,q2_optimization/case_054/n4/q1_selected/result.json.gz
case_054,5,815051,518133,192335,4.237663451789846,2732950,2732950,0,102656,15556,q1_selected,q2_optimization/case_054/n5/q1_selected/case_054_multicore_res.json,q2_optimization/case_054/n5/q1_selected/result.json.gz
case_055,2,118835,65764,60919,1.95070503455408,407128,300628,106500,93184,128016,band_w8_k2_trimmed,q2_optimization/transfer/case_055/n2/band_w8_k2_trimmed/case_055_multicore_res.json,q2_optimization/transfer/case_055/n2/band_w8_k2_trimmed/result.json.gz
case_055,3,118835,43687,42897,2.7702403431475395,473160,473160,0,64000,108556,band_w12_k3_trimmed,q2_optimization/transfer/case_055/n3/band_w12_k3_trimmed/case_055_multicore_res.json,q2_optimization/transfer/case_055/n3/band_w12_k3_trimmed/result.json.gz
case_055,4,118835,31367,30952,3.8393318686999223,514712,514712,0,82432,82950,band_w8_k4_trimmed,q2_optimization/transfer/case_055/n4/band_w8_k4_trimmed/case_055_multicore_res.json,q2_optimization/transfer/case_055/n4/band_w8_k4_trimmed/result.json.gz
case_055,5,118835,26781,26682,4.45375159283412,601664,601664,0,47616,61448,band_w12_k5,q2_optimization/band/case_055/n5/band_w12_k5/case_055_multicore_res.json,q2_optimization/band/case_055/n5/band_w12_k5/result.json.gz
case_056,2,277285,265710,148424,1.868195170592357,318614,318614,0,24992,42190,q1_selected,q2_optimization/case_056/n2/q1_selected/case_056_multicore_res.json,q2_optimization/case_056/n2/q1_selected/result.json.gz
case_056,3,277285,265728,96817,2.864011485586209,655984,655984,0,22112,38606,q1_selected,q2_optimization/case_056/n3/q1_selected/case_056_multicore_res.json,q2_optimization/case_056/n3/q1_selected/result.json.gz
case_056,4,277285,265746,78516,3.5315731825360435,822978,822978,0,22112,28678,q1_selected,q2_optimization/case_056/n4/q1_selected/case_056_multicore_res.json,q2_optimization/case_056/n4/q1_selected/result.json.gz
case_056,5,277285,265764,70177,3.95122333528079,1067204,1067204,0,22112,33990,q1_selected,q2_optimization/case_056/n5/q1_selected/case_056_multicore_res.json,q2_optimization/case_056/n5/q1_selected/result.json.gz
case_057,2,59726,33730,32922,1.8141668185407933,280404,280404,0,19968,107534,band_w8_k2_trimmed,q2_optimization/transfer/case_057/n2/band_w8_k2_trimmed/case_057_multicore_res.json,q2_optimization/transfer/case_057/n2/band_w8_k2_trimmed/result.json.gz
case_057,3,59726,25250,22930,2.604709986916703,243556,243556,0,17280,86026,band_w8_k3_trimmed,q2_optimization/transfer/case_057/n3/band_w8_k3_trimmed/case_057_multicore_res.json,q2_optimization/transfer/case_057/n3/band_w8_k3_trimmed/result.json.gz
case_057,4,59726,20957,19820,3.0134207870837537,392992,392992,0,17920,77836,band_w12_k4_trimmed,q2_optimization/transfer/case_057/n4/band_w12_k4_trimmed/case_057_multicore_res.json,q2_optimization/transfer/case_057/n4/band_w12_k4_trimmed/result.json.gz
case_057,5,59726,16538,14502,4.118466418425045,38176,38176,0,15744,69644,component1_cut61_to3,q2_optimization/component_split/case_057/n5/component1_cut61_to3/case_057_multicore_res.json,q2_optimization/component_split/case_057/n5/component1_cut61_to3/result.json.gz
case_058,2,4539717,2271316,2271316,1.9987166030618373,33431552,6623232,26808320,524288,0,band_w8_k2_trimmed,q2_optimization/transfer/case_058/n2/band_w8_k2_trimmed/case_058_multicore_res.json,q2_optimization/transfer/case_058/n2/band_w8_k2_trimmed/result.json.gz
case_058,3,4539717,1554831,1554831,2.9197494775959574,30400512,9191424,21209088,524288,0,band_w8_k3_trimmed,q2_optimization/transfer/case_058/n3/band_w8_k3_trimmed/case_058_multicore_res.json,q2_optimization/transfer/case_058/n3/band_w8_k3_trimmed/result.json.gz
case_058,4,4539717,1154519,1154519,3.9321284448328697,42622976,19869696,22753280,524288,0,band_w8_k4_trimmed,q2_optimization/transfer/case_058/n4/band_w8_k4_trimmed/case_058_multicore_res.json,q2_optimization/transfer/case_058/n4/band_w8_k4_trimmed/result.json.gz
