case,cores,singlecore_cycles,baseline_cycles,selected_cycles,speedup,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,peak_l1_bytes,peak_ub_bytes,strategy,source_plan,source_result
case_007,3,1012562,338094,326994,3.096576695596861,2709504,55296,2654208,308736,129024,band_w4_k3_trimmed,q2_optimization/transfer/case_007/n3/band_w4_k3_trimmed/case_007_multicore_res.json,q2_optimization/transfer/case_007/n3/band_w4_k3_trimmed/result.json.gz
case_007,4,1012562,254398,246058,4.115135455868129,2485248,82944,2402304,238080,129024,band_w4_k4_trimmed,q2_optimization/transfer/case_007/n4/band_w4_k4_trimmed/case_007_multicore_res.json,q2_optimization/transfer/case_007/n4/band_w4_k4_trimmed/result.json.gz
case_007,5,1012562,203834,197052,5.1385522603170735,2260992,110592,2150400,195072,129024,band_w4_k5,q2_optimization/band/case_007/n5/band_w4_k5/case_007_multicore_res.json,q2_optimization/band/case_007/n5/band_w4_k5/result.json.gz
case_008,2,487605,244266,136244,3.5789098969495905,3538944,0,3538944,30720,129216,band_w4_k2_trimmed,q2_optimization/transfer/case_008/n2/band_w4_k2_trimmed/case_008_multicore_res.json,q2_optimization/transfer/case_008/n2/band_w4_k2_trimmed/result.json.gz
case_008,3,487605,163359,110229,4.4235636719919444,3317760,0,3317760,30720,129216,band_w4_k3_trimmed,q2_optimization/transfer/case_008/n3/band_w4_k3_trimmed/case_008_multicore_res.json,q2_optimization/transfer/case_008/n3/band_w4_k3_trimmed/result.json.gz
case_008,4,487605,123060,104264,4.676638149313281,3096576,0,3096576,30720,129216,band_w4_k4_trimmed,q2_optimization/transfer/case_008/n4/band_w4_k4_trimmed/case_008_multicore_res.json,q2_optimization/transfer/case_008/n4/band_w4_k4_trimmed/result.json.gz
case_008,5,487605,100603,97488,5.001692516001969,2875392,0,2875392,30720,129216,band_w4_k5,q2_optimization/band/case_008/n5/band_w4_k5/case_008_multicore_res.json,q2_optimization/band/case_008/n5/band_w4_k5/result.json.gz
case_009,2,153261,92198,82880,1.8491916023166024,329102,329102,0,39520,44894,q1_selected,q2_optimization/case_009/n2/q1_selected/case_009_multicore_res.json,q2_optimization/case_009/n2/q1_selected/result.json.gz
case_009,3,153261,92207,56946,2.691339163417975,505340,505340,0,38624,40184,q1_selected,q2_optimization/case_009/n3/q1_selected/case_009_multicore_res.json,q2_optimization/case_009/n3/q1_selected/result.json.gz
case_009,4,153261,92216,47865,3.2019429645879036,656170,656170,0,38816,33458,q1_selected,q2_optimization/case_009/n4/q1_selected/case_009_multicore_res.json,q2_optimization/case_009/n4/q1_selected/result.json.gz
case_009,5,153261,92225,42204,3.63143303952232,789448,789448,0,38400,32842,q1_selected,q2_optimization/case_009/n5/q1_selected/case_009_multicore_res.json,q2_optimization/case_009/n5/q1_selected/result.json.gz
case_010,2,86969,45272,43584,1.9954341042584434,20740,20740,0,231296,35080,data_band_w12_k2_trimmed,q2_optimization/transfer_data_band/case_010/n2/data_band_w12_k2_trimmed/case_010_multicore_res.json,q2_optimization/transfer_data_band/case_010/n2/data_band_w12_k2_trimmed/result.json.gz
case_010,3,86969,30856,30856,2.8185442053409386,48384,48384,0,229376,32776,baseline,baseline_results/case_010/q2_n3/case_010_multicore_res.json,baseline_results/case_010/q2_n3/result.json.gz
case_010,4,86969,29856,25173,3.4548524212449845,365144,365144,0,115072,55042,data_band_w4_k4_trimmed,q2_optimization/transfer_data_band/case_010/n4/data_band_w4_k4_trimmed/case_010_multicore_res.json,q2_optimization/transfer_data_band/case_010/n4/data_band_w4_k4_trimmed/result.json.gz
case_010,5,86969,31015,23614,3.6829423223511477,418324,418324,0,115072,54112,data_band_w4_k5,q2_optimization/data_band/case_010/n5/data_band_w4_k5/case_010_multicore_res.json,q2_optimization/data_band/case_010/n5/data_band_w4_k5/result.json.gz
case_011,2,184697,92646,92646,1.9935777043801135,180224,180224,0,241664,0,baseline,baseline_results/case_011/q2_n2/case_011_multicore_res.json,baseline_results/case_011/q2_n2/result.json.gz
case_011,3,184697,69625,63552,2.906234264853978,1978368,1978368,0,180224,0,band_w12_k3_trimmed,q2_optimization/transfer/case_011/n3/band_w12_k3_trimmed/case_011_multicore_res.json,q2_optimization/transfer/case_011/n3/band_w12_k3_trimmed/result.json.gz
case_011,4,184697,46880,46880,3.9397824232081913,540672,540672,0,110592,0,baseline,baseline_results/case_011/q2_n4/case_011_multicore_res.json,baseline_results/case_011/q2_n4/result.json.gz
case_011,5,184697,47287,45978,4.017073382922267,2101248,2101248,0,102400,0,band_w12_k5,q2_optimization/band/case_011/n5/band_w12_k5/case_011_multicore_res.json,q2_optimization/band/case_011/n5/band_w12_k5/result.json.gz
case_012,2,59088,30094,29291,2.017274930866136,340804,340804,0,33984,82472,band_w4_k2_trimmed,q2_optimization/transfer/case_012/n2/band_w4_k2_trimmed/case_012_multicore_res.json,q2_optimization/transfer/case_012/n2/band_w4_k2_trimmed/result.json.gz
case_012,3,59088,21894,20332,2.906157780838088,191960,191960,0,30272,49160,band_w8_k3_trimmed,q2_optimization/transfer/case_012/n3/band_w8_k3_trimmed/case_012_multicore_res.json,q2_optimization/transfer/case_012/n3/band_w8_k3_trimmed/result.json.gz
