case,cores,singlecore_reference_cycles,first_stage_cycles,q3_l2_cycles,same_plan_no_l2_cycles,first_stage_speedup,speedup_vs_reference,same_plan_l2_gain,added_copy_bytes,spill_added_copy_bytes,peak_l1_bytes,peak_ub_bytes,cache_hit_rate,cache_hit_bytes,cache_miss_bytes,official_search_calls,invalid_candidates,selected,branch_called,plan_sha256
case_026,5,99203.0,34829,34829,40041,2.8482873467512704,2.8482873467512704,1.1496454104338338,1408692,0,73728,90112,0.27795889202737556,398344,1034760,54,0,greedy,True,ae221a32355d53b7e99b45675b92d845a11a0690241eebca7757245fee156449
case_027,5,2363952.0,474308,474308,474308,4.984001956534573,4.984001956534573,1.0,9207808,0,249856,0,0.35209662716499546,3164160,5822464,24,0,greedy,False,6f906653a7e03577e8df9c88ecdba54c85bf0c97189460f7b64cb0f0a81dcdc9
case_028,5,43836040.0,8070683,8070683,8134463,5.43151552353128,5.43151552353128,1.0079026768862065,33177600,14008320,523776,0,0.344419013270449,8580960,16333344,13,0,greedy,False,3f9967df1044d9ccf966ec2552ad4e843797929173718b8493124449e01e9615
case_029,5,37555.0,9383,9383,9383,4.002451241607162,4.002451241607162,1.0,0,0,0,14340,0.0,0,258132,24,0,greedy,False,712451fa176d4437358c9ab9656c0adb42913a8a78979a0b634803dce20106d9
case_030,5,2808034.0,560134,560134,560613,5.0131468541456154,5.0131468541456154,1.0008551525170764,7725760,1519616,524288,238,0.6265342201054386,6339584,3778912,24,0,greedy,False,25c590201b913b10dab1e667cc1380378a969248f9bece5e3af3170c35eb0628
case_031,5,1414369.0,292413,292413,294749,4.836888236843095,4.836888236843095,1.0079887009127502,8714228,1413600,524288,60612,0.5409502657158775,5773388,4899290,25,0,greedy,False,5e60de3f783f7369df6da3242ab0e6d8ceccb4c5cf7b7c8bc08ecb2c0d59d891
case_032,5,41443.0,10391,10391,10415,3.988355307477625,3.988355307477625,1.0023096910788183,12360,0,40960,36876,0.028348358237626752,8264,283252,24,0,greedy,False,e925f6ccd84fd7816492afed101902d332c08ba79c4152eeddbb62db530dfa1f
case_033,5,1774196.0,358366,358366,359011,4.9507933230272965,4.9507933230272965,1.0017998359219347,8182426,1402880,523776,59392,0.32497229012617485,3552898,7380028,27,0,greedy,False,2c5034cfaebbd9fba9dceede974d9e8aace619eeed7ff106b08762788ace9d30
case_034,5,842996.0,177145,177145,177825,4.758790821078778,4.758790821078778,1.003838663241977,3536896,49152,326144,122890,0.5708077182269533,3320320,2496560,24,0,greedy,False,5435a18e88455ed040832c3e5edb2372dd76fb7a3896dec84365f2d165395ecc
case_035,5,169571.0,63923,63923,67118,2.6527384509487977,2.6527384509487977,1.0499820096053063,1347578,0,73824,61440,0.38702334225279345,501888,794902,54,0,greedy,True,a3b8236fc3b01bd5cad3435d09750c3e3495a4d7c2dd0b4b1a6df340fee93e97
case_036,5,931510.0,187182,187182,187182,4.976493466252097,4.976493466252097,1.0,4608,0,13440,8192,0.0,0,3282560,24,0,greedy,False,18d5ca2a8ee47d8fb48240132ae77abca22643d26a005505bcb7c0c6a95dee06
case_037,5,210001.0,43013,43013,43800,4.882268151489085,4.882268151489085,1.0182967939925138,1925120,0,28672,0,0.6425,1579008,878592,24,0,greedy,False,dbdc2a38d97c07496c9a6a7e8ef46821d79b4c8a5a6534397eb9c5b6499c561f
case_038,5,1364555.0,273991,273991,281255,4.980291323437632,4.980291323437632,1.026511819731305,9004032,1413632,524288,73728,0.4290943493481157,5038080,6703114,24,0,greedy,False,7f2c53b4bcd0ed0ae36c9d03d6a117d859fc9d4090c2f698e879fecee914e0ac
case_039,5,1435262.0,317203,317203,432493,4.524742830301101,4.524742830301101,1.363458100963736,21024768,3280896,524288,0,0.2935381532810152,7200768,17330176,24,0,greedy,False,5fbe701358fd55c28ef7239d6538e8b68889799e245c25fadb332ef6ccadcdff
case_040,5,253454.0,98192,98192,101943,2.5812082450708815,2.5812082450708815,1.0382006680788658,3460690,0,57856,84356,0.22286729882477974,642534,2240500,54,0,greedy,True,6d5c4ef41bf929bcad85bef22b19471a05e6f8c709ec77275e68e4830d1007ac
case_041,5,6003957.0,1196776,1196776,1209096,5.016775904597018,5.016775904597018,1.0102943240840392,39536648,21008384,524288,8198,0.2987132295916821,13288448,31197188,10,0,greedy,False,ba2f6d31f3c27ed7456cc5af938902b3bd5d1c8e49a15affbe4401933b2764c0
case_042,5,1686740.0,353416,353416,358019,4.772675826787695,4.772675826787695,1.013024311293207,12962944,3727360,524288,33802,0.5184534003616228,7643264,7099168,24,0,greedy,False,fb634fcca7883ce26b31c02d809c19cdfb218051e05f4684b03c4ac9e2813b28
case_043,5,677656.0,185359,185359,187277,3.655910961971094,3.655910961971094,1.010347487847906,5002192,0,244736,115734,0.5388192798816287,2743546,2348228,54,0,greedy,True,820dfe67f189201e8f557dc970ba05786fd1975e8bb2965f2c61909a9b69b2cd
case_044,5,154407.0,41678,28257,85501,3.7047603051969866,5.464380507484871,3.025834306543511,3755904,0,376832,0,0.7855713612554719,3681024,1004768,54,0,branch,True,230a22e4d387d45153fdcbf444552b8a1bef7b65036cab6433aee9f80e9ec0c4
