case,cores,A_speedup,A_makespan_cycles,A_added_copy_bytes,A_spill_added_copy_bytes,B_speedup,B_makespan_cycles,B_added_copy_bytes,B_spill_added_copy_bytes
case_014,2,1.990404605321608,8891974.0,71575992.0,61682784.0,1.990404605321608,8891974.0,71575992.0,61682784.0
case_014,3,2.9593236968935726,5980632.0,77640360.0,59581944.0,2.9593236968935726,5980632.0,77640360.0,59581944.0
case_014,4,3.9098642266041628,4526660.0,82469784.0,52790160.0,3.9098642266041628,4526660.0,82469784.0,52790160.0
case_014,5,4.790351969339367,3694640.0,87765000.0,55180632.0,4.790351969339367,3694640.0,87765000.0,55180632.0
case_015,2,1.9192736795403145,92411.0,224536.0,114712.0,1.9192736795403145,92411.0,224536.0,114712.0
case_015,3,2.916802341835644,60807.0,306448.0,98320.0,2.916802341835644,60807.0,306448.0,98320.0
case_015,4,3.320080118305535,53421.0,263936.0,32768.0,3.320080118305535,53421.0,263936.0,32768.0
case_015,5,4.083200957708866,43437.0,321536.0,8192.0,4.083200957708866,43437.0,321536.0,8192.0
case_016,2,1.1500751560061007,6708712.0,79041864.0,0.0,1.6165987350108084,4772689.0,119946716.0,119936960.0
case_016,3,1.1433126375420044,6748393.0,59379864.0,0.0,2.6750015428321405,2884306.0,4872.0,0.0
case_016,4,1.1272008510921785,6844852.0,47582664.0,0.0,3.217596536991511,2397915.0,17068.0,0.0
case_016,5,1.1022926848015215,6999523.0,38931372.0,0.0,3.22415937257891,2393034.0,19504.0,0.0
case_017,2,1.8568658759124088,87680.0,87552.0,0.0,1.8568658759124088,87680.0,87552.0,0.0
case_017,3,2.7793236484064257,58579.0,175104.0,0.0,2.7793236484064257,58579.0,175104.0,0.0
case_017,4,3.841308040770102,42384.0,259200.0,0.0,3.841308040770102,42384.0,259200.0,0.0
case_017,5,4.586713995943205,35496.0,340992.0,0.0,4.586713995943205,35496.0,340992.0,0.0
case_018,2,2.0003126836020355,502105.0,3191808.0,1892352.0,1.9874720242842074,505349.0,3044352.0,1597440.0
case_018,3,2.969110656513102,338272.0,3867008.0,1392640.0,2.969110656513102,338272.0,3867008.0,1392640.0
case_018,4,3.89088958017766,258133.0,4853504.0,1204224.0,3.89088958017766,258133.0,4853504.0,1204224.0
case_018,5,4.926627915532338,203865.0,5693440.0,1064960.0,4.926627915532338,203865.0,5693440.0,1064960.0
case_019,2,1.8772903942254304,43224.0,27168.0,0.0,1.8772903942254304,43224.0,27168.0,0.0
case_019,3,2.7864427732564128,29121.0,24576.0,0.0,2.7864427732564128,29121.0,24576.0,0.0
case_019,4,2.906824288017195,27915.0,117320.0,0.0,3.3671106684924688,24099.0,51744.0,0.0
case_019,5,3.349182763744428,24228.0,97356.0,0.0,3.357358599859324,24169.0,73728.0,0.0
case_020,2,1.9984469952734638,266580.0,0.0,0.0,1.9984469952734638,266580.0,0.0,0.0
case_020,3,2.993796010115201,177950.0,0.0,0.0,2.993796010115201,177950.0,0.0,0.0
case_020,4,3.984518039849219,133704.0,0.0,0.0,3.984518039849219,133704.0,0.0,0.0
case_020,5,4.948871342313051,107650.0,0.0,0.0,4.948871342313051,107650.0,0.0,0.0
case_021,2,2.0559690349561914,3194570.0,3174400.0,1638400.0,2.0559690349561914,3194570.0,3174400.0,1638400.0
case_021,3,3.063369160046716,2144024.0,7766016.0,3055616.0,3.047336709809846,2155304.0,8882176.0,4761600.0
case_021,4,4.236493145948847,1550324.0,4608000.0,0.0,4.236493145948847,1550324.0,4608000.0,0.0
case_021,5,5.253643510312214,1250168.0,11431936.0,2011136.0,5.253643510312214,1250168.0,11431936.0,2011136.0
case_022,2,2.004023576747962,28333.0,6912.0,0.0,2.004023576747962,28333.0,6912.0,0.0
case_022,3,2.968423253868674,19128.0,13824.0,0.0,2.968423253868674,19128.0,13824.0,0.0
case_022,4,3.874709976798144,14654.0,13824.0,0.0,3.874709976798144,14654.0,13824.0,0.0
case_022,5,4.800473452823808,11828.0,20736.0,0.0,4.800473452823808,11828.0,20736.0,0.0
case_023,2,2.0026132261910594,61227.0,84384.0,0.0,2.0026132261910594,61227.0,84384.0,0.0
case_023,3,2.943065623349815,41662.0,196896.0,0.0,2.943065623349815,41662.0,196896.0,0.0
case_023,4,3.890161489894984,31519.0,281280.0,0.0,3.890161489894984,31519.0,281280.0,0.0
case_023,5,4.867373268230717,25191.0,280992.0,0.0,4.867373268230717,25191.0,280992.0,0.0
case_024,2,1.6959663321205427,1506718.0,39327048.0,0.0,1.6138807960069548,1583353.0,39720044.0,39716816.0
case_024,3,1.3319185444371067,1918543.0,38931176.0,0.0,2.6732493351773314,955894.0,1608.0,0.0
case_024,4,1.3876926285126856,1841433.0,38931274.0,0.0,3.2073328237433776,796719.0,5644.0,0.0
case_024,5,1.3892694293560255,1839343.0,38931372.0,0.0,3.2138555807934077,795102.0,6448.0,0.0
case_025,2,1.9997310678334101,2431840.0,27648.0,0.0,1.9997310678334101,2431840.0,27648.0,0.0
case_025,3,2.9978633479722148,1622164.0,55296.0,0.0,2.9978633479722148,1622164.0,55296.0,0.0
case_025,4,3.9944555971362954,1217444.0,82944.0,0.0,3.9944555971362954,1217444.0,82944.0,0.0
case_025,5,4.986276789687495,975282.0,110592.0,0.0,4.986276789687495,975282.0,110592.0,0.0
case_026,2,1.707100082599119,58112.0,288.0,0.0,1.707100082599119,58112.0,288.0,0.0
case_026,3,2.3815388308726444,41655.0,95664.0,0.0,2.3815388308726444,41655.0,95664.0,0.0
case_026,4,2.3493345332259743,42226.0,170832.0,0.0,2.3493345332259743,42226.0,170832.0,0.0
case_026,5,2.2487872330779344,44114.0,211680.0,0.0,2.2487872330779344,44114.0,211680.0,0.0
case_027,2,2.10886006840553,1120962.0,1744896.0,638976.0,2.10886006840553,1120962.0,1744896.0,638976.0
case_027,3,2.6920296539236785,878130.0,15302656.0,0.0,2.8241500796249683,837049.0,3686400.0,0.0
case_027,4,4.227412213249022,559196.0,3317760.0,0.0,4.227412213249022,559196.0,3317760.0,0.0
case_027,5,3.702375582619155,638496.0,22044672.0,0.0,4.230763861670542,558753.0,5529600.0,0.0
case_028,2,1.8544240384848054,23638628.0,277473600.0,275325120.0,2.1277264746915767,20602291.0,41688192.0,39447552.0
case_028,3,2.613845054034978,16770711.0,277369056.0,273072096.0,3.227301312726213,13582878.0,27152640.0,22855680.0
case_028,4,3.462812128552399,12659087.0,371649024.0,0.0,4.237834773512029,10343971.0,23009664.0,16564224.0
case_028,5,3.814803453300769,11491035.0,277818912.0,269224992.0,5.317997418403098,8242960.0,21778944.0,13185024.0
case_029,2,1.9024822695035462,19740.0,0.0,0.0,1.9024822695035462,19740.0,0.0,0.0
case_029,3,2.9471082162756024,12743.0,0.0,0.0,2.9471082162756024,12743.0,0.0,0.0
case_029,4,3.405422560754443,11028.0,0.0,0.0,3.405422560754443,11028.0,0.0,0.0
case_029,5,4.002451241607162,9383.0,0.0,0.0,4.002451241607162,9383.0,0.0,0.0
case_030,2,2.003701951516423,1401423.0,6940672.0,4989952.0,2.003701951516423,1401423.0,6940672.0,4989952.0
case_030,3,3.0065601749094455,933969.0,9071616.0,5170176.0,3.0065601749094455,933969.0,9071616.0,5170176.0
case_030,4,4.0138223619228945,699591.0,8632320.0,3377152.0,3.9624838602705124,708655.0,6354536.0,1826816.0
case_030,5,5.0036957048568045,561192.0,11644416.0,3974656.0,5.0036957048568045,561192.0,11644416.0,3974656.0
case_031,2,1.923408740115184,735345.0,5564928.0,3833856.0,1.923408740115184,735345.0,5564928.0,3833856.0
case_031,3,2.9080522161430866,486363.0,5018112.0,2231808.0,2.9080522161430866,486363.0,5018112.0,2231808.0
case_031,4,3.5519239172471986,398198.0,7971840.0,2913792.0,3.5519239172471986,398198.0,7971840.0,2913792.0
case_031,5,4.590095250458403,308135.0,8217600.0,1496064.0,4.590095250458403,308135.0,8217600.0,1496064.0
case_032,2,1.8941042047531993,21880.0,6216.0,0.0,1.8941042047531993,21880.0,6216.0,0.0
case_032,3,2.690754447474354,15402.0,12360.0,0.0,2.690754447474354,15402.0,12360.0,0.0
case_032,4,2.9033907804399606,14274.0,12360.0,0.0,2.9033907804399606,14274.0,12360.0,0.0
case_032,5,3.9791646663466156,10415.0,12360.0,0.0,3.9791646663466156,10415.0,12360.0,0.0
case_033,2,1.975976825488399,897883.0,6229536.0,4170240.0,1.894504621482633,936496.0,7731434.0,5157888.0
case_033,3,2.9364285454202403,604202.0,7803456.0,3684864.0,2.8461317578135654,623371.0,6634254.0,2472448.0
case_033,4,3.853144939559652,460454.0,7531104.0,1684992.0,3.6802937271822103,482080.0,9210708.0,2103808.0
case_033,5,4.708663089115007,376794.0,8297088.0,1290240.0,4.889531935533655,362856.0,8163996.0,1402880.0
case_034,2,2.016114644045259,418129.0,1648128.0,581632.0,2.016114644045259,418129.0,1648128.0,581632.0
case_034,3,2.9838982000955703,282515.0,2638336.0,201216.0,2.9838982000955703,282515.0,2638336.0,201216.0
case_034,4,3.955647734524569,213112.0,3176960.0,57344.0,3.955647734524569,213112.0,3176960.0,57344.0
case_034,5,4.733379750247058,178096.0,3536896.0,49152.0,4.733379750247058,178096.0,3536896.0,49152.0
case_035,2,1.7773620107750037,95406.0,0.0,0.0,1.7773620107750037,95406.0,0.0,0.0
case_035,3,1.756047802493683,96564.0,894876.0,0.0,1.8407620495006514,92120.0,1214380.0,0.0
case_035,4,2.4974373324692922,67898.0,583578.0,0.0,2.268963671639794,74735.0,1211328.0,0.0
case_035,5,2.729073790939084,62135.0,968258.0,0.0,2.2717298108354322,74644.0,1568002.0,0.0
case_036,2,1.998656848356892,466068.0,1152.0,0.0,1.998656848356892,466068.0,1152.0,0.0
case_036,3,2.991890025534375,311345.0,2304.0,0.0,2.991890025534375,311345.0,2304.0,0.0
case_036,4,3.987901568600589,233584.0,3456.0,0.0,3.987901568600589,233584.0,3456.0,0.0
case_036,5,4.976493466252097,187182.0,4608.0,0.0,4.976493466252097,187182.0,4608.0,0.0
