case,cores,strategy,status,makespan_cycles,added_copy_bytes,spill_added_copy_bytes,q1_cycles,wall_seconds,error
case_046,5,data_band_24,ok,111136,4563328,841728,125920,0.141,
case_080,5,baseline_k3,duplicate,,,,100325,0.0,
case_080,5,baseline_k4,ok,111314,4190208,0,111314,0.262,
case_080,5,band_6,ok,110202,4595712,0,113730,0.264,
case_080,5,valley_split,duplicate,,,,113730,0.0,
case_080,5,mask_band_32,ok,113455,4571136,0,119170,0.254,
case_080,5,mask_stage_16,duplicate,,,,119170,0.0,
case_080,5,baseline_k2,ok,145926,2191360,286720,145926,0.266,
case_080,5,valley_mode_heft,ok,169579,8110080,0,188209,0.4,
case_010,5,baseline_k4,duplicate,,,,29856,0.0,
case_010,5,baseline_k3,ok,30856,48384,0,30856,0.081,
case_010,5,fork_join_heft,ok,31015,145152,0,31015,0.081,
case_010,5,terminal_branch_heft,duplicate,,,,31015,0.0,
case_010,5,valley_merge_16_heft,duplicate,,,,31015,0.0,
case_010,5,valley_merge_24_heft,duplicate,,,,31015,0.0,
case_010,5,valley_merge_32_heft,duplicate,,,,31015,0.0,
case_010,5,valley_merge_40_heft,duplicate,,,,31015,0.0,
case_005,5,valley_merge_32_heft,duplicate,,,,38428,0.0,
case_005,5,valley_merge_24_heft,ok,33546,1373204,0,39450,0.72,
case_005,5,valley_merge_20_heft,ok,33341,1404884,0,40029,0.684,
case_005,5,valley_merge_10_heft,ok,33344,1444820,0,40563,0.769,
case_005,5,valley_merge_14_heft,duplicate,,,,40563,0.0,
case_005,5,valley_merge_16_heft,duplicate,,,,40563,0.0,
case_005,5,valley_merge_4_heft,ok,34150,1532376,0,43683,0.73,
case_005,5,valley_merge_6_heft,duplicate,,,,43683,0.0,
case_086,5,valley_merge_32_heft,duplicate,,,,45811,0.0,
case_086,5,valley_merge_24_heft,ok,42587,1633174,0,46644,0.938,
case_086,5,valley_merge_20_heft,ok,44347,1748566,0,47745,0.963,
case_086,5,valley_merge_16_heft,ok,42848,1811350,0,48342,1.09,
case_086,5,valley_merge_8_heft,ok,41866,1908504,0,51774,1.078,
case_086,5,valley_split_aff100,ok,43922,1858392,0,52775,1.028,
case_086,5,valley_split_aff025,ok,41749,1917144,0,52926,0.959,
case_086,5,valley_mode_heft,ok,41683,1911576,0,53291,1.017,
case_073,5,mask_band_32,duplicate,,,,3435158,0.0,
case_073,5,band_12,ok,3397199,110056960,95170560,3436246,0.906,
case_073,5,band_24,ok,3458176,110036992,95150592,3440830,0.848,
case_073,5,band_6,ok,3404219,110136832,95250432,3473888,0.928,
case_073,5,mask_stage_16,ok,3404184,117336064,102449664,3670363,0.879,
case_073,5,baseline_k4,ok,3903787,140222208,129057408,3903787,0.943,
case_073,5,baseline_k3,ok,4515227,140671616,133228416,4515227,1.032,
case_073,5,baseline_k2,ok,5980423,141121024,137399424,5980423,1.194,
case_088,5,valley_merge_32_heft,duplicate,,,,89462,0.0,
case_088,5,valley_merge_20_heft,ok,82498,2014136,0,91069,0.646,
case_088,5,valley_merge_24_heft,ok,84849,1936954,0,96165,0.625,
case_088,5,valley_merge_10_heft,ok,86760,2142778,0,98648,0.613,
case_088,5,valley_merge_12_heft,duplicate,,,,98648,0.0,
case_088,5,valley_merge_14_heft,duplicate,,,,98648,0.0,
case_088,5,valley_merge_16_heft,duplicate,,,,98648,0.0,
case_088,5,valley_merge_4_heft,duplicate,,,,98648,0.0,
case_096,5,valley_merge_16_heft,ok,27053,134784,0,27053,0.144,
case_096,5,valley_merge_8_heft,duplicate,,,,27053,0.0,
case_096,5,valley_mode_heft,duplicate,,,,27053,0.0,
case_096,5,band_24,ok,32146,283844,0,33190,0.17,
case_096,5,mask_band_32,ok,33727,339276,0,33572,0.172,
case_096,5,mask_stage_16,ok,38716,417104,0,40650,0.176,
case_096,5,band_12,ok,33276,314584,0,41402,0.182,
case_096,5,band_6,ok,32787,823396,0,42818,0.207,
case_068,5,valley_merge_32_heft,duplicate,,,,130967,0.0,
case_068,5,valley_merge_40_heft,duplicate,,,,130967,0.0,
case_068,5,valley_merge_20_heft,ok,116686,3150272,0,133083,1.253,
case_068,5,valley_merge_24_heft,duplicate,,,,133083,0.0,
case_068,5,valley_merge_16_heft,ok,124929,3363392,0,141173,1.206,
case_068,5,valley_merge_8_heft,ok,123679,3377216,0,142535,1.279,
case_068,5,valley_mode_heft,duplicate,,,,142535,0.0,
case_068,5,valley_mode,ok,123877,3420288,0,148067,1.193,
case_005,2,valley_merge_32_heft,duplicate,,,,56091,0.0,
case_005,3,valley_merge_32_heft,duplicate,,,,45163,0.0,
case_005,4,valley_merge_32_heft,duplicate,,,,39415,0.0,
case_006,4,baseline_k3,duplicate,,,,31153,0.0,
case_026,4,baseline_k3,duplicate,,,,41655,0.0,
case_040,2,valley_mode_heft,ok,143214,328198,0,157372,0.518,
case_040,3,valley_mode_heft,duplicate,,,,109266,0.0,
case_040,4,valley_mode_heft,duplicate,,,,95092,0.0,
case_044,2,data_band_12,duplicate,,,,65130,0.0,
case_044,2,band_12,ok,51437,930400,0,65418,0.203,
case_044,3,data_band_12,duplicate,,,,68814,0.0,
case_044,3,band_12,ok,56876,1860800,0,69671,0.17,
case_044,4,data_band_12,duplicate,,,,78188,0.0,
case_044,4,band_12,ok,68973,2791200,0,79864,0.165,
case_046,2,data_band_12,duplicate,,,,138890,0.0,
case_046,2,band_12,ok,117940,930400,0,139590,0.129,
case_046,3,data_band_12,duplicate,,,,118466,0.0,
case_046,3,band_12,ok,89972,1860800,0,119885,0.131,
case_046,4,data_band_12,duplicate,,,,113490,0.0,
case_046,4,band_12,ok,81620,2791200,0,116778,0.123,
case_048,2,valley_merge_10_heft,duplicate,,,,138281,0.0,
case_048,3,valley_merge_10_heft,duplicate,,,,117377,0.0,
case_048,4,valley_merge_10_heft,duplicate,,,,112953,0.0,
case_049,2,valley_merge_20_heft,duplicate,,,,148975,0.0,
case_049,3,valley_merge_20_heft,duplicate,,,,118835,0.0,
case_049,4,valley_merge_20_heft,duplicate,,,,98817,0.0,
case_064,2,valley_merge_32_heft,duplicate,,,,14655,0.0,
case_064,3,valley_merge_32_heft,duplicate,,,,12379,0.0,
case_064,4,valley_merge_32_heft,duplicate,,,,10810,0.0,
case_068,2,valley_merge_40_heft,duplicate,,,,202361,0.0,
case_068,3,valley_merge_40_heft,duplicate,,,,162542,0.0,
case_068,4,valley_merge_40_heft,duplicate,,,,126754,0.0,
case_069,2,terminal_branch_heft,duplicate,,,,15079,0.0,
case_069,3,terminal_branch_heft,duplicate,,,,11285,0.0,
case_069,4,terminal_branch_heft,duplicate,,,,11326,0.0,
case_071,2,terminal_branch,duplicate,,,,12639,0.0,
case_071,3,terminal_branch,duplicate,,,,10106,0.0,
case_071,4,terminal_branch,duplicate,,,,9190,0.0,
case_073,2,mask_band_32,duplicate,,,,5326965,0.0,
case_073,3,mask_band_32,ok,4328633,137444096,130000896,4562666,1.002,
case_073,4,mask_band_32,duplicate,,,,3812826,0.0,
case_080,4,baseline_k3,duplicate,,,,100325,0.0,
case_086,2,valley_merge_32_heft,duplicate,,,,66125,0.0,
case_086,3,valley_merge_32_heft,duplicate,,,,52489,0.0,
case_086,4,valley_merge_32_heft,duplicate,,,,42049,0.0,
case_088,2,valley_merge_32_heft,duplicate,,,,145177,0.0,
case_088,3,valley_merge_32_heft,duplicate,,,,112321,0.0,
case_088,4,valley_merge_32_heft,duplicate,,,,91718,0.0,
case_098,2,valley_merge_8_heft,ok,104101,483436,24580,107705,0.19,
case_098,3,valley_merge_8_heft,ok,89457,700564,20480,94129,0.204,
case_098,4,valley_merge_8_heft,duplicate,,,,86201,0.0,
case_100,4,baseline_k3,duplicate,,,,57811,0.0,
