case,cores,singlecore_cycles,baseline_cycles,selected_cycles,speedup,added_copy_bytes,strategy,source_plan
case_039,5,1435262,431161,431161,3.3288307615948565,20480000,baseline,baseline_results_29_55/case_039/q1_n5/case_039_multicore_res.json
case_040,2,253454,144027,144027,1.7597672658598735,12288,baseline,baseline_results_29_55/case_040/q1_n2/case_040_multicore_res.json
case_040,3,253454,110105,109266,2.319605366719748,1260994,valley_mode_heft,q1_optimization/case_040/n3/valley_mode_heft/case_040_multicore_res.json
case_040,4,253454,110202,95092,2.6653556555756532,1480856,valley_mode_heft,q1_optimization/case_040/n4/valley_mode_heft/case_040_multicore_res.json
case_040,5,253454,110337,95187,2.662695536155147,971758,valley_merge_32_heft,q1_optimization/case_040/n5/valley_merge_32_heft/case_040_multicore_res.json
case_041,2,6003957,3002984,3002984,1.9993303327623457,30557184,baseline,baseline_results_29_55/case_041/q1_n2/case_041_multicore_res.json
case_041,3,6003957,1998385,1998385,3.0044045566795186,34762752,baseline,baseline_results_29_55/case_041/q1_n3/case_041_multicore_res.json
case_041,4,6003957,1501288,1501288,3.999204016817559,34759680,baseline,baseline_results_29_55/case_041/q1_n4/case_041_multicore_res.json
case_041,5,6003957,1213259,1213259,4.948619379703756,38200320,baseline,baseline_results_29_55/case_041/q1_n5/case_041_multicore_res.json
case_042,2,1686740,849537,849537,1.9854815034542346,6469920,baseline,baseline_results_29_55/case_042/q1_n2/case_042_multicore_res.json
case_042,3,1686740,567781,567781,2.97075809158813,8368416,baseline,baseline_results_29_55/case_042/q1_n3/case_042_multicore_res.json
case_042,4,1686740,444517,444517,3.7945455404405233,8168736,baseline,baseline_results_29_55/case_042/q1_n4/case_042_multicore_res.json
case_042,5,1686740,362266,362266,4.656081442917635,10073088,baseline,baseline_results_29_55/case_042/q1_n5/case_042_multicore_res.json
case_043,2,677656,353177,346415,1.9561970468946206,2248218,valley_merge_40_heft,q1_optimization/case_043/n2/valley_merge_40_heft/case_043_multicore_res.json
case_043,3,677656,268777,248521,2.7267554854519336,3276150,valley_merge_40_heft,q1_optimization/case_043/n3/valley_merge_40_heft/case_043_multicore_res.json
case_043,4,677656,269194,196266,3.4527427063271277,3836302,valley_merge_40_heft,q1_optimization/case_043/n4/valley_merge_40_heft/case_043_multicore_res.json
case_043,5,677656,269612,174128,3.8917118441606173,4424184,valley_merge_40_heft,q1_optimization/case_043/n5/valley_merge_40_heft/case_043_multicore_res.json
case_044,2,154407,131105,65130,2.370750806080147,1147232,data_band_12,q1_optimization/case_044/n2/data_band_12/case_044_multicore_res.json
case_044,3,154407,123553,68814,2.243831197140117,2077632,data_band_12,q1_optimization/case_044/n3/data_band_12/case_044_multicore_res.json
case_044,4,154407,124268,78188,1.9748171074845244,3008032,data_band_12,q1_optimization/case_044/n4/data_band_12/case_044_multicore_res.json
