returncode,process_wall_s,case,cores,makespan_cycles,initial_cycles,singlecore_cycles,speedup,component_baseline_cycles,baseline_speedup,selected,evaluations,added_copy_bytes
0,0.4190999999991618,case_001,5,47502,47502,233110,4.9073723211654245,47502,4.9073723211654245,component_baseline,1,4608
0,2.12902799999938,case_002,5,108635,108635,261945,2.411239471625167,261945,1.0,data_band_w2,3,4968960
0,0.4308975999992981,case_029,5,9383,9383,37555,4.002451241607162,9383,4.002451241607162,component_baseline,1,0
0,0.7723306000007142,case_044,5,92751,132892,154407,1.6647475498916453,132892,1.161898383649881,data_band_w8,2,4059520
0,1.336978999999701,case_051,5,253856,274556,607628,2.3935932182024455,607628,1.0,greedy_schedule,3,9045396
0,7.454013999999006,case_077,5,121081,121081,495320,4.090815239385205,121081,4.090815239385205,component_baseline,3,172032
0,14.23426610000024,case_085,5,799811,814800,3187899,3.985815398887987,3187899,1.0,greedy_schedule,2,9685570
0,404.7974809999978,case_087,5,888504,888504,3974071,4.472766582930409,888504,4.472766582930409,component_baseline,4,11773440
0,53.34489989999929,case_092,5,1278737,1661234,4815554,3.7658674144878894,1661234,2.89878126741928,data_band_w3,2,57740672
