case,cores,evaluation_budget,completed_evaluations,best_cycles,speedup,elapsed_seconds_at_last_evaluation,stopped_before_budget
case_007,2,2,2,507494,1.9952196479170197,5.514641299996583,False
case_007,2,3,2,507494,1.9952196479170197,5.514641299996583,True
case_007,2,4,2,507494,1.9952196479170197,5.514641299996583,True
case_007,2,5,2,507494,1.9952196479170197,5.514641299996583,True
case_007,2,6,2,507494,1.9952196479170197,5.514641299996583,True
case_007,3,1,1,338094,2.994912657426633,1.8113952000057907,False
case_007,3,2,2,338094,2.994912657426633,4.050372400000924,False
case_007,3,3,2,338094,2.994912657426633,4.050372400000924,True
case_007,3,4,2,338094,2.994912657426633,4.050372400000924,True
case_007,3,5,2,338094,2.994912657426633,4.050372400000924,True
case_007,3,6,2,338094,2.994912657426633,4.050372400000924,True
case_007,4,1,1,254398,3.980227831979811,1.5519555999999284,False
case_007,4,2,2,254398,3.980227831979811,3.600004199994146,False
case_007,4,3,2,254398,3.980227831979811,3.600004199994146,True
case_007,4,4,2,254398,3.980227831979811,3.600004199994146,True
case_007,4,5,2,254398,3.980227831979811,3.600004199994146,True
case_007,4,6,2,254398,3.980227831979811,3.600004199994146,True
case_007,5,1,1,203834,4.967581463347626,1.3815703000000212,False
case_007,5,2,2,203834,4.967581463347626,2.986934700005804,False
case_007,5,3,2,203834,4.967581463347626,2.986934700005804,True
case_007,5,4,2,203834,4.967581463347626,2.986934700005804,True
case_007,5,5,2,203834,4.967581463347626,2.986934700005804,True
case_007,5,6,2,203834,4.967581463347626,2.986934700005804,True
case_008,2,1,1,244266,1.9962049568912579,0.2914900999967358,False
case_008,2,2,2,244266,1.9962049568912579,0.534737000001769,False
case_008,2,3,2,244266,1.9962049568912579,0.534737000001769,True
case_008,2,4,2,244266,1.9962049568912579,0.534737000001769,True
case_008,2,5,2,244266,1.9962049568912579,0.534737000001769,True
case_008,2,6,2,244266,1.9962049568912579,0.534737000001769,True
case_008,3,1,1,163359,2.984867684057811,0.27491799999552313,False
case_008,3,2,2,163359,2.984867684057811,0.5211042000009911,False
case_008,3,3,2,163359,2.984867684057811,0.5211042000009911,True
case_008,3,4,2,163359,2.984867684057811,0.5211042000009911,True
case_008,3,5,2,163359,2.984867684057811,0.5211042000009911,True
case_008,3,6,2,163359,2.984867684057811,0.5211042000009911,True
case_008,4,1,1,123060,3.962335446123842,0.3002513999963412,False
case_008,4,2,2,123060,3.962335446123842,0.508404199994402,False
case_008,4,3,2,123060,3.962335446123842,0.508404199994402,True
case_008,4,4,2,123060,3.962335446123842,0.508404199994402,True
case_008,4,5,2,123060,3.962335446123842,0.508404199994402,True
case_008,4,6,2,123060,3.962335446123842,0.508404199994402,True
case_008,5,1,1,100603,4.846823653370178,0.2754318000006606,False
case_008,5,2,2,100603,4.846823653370178,0.48368240000127116,False
case_008,5,3,2,100603,4.846823653370178,0.48368240000127116,True
case_008,5,4,2,100603,4.846823653370178,0.48368240000127116,True
case_008,5,5,2,100603,4.846823653370178,0.48368240000127116,True
case_008,5,6,2,100603,4.846823653370178,0.48368240000127116,True
case_009,2,1,1,92198,1.66230286991041,5.725343799997063,False
case_009,2,2,2,92198,1.66230286991041,7.229825599999458,False
case_009,2,3,3,92198,1.66230286991041,9.009801100000914,False
case_009,2,4,3,92198,1.66230286991041,9.009801100000914,True
case_009,2,5,3,92198,1.66230286991041,9.009801100000914,True
case_009,2,6,3,92198,1.66230286991041,9.009801100000914,True
case_009,3,1,1,90133,1.700387205573985,2.170210100004624,False
case_009,3,2,2,90133,1.700387205573985,7.158811100001913,False
case_009,3,3,3,90133,1.700387205573985,12.596474199999648,False
case_009,3,4,4,90133,1.700387205573985,14.378671400001622,False
case_009,3,5,5,90026,1.7024081931886343,15.979350000001432,False
case_009,3,6,5,90026,1.7024081931886343,15.979350000001432,True
case_009,4,1,1,67768,2.261554125841105,1.919008800003212,False
case_009,4,2,2,67768,2.261554125841105,3.421204000005673,False
case_009,4,3,3,64868,2.3626595547881855,4.891959500004305,False
case_009,4,4,3,64868,2.3626595547881855,4.891959500004305,True
case_009,4,5,3,64868,2.3626595547881855,4.891959500004305,True
case_009,4,6,3,64868,2.3626595547881855,4.891959500004305,True
case_009,5,1,1,61626,2.486953558562944,2.0261873999988893,False
case_009,5,2,2,61626,2.486953558562944,3.5602066999999806,False
case_009,5,3,3,59855,2.560537966752986,5.1169962999993,False
case_009,5,4,3,59855,2.560537966752986,5.1169962999993,True
case_009,5,5,3,59855,2.560537966752986,5.1169962999993,True
case_009,5,6,3,59855,2.560537966752986,5.1169962999993,True
case_010,2,1,1,45272,1.9210328679978794,0.15998770000442164,False
case_010,2,2,2,45272,1.9210328679978794,0.32810590000008233,False
case_010,2,3,2,45272,1.9210328679978794,0.32810590000008233,True
case_010,2,4,2,45272,1.9210328679978794,0.32810590000008233,True
case_010,2,5,2,45272,1.9210328679978794,0.32810590000008233,True
case_010,2,6,2,45272,1.9210328679978794,0.32810590000008233,True
case_010,3,1,1,30856,2.8185442053409386,0.17663330000505084,False
case_010,3,2,1,30856,2.8185442053409386,0.17663330000505084,True
case_010,3,3,1,30856,2.8185442053409386,0.17663330000505084,True
case_010,3,4,1,30856,2.8185442053409386,0.17663330000505084,True
case_010,3,5,1,30856,2.8185442053409386,0.17663330000505084,True
case_010,3,6,1,30856,2.8185442053409386,0.17663330000505084,True
case_010,4,1,1,33908,2.5648519523416304,0.23003649999736808,False
case_010,4,2,2,29856,2.9129488210075025,0.3876511999987997,False
case_010,4,3,3,29856,2.9129488210075025,0.5207284999996773,False
case_010,4,4,3,29856,2.9129488210075025,0.5207284999996773,True
case_010,4,5,3,29856,2.9129488210075025,0.5207284999996773,True
case_010,4,6,3,29856,2.9129488210075025,0.5207284999996773,True
case_010,5,1,1,28874,3.0120177322158344,0.19501170000148704,False
case_010,5,2,2,28874,3.0120177322158344,0.3303124000012758,False
case_010,5,3,3,28874,3.0120177322158344,0.4681077999994159,False
case_010,5,4,4,26220,3.316895499618612,0.6036154000030365,False
case_010,5,5,5,26220,3.316895499618612,0.7662246999971103,False
case_010,5,6,5,26220,3.316895499618612,0.7662246999971103,True
case_011,2,1,1,92646,1.9935777043801135,0.17129170000407612,False
case_011,2,2,1,92646,1.9935777043801135,0.17129170000407612,True
case_011,2,3,1,92646,1.9935777043801135,0.17129170000407612,True
case_011,2,4,1,92646,1.9935777043801135,0.17129170000407612,True
case_011,2,5,1,92646,1.9935777043801135,0.17129170000407612,True
case_011,2,6,1,92646,1.9935777043801135,0.17129170000407612,True
case_011,3,1,1,69625,2.6527396768402154,0.23735519999900134,False
case_011,3,2,1,69625,2.6527396768402154,0.23735519999900134,True
case_011,3,3,1,69625,2.6527396768402154,0.23735519999900134,True
case_011,3,4,1,69625,2.6527396768402154,0.23735519999900134,True
case_011,3,5,1,69625,2.6527396768402154,0.23735519999900134,True
case_011,3,6,1,69625,2.6527396768402154,0.23735519999900134,True
case_011,4,1,1,46880,3.9397824232081913,0.19982149999850662,False
case_011,4,2,1,46880,3.9397824232081913,0.19982149999850662,True
case_011,4,3,1,46880,3.9397824232081913,0.19982149999850662,True
