case,saved_added_mib,time_reduction_percent
case_001,0.0,0.0
case_002,1.00341796875,-9.444793411501951
case_003,-0.43727874755859375,12.004663955324213
case_004,0.0,0.0
case_005,-0.09810256958007812,-37.79222402800351
case_006,0.3577156066894531,18.83102533883324
case_007,0.0,0.0
case_008,0.0,0.0
case_009,-0.3169689178466797,-17.721153846153847
case_010,0.28471946716308594,17.497030256446088
case_011,0.0,0.0
case_012,0.0,0.0
case_013,0.0,0.0
case_014,0.0,0.0
case_015,0.0,0.0
case_016,37.109249114990234,65.81147029590446
case_017,0.0,0.0
case_018,0.0,0.0
case_019,0.022533416748046875,0.24351989433712973
case_020,0.0,0.0
case_021,0.0,0.0
case_022,0.0,0.0
case_023,0.0,0.0
case_024,37.121700286865234,56.77249974583316
case_025,0.0,0.0
case_026,0.0,0.0
case_027,15.75,12.489193354382799
case_028,244.17874145507812,28.266165754433782
case_029,0.0,0.0
case_030,0.0,0.0
case_031,0.0,0.0
case_032,0.0,0.0
case_033,0.12692642211914062,3.6991034889090613
case_034,0.0,0.0
case_035,-0.57196044921875,-20.131970708940216
case_036,0.0,0.0
case_037,1.2109375,-2.4885844748858466
case_038,-0.48583984375,-3.907176089904918
case_039,0.0,0.0
case_040,0.0,0.0
case_041,-0.8145980834960938,0.3743635942531687
case_042,0.0,0.0
case_043,5.460411071777344,-25.041508593902172
case_044,0.907318115234375,36.51119331833264
case_045,0.0,0.0
case_046,0.755645751953125,23.494527011844767
case_047,-0.12244033813476562,21.089930963266458
case_048,0.28732872009277344,-12.97331346037829
case_049,-0.14925193786621094,11.494721211133442
case_050,-0.5251712799072266,-5.932241019492923
case_051,8.62491226196289,24.381933064414476
case_052,0.0,0.0
case_053,-0.7659549713134766,-27.245299625926013
case_054,-0.3394203186035156,-1.739318670365142
case_055,0.0,0.0
case_056,-1.1608848571777344,-42.75508010571172
case_057,0.0,0.0
case_058,0.0,0.0
case_059,0.0,0.0
case_060,0.0,0.0
case_061,-0.009120941162109375,1.3700564971751428
case_062,-13.90869140625,2.3727805156528836
case_063,-2.70556640625,-69.31215731447931
case_064,0.020244598388671875,4.765429814009437
case_065,0.0,0.0
case_066,-0.23833847045898438,12.045300784978819
case_067,95.750732421875,-5.786488525243838
case_068,-0.2969684600830078,7.694313837991695
case_069,-0.060150146484375,-60.01313916566298
case_070,0.0,0.0
case_071,0.013275146484375,-51.59154570919278
case_072,0.0,0.0
case_073,41.9393310546875,8.336624008710691
case_074,-3.004039764404297,-17.556376461638656
case_075,-0.4194965362548828,6.677560628179158
case_076,0.0,0.0
case_077,0.0,0.0
case_078,7.0491943359375,7.953392710857021
case_079,0.0,0.0
case_080,-1.453125,-13.08746573635684
case_081,0.0,0.0
case_082,-0.1352062225341797,9.149023687967283
case_083,10.811279296875,55.47052974145724
case_084,0.0,0.0
case_085,-1.115682601928711,6.691455856446082
case_086,-0.31664085388183594,14.082378647715899
case_087,0.0,0.0
case_088,-0.014532089233398438,13.578613286107988
case_089,0.0,0.0
case_090,10.834968566894531,46.0965981568003
case_091,1.220703125,-0.10845541458188723
case_092,59.562530517578125,50.649938539663886
case_093,0.0,0.0
case_094,0.0,0.0
case_095,0.0,0.0
case_096,0.0,0.0
case_097,0.0,0.0
case_098,1.9263687133789062,11.234254406264466
case_099,0.0,0.0
case_100,0.0,0.0
