case,cores,singlecore_cycles,baseline_cycles,makespan_cycles,speedup,reduction_percent,added_copy_bytes,spill_bytes,peak_l1_bytes,peak_ub_bytes,evaluations,bound_pruned,invalid_candidates,cold_search_wall_seconds,selected
case_056,3,277285,265728,102094,2.7159774325621484,61.579509874759154,2598576,0,20992,54568,24,5,0,70.52110089999769,cold
case_056,4,277285,265746,102031,2.71765443835697,61.60581909040964,2603280,0,20992,54568,24,3,0,97.42532420000134,cold
case_056,5,277285,265764,96721,2.866854147496407,63.60643277494318,3976084,0,18048,50250,24,4,0,77.6728200999969,cold
case_057,2,59726,33730,30139,1.981684860147981,10.6463089238067,18256,0,17280,122900,24,24,0,5.783647799999017,cold
case_057,3,59726,25250,21970,2.718525261720528,12.990099009900991,18208,0,17280,98320,24,37,0,5.565558800000872,cold
case_057,4,59726,20957,16208,3.684970384995064,22.6606861669132,24400,0,17920,77836,24,60,0,6.467959300000075,cold
case_057,5,59726,16538,16209,3.684743043987908,1.9893578425444431,85822,0,17920,77836,24,41,0,5.151568299999781,cold
case_058,2,4539717,2271316,2267345,2.0022171306087078,0.17483256402895941,33746944,27074560,524288,0,21,12,0,185.80835790000128,cold
case_058,3,4539717,1554831,1528788,2.969487594094145,1.674973035654679,21614592,9605120,524288,0,21,23,0,185.68864119999853,cold
case_058,4,4539717,1154519,1151253,3.943283535417497,0.28288837169418607,42921984,23019520,524288,0,22,23,0,186.08283930000107,cold
case_058,5,4539717,1004819,934884,4.855914744503061,6.959959952986558,30380032,8622080,524288,0,20,41,0,189.44609430000128,cold
case_059,2,829473,369318,369318,2.2459587672412393,0.0,360448,0,421888,0,24,9,0,13.781606100001227,cold
case_059,3,829473,266217,260714,3.181543760595902,2.0671106653594626,3186688,925696,524288,0,24,25,0,18.823135999999067,cold
case_059,4,829473,185216,185216,4.478408992743607,0.0,1081344,0,241664,0,24,16,0,13.636413500000344,cold
case_059,5,829473,150782,150782,5.501140719714555,0.0,4325376,0,520192,0,24,18,0,15.309268699998938,cold
case_060,2,888789,469437,442050,2.010607397353241,5.834009675419704,3385392,2187280,524288,122906,24,21,0,43.2304965000003,cold
case_060,3,888789,334622,310589,2.8616242043343454,7.182133870456814,5723712,1242172,524288,126980,24,27,0,44.36133990000235,cold
case_060,4,888789,229383,229360,3.875082839204744,0.010026898244420903,3966232,412692,524288,122894,24,34,0,37.86635319999914,cold
case_060,5,888789,183272,183263,4.849800559851143,0.004910733772753066,4290948,81920,452608,122894,24,29,0,35.23421330000201,cold
case_061,2,77191,39299,39298,1.9642475444042953,0.0025445940100257006,34560,0,49920,47136,24,15,0,5.138797399999021,cold
case_061,3,77191,28409,28371,2.7207712100384196,0.1337604280333697,43012,0,44544,52260,24,24,0,5.037212200000795,cold
case_061,4,77191,27166,27166,2.8414562320547745,0.0,62208,0,44544,34840,24,12,0,5.037894000000961,cold
case_061,5,77191,22283,20757,3.7187936599701303,6.848269981600323,157028,0,45312,16414,24,14,0,6.053500199999689,cold
case_062,2,2854809,2854809,1430440,1.9957558513464388,49.89367064486626,224256,0,12288,64512,10,27,0,182.86685240000224,cold
case_062,3,2854809,2854809,955129,2.9889250561965977,66.54315577679628,299520,0,7680,43008,12,18,0,182.55340179999985,cold
case_062,4,2854809,2854809,717090,3.981102790444714,74.88133181589382,339456,0,7680,33792,14,19,0,183.15457379999862,cold
case_062,5,2854809,2854809,567755,5.028241054680276,80.11232975656165,15037440,251904,514560,130560,16,26,0,184.41325789999973,cold
case_063,2,1070397,1070397,536188,1.996309130379643,49.90755766318478,46080,0,7680,23040,24,31,0,73.9739370999996,cold
case_063,3,1070397,1070397,351019,3.0493990353798512,67.20665323239882,4792320,15360,399360,130560,23,17,0,67.42388329999812,cold
case_063,4,1070397,1070397,263646,4.059978152522701,75.36932558667485,5208576,0,247296,84480,24,33,0,82.48113999999987,cold
case_063,5,1070397,1070397,212149,5.04549632569562,80.18034430216079,5555712,0,196608,67584,24,26,0,79.00142030000279,cold
case_064,2,19116,19116,13395,1.4270996640537514,29.9278091650973,50982,0,7680,8084,24,4,0,5.0573937999979535,cold
case_064,3,19116,19116,10658,1.7935822856070558,44.245658087466,66892,0,8864,4100,24,4,0,4.505381400002079,cold
case_064,4,19116,19116,10465,1.8266602962255136,45.25528353211969,83824,0,8224,2916,24,0,0,6.164945099997567,cold
case_064,5,19116,19116,10292,1.85736494364555,46.16028457836367,83728,0,8288,2916,24,0,0,7.0246141999996325,cold
case_065,2,53068,26928,25554,2.0767003208890977,5.102495543672014,21168,0,36864,66576,24,11,0,3.0789632000014535,cold
case_065,3,53068,18165,18165,2.921442334159097,0.0,27792,0,36864,40968,24,9,0,2.651275700001861,cold
case_065,4,53068,14502,14387,3.6886077709042886,0.7929940697834781,41876,0,36864,40968,24,25,0,3.59478880000097,cold
case_065,5,53068,12156,11561,4.59026035810051,4.89470220467259,210228,0,32256,36872,24,11,0,2.8422601999991457,neighbor
case_066,2,359070,248146,185994,1.9305461466498919,25.04654517904782,962412,0,123312,70442,24,6,0,51.573773000000074,cold
case_066,3,359070,248976,137048,2.6200309380654954,44.95533706060022,1906520,0,79872,38408,24,2,0,52.17300559999785,cold
case_066,4,359070,249811,112071,3.2039510667344806,55.137684089171415,2276914,0,89088,35528,24,2,0,49.87947239999994,cold
case_066,5,359070,250449,94772,3.788777275988689,62.15916214478796,2420422,0,89088,42022,24,3,0,54.44938909999837,cold
case_067,2,63834834,33768704,30500185,2.0929326822116,9.679136634914979,22365440,17465344,524288,0,24,8,0,89.56654399999752,cold
case_067,3,63834834,23568859,20272452,3.148846227382854,13.986281643926846,17584896,10141696,518144,0,24,20,0,95.46515649999856,cold
case_067,4,63834834,18473155,15216198,4.195189494773924,17.630756630364438,17030272,5734400,518144,0,24,20,0,102.34016429999974,cold
case_067,5,63834834,15931687,12334877,5.175149618435595,22.576454081730326,18799872,2441216,518144,0,24,12,0,114.19692510000095,cold
case_068,2,362095,302408,186013,1.9466112583529107,38.48939181503135,1427488,45442,83520,125404,24,5,0,50.02261889999863,cold
case_068,3,362095,303144,134975,2.682681978144101,55.47495579658512,2190516,0,69504,109588,24,7,0,35.20880780000152,cold
case_068,4,362095,303921,122595,2.95358701415229,59.66221485188585,3057330,0,66048,98692,24,6,0,31.81802560000142,cold
case_068,5,362095,304058,122035,2.9671405744253696,59.86456531319683,3065990,0,66048,98692,24,5,0,37.70806300000186,cold
case_069,2,25144,25144,13405,1.8757180156657964,46.68708240534521,111846,0,37248,34770,24,4,0,3.541066599998885,cold
case_069,3,25144,25144,10867,2.3137940553970737,56.78094177537385,293004,0,28800,13684,24,2,0,3.6391474999982165,cold
case_069,4,25144,25144,9592,2.621351125938282,61.85173401209036,262578,0,26880,11618,24,4,0,3.3290153999987524,cold
case_069,5,25144,25144,9592,2.621351125938282,61.85173401209036,262578,0,26880,11618,24,4,0,4.229518299998745,cold
case_070,2,117300,58525,58257,2.013491940882641,0.4579239641178984,129552,0,114176,16392,24,9,0,5.113520999999309,cold
case_070,3,117300,45661,40995,2.8613245517746067,10.218786272749174,376344,0,116224,30734,24,15,0,5.410066500000539,neighbor
case_070,4,117300,36336,33350,3.5172413793103448,8.217745486569793,811200,0,67584,31744,24,18,0,5.870007800000167,first_range
case_070,5,117300,27664,26584,4.412428528438158,3.9039907460960097,462852,0,104192,16392,24,24,0,6.34603849999985,cold
case_071,2,18919,18919,10540,1.7949715370018975,44.288810190813464,79782,0,27648,23202,24,5,0,2.48057620000327,cold
case_071,3,18919,18919,9004,2.101177254553532,52.4076325387177,257100,0,29184,14722,24,0,0,2.563997699999163,cold
case_071,4,18919,18919,8493,2.2275991993406334,55.10862096305301,179442,0,24576,11714,24,2,0,3.081583299997874,cold
case_071,5,18919,18919,8493,2.2275991993406334,55.10862096305301,179442,0,24576,11714,24,3,0,3.6605163999993238,cold
case_072,2,23897828,11833111,11833111,2.0195727057745,0.0,113945376,102996424,524288,30198,7,5,0,202.31854909999674,cold
case_072,3,23897828,7945629,7926170,3.015053676618089,0.2449019454595728,118470700,98032936,524288,59542,8,6,0,193.7079690999999,cold
case_072,4,23897828,5994354,5972781,4.001122425215323,0.3598886552245663,124242974,92324400,524288,40372,8,7,0,193.20715159999963,cold
case_072,5,23897828,4863110,4820122,4.957930110482681,0.8839610866297494,129444980,88998416,524288,59158,9,9,0,191.20314320000034,cold
case_073,2,10081626,5980423,4145668,2.4318459654752864,30.67935161108169,3884288,0,459264,0,19,16,0,37.07150240000192,cold
case_073,3,10081626,4515227,2822777,3.57152761270196,37.483165298223106,7475968,0,401920,0,24,8,0,42.91611499999999,cold
case_073,4,10081626,3903787,2197773,4.587200770962243,43.70151342785864,11181184,0,377344,0,24,8,0,53.95689439999842,cold
case_073,5,10081626,3517515,1829702,5.5099824998824944,47.98310739257686,14886400,0,360960,0,24,8,0,57.816500000000815,cold
case_074,2,1682239,822510,819895,2.0517737027302276,0.31792926529768634,7159808,4874240,524288,122892,24,13,0,32.16346920000069,cold
case_074,3,1682239,553814,553722,3.038057003333803,0.01661207553438519,7630848,3043328,524288,122892,24,18,0,31.825795599997946,cold
case_074,4,1682239,423088,413220,4.071049319974832,2.3323752978103847,8552452,1892352,524288,122892,24,27,0,34.03661690000081,cold
case_074,5,1682239,347042,345365,4.8709017995454085,0.48322681404556217,9453568,1597440,524288,122896,24,54,0,34.38973050000277,cold
case_075,2,1441809,1441809,733449,1.9657931226302032,49.12994717053368,1407622,0,47872,52964,24,4,0,44.32556720000139,cold
case_075,3,1441809,1441809,546846,2.6365905574878483,62.072230094277394,3968268,0,49920,28804,24,5,0,49.17128380000213,cold
case_075,4,1441809,1441809,398037,3.6222989320088335,72.39322268067407,3455122,0,39936,23812,24,6,0,42.06348330000037,cold
case_075,5,1441809,1441809,358375,4.023185211021974,75.14407248116775,5720854,0,35456,28866,24,2,0,56.89399649999905,cold
case_076,2,6185113,3069464,3069464,2.015046600970072,0.0,30744576,26670080,524288,8192,12,8,0,187.51267449999796,cold
case_076,3,6185113,2061609,2061506,3.000288623947735,0.004996097708149314,35123204,26974208,524288,8192,11,16,0,204.3710276999991,cold
case_076,4,6185113,1550155,1550155,3.9899964842225453,0.0,35703808,23480320,524288,8192,8,15,0,199.18564609999885,cold
case_076,5,6185113,1238120,1231409,5.0227934017048765,0.5420314670629665,37485724,21187584,524288,8198,8,18,0,195.54033150000032,first_range
case_077,2,495320,250735,250414,1.978004424672742,0.12802361058488046,90112,0,106592,50212,24,16,0,32.266077499996754,cold
case_077,3,495320,178739,178621,2.773022209034772,0.06601804866313452,114688,0,106592,50212,24,20,0,26.583244000001287,cold
case_077,4,495320,144734,144734,3.4222781101883455,0.0,172032,0,106496,36864,24,15,0,21.649610599997686,cold
case_077,5,495320,121081,121081,4.090815239385205,0.0,172032,0,106496,36864,24,15,0,23.20831420000104,cold
case_078,2,2296143,1260358,1024634,2.240939691636233,18.702939958329303,2148480,0,430848,0,21,12,0,3.5883823999974993,cold
case_078,3,2296143,993959,759650,3.0226327914171,23.57330634362182,4849920,0,406272,0,19,13,0,3.6832968999988225,cold
case_078,4,2296143,690924,520320,4.4129439575645755,24.692151379891275,6445440,0,381696,0,23,15,0,4.063471900000877,cold
case_078,5,2296143,663941,520320,4.4129439575645755,21.631590758817428,6445440,0,381696,0,24,12,0,6.231995199999801,cold
case_079,2,31052251,15446486,15372096,2.0200401428666592,0.4815982094568305,32485376,28688384,524288,0,24,13,0,180.99319299999843,cold
case_079,3,31052251,10181692,10172123,3.052681431398342,0.09398241471063945,40742912,28971008,524288,0,20,23,0,185.57061389999944,cold
case_079,4,31052251,7635624,7619754,4.075230118977594,0.2078415595110498,30982144,19935232,524288,0,14,32,0,187.0817253999994,cold
case_079,5,31052251,6075976,6075853,5.110764035930428,0.0020243661265284788,47900672,24602624,524288,0,13,29,0,187.53508280000096,cold
case_080,2,292138,145926,145926,2.0019598974822856,0.0,2191360,286720,524288,0,23,8,0,5.398095300002751,cold
case_080,3,292138,100325,100098,2.9185198505464647,0.22626463992025916,983040,0,491520,0,24,29,0,6.427918400000635,cold
case_080,4,292138,111314,92659,3.1528291909042836,16.75889825179223,2584576,0,413696,0,24,31,0,8.801717300000746,cold
case_080,5,292138,113455,100098,2.9185198505464647,11.772949627605659,983040,0,491520,0,24,33,0,7.84826239999893,neighbor
case_081,2,151795,76860,76860,1.9749544626593807,0.0,0,0,0,14340,16,17,0,17.316661199998634,cold
case_081,3,151795,51943,51943,2.9223379473653814,0.0,0,0,0,14340,24,16,0,21.706311000001733,cold
case_081,4,151795,39588,39588,3.834369000707285,0.0,0,0,0,14340,24,19,0,20.931883299999754,cold
case_081,5,151795,30943,30943,4.905632937982743,0.0,0,0,0,14340,13,38,0,13.325316099999327,cold
case_082,2,721041,721041,363831,1.9818019904845932,49.54087215567492,593542,0,53504,84068,24,5,0,21.07278419999784,cold
case_082,3,721041,721041,246508,2.9250206889837247,65.8122076275829,1653996,0,82944,57060,24,5,0,23.2776864999978,cold
case_082,4,721041,721041,200407,3.5978833074693,72.20588010945286,1373330,0,46080,32452,24,1,0,18.501057100002072,cold
case_082,5,721041,721041,185479,3.887453566171912,74.27622007625087,2773528,0,52352,31556,24,3,0,20.21097799999916,cold
case_083,2,1057993,644672,412089,2.5673895687582053,36.077726347662065,1192256,0,410112,0,23,12,0,20.25580489999993,cold
case_083,3,1057993,512623,284253,3.7220117289879084,44.549308166040156,2400896,0,328192,0,24,12,0,21.55709510000088,cold
case_083,4,1057993,450029,210963,5.0150642529732705,53.122354337164936,2791200,0,279040,0,24,29,0,21.93729059999896,cold
case_083,5,1057993,442480,181470,5.8301261916570235,58.987976857711075,4179488,0,262656,0,24,10,0,23.015925499999867,cold
case_084,2,2507412,1255052,686924,3.650202933657872,45.26728772991079,9427968,9427968,10752,129120,21,10,0,78.64885019999929,cold
case_084,3,2507412,836220,458172,5.472643461407507,45.209155485398576,9179136,9179136,10752,129120,24,24,0,89.50739320000139,cold
case_084,4,2507412,629028,384788,6.516346663617369,38.828160272674666,8930304,8930304,10752,129120,24,25,0,82.41421780000019,cold
case_084,5,2507412,503472,375094,6.6847563544071615,25.498538151078908,8681472,8681472,10752,129120,24,29,0,84.69928029999937,cold
case_085,2,3187899,3187899,1660638,1.9196832783544637,47.90807362466627,2179718,0,67328,71684,24,3,0,175.15630210000018,cold
case_085,3,3187899,3187899,1126268,2.8304977145759267,64.67052437985018,5903116,0,102784,55748,24,5,0,164.89650240000265,cold
case_085,4,3187899,3187899,831886,3.832134451114696,73.90488218102267,5078962,0,57344,44292,24,6,0,155.1165120000005,cold
case_085,5,3187899,3187899,746292,4.271651042755383,76.5898480472562,10855448,0,90752,37252,24,2,0,158.28970040000058,cold
case_086,2,118403,118403,59705,1.9831337408927225,49.57475739634975,418278,0,38112,73460,24,5,0,29.169779899999412,cold
case_086,3,118403,118403,47689,2.482815743672545,59.7231489067,1096140,0,46464,25348,24,1,0,25.436590100001922,cold
case_086,4,118403,118403,35706,3.316053324371254,69.84366950161736,971058,0,28800,20596,24,4,0,22.857955300001777,cold
case_086,5,118403,118403,35541,3.33144818660139,69.98302407878178,996404,0,28800,20596,24,4,0,30.17897559999983,cold
case_087,2,3974071,1985234,1985234,2.0018148994022873,0.0,9999360,7994880,520704,59414,14,14,0,185.23048449999987,cold
case_087,3,3974071,1385253,1358472,2.925397799881043,1.9332930518829412,16394342,6784848,520704,63992,14,9,0,189.61207569999897,cold
case_087,4,3974071,1069661,1022261,3.8875306795427,4.431310480610212,22455922,6702624,520704,42632,14,10,0,183.34107529999892,cold
case_087,5,3974071,888504,885740,4.486724095106916,0.3110846996749593,25908378,5434800,520704,41432,15,15,0,184.0909124000027,cold
case_088,2,243623,202290,135849,1.7933367194458554,32.84443126204953,850054,0,97152,43638,24,5,0,15.56078179999895,cold
case_088,3,243623,202428,96111,2.5348087107615154,52.52089631869109,1473104,0,84672,40932,24,6,0,15.089465400000336,cold
case_088,4,243623,202670,86709,2.809662203462155,57.21665762076281,2037046,0,85248,37060,24,5,0,16.882080600000336,cold
case_088,5,243623,202791,83022,2.9344390643443905,59.060313327514535,2154682,0,78592,37058,24,5,0,19.74813549999817,cold
case_089,2,693092,346832,295856,2.3426667027202424,14.697605757254232,238720,0,249928,0,23,14,0,24.613957999998092,cold
case_089,3,693092,243614,205090,3.379452923106929,15.813541093697406,1797888,0,122952,0,24,11,0,30.551918499997555,cold
case_089,4,693092,178160,148856,4.656124039340034,16.448136506511002,716160,0,127048,0,24,29,0,23.81598959999974,cold
case_089,5,693092,147432,120170,5.767595905800117,18.491236637907647,954880,0,102656,0,24,35,0,23.436225299999933,cold
case_090,2,1178363,769224,451762,2.608371222015132,41.27042317972398,2165760,0,374976,0,24,12,0,7.745849999999336,cold
case_090,3,1178363,657430,325783,3.617018076449661,50.44597903959357,4656000,0,341184,0,24,8,0,9.113496799996938,cold
case_090,4,1178363,608275,278923,4.224689251155337,54.1452468044881,6395400,0,350400,0,24,7,0,11.067848799997591,cold
case_090,5,1178363,542638,257160,4.58221729662467,52.60929017134812,8593920,0,350400,0,24,3,0,8.54134189999968,cold
case_091,2,9186769,4590046,4575273,2.0079171231968016,0.3218486263536357,57349824,50746560,523776,4100,12,8,0,203.7821972999991,cold
case_091,3,9186769,3070809,3049008,3.013035387247262,0.7099432104048151,62702240,49745568,523776,4100,10,22,0,194.1609301999997,cold
case_091,4,9186769,2315529,2306373,3.9832104347388735,0.39541720272127884,65286784,45820320,523776,4100,12,10,0,189.05664420000176,cold
case_091,5,9186769,1874503,1857347,4.946178070118292,0.9152292634367617,71410188,45447680,523776,10240,10,40,0,191.09665780000068,neighbor
case_092,2,4815554,2828252,2011752,2.3937115509267546,28.869421819554976,10608224,9641984,524288,0,24,16,0,176.71339420000004,cold
case_092,3,4815554,2231804,1347012,3.5749896808640163,39.64469998261496,8471744,6381568,524288,0,17,22,0,184.8216864999995,cold
case_092,4,4815554,1927728,998029,4.825064201541238,48.227706398413055,6264608,3473408,517120,0,24,12,0,185.59240900000077,cold
case_092,5,4815554,1649430,788671,6.10590981537295,52.18523974948922,3950976,229376,517120,0,24,7,0,178.75377350000053,cold
case_093,2,74205,37827,37827,1.9616940280751844,0.0,8192,0,20480,0,14,4,0,1.45349189999979,cold
case_093,3,74205,25103,25103,2.956021192686133,0.0,16384,0,20480,0,24,8,0,2.347748300002422,cold
case_093,4,74205,19779,19779,3.751706355225239,0.0,24576,0,20480,0,24,11,0,2.378182899999956,cold
case_093,5,74205,15876,15876,4.674036281179139,0.0,32768,0,20480,0,24,14,0,2.400284199997259,cold
case_094,2,94892,53614,45604,2.0807823875098674,14.940127578617526,247608,0,74496,104448,24,15,0,2.7305793999985326,cold
case_094,3,94892,39889,36257,2.617204953526216,9.105267116247587,462404,0,87808,114688,24,12,0,4.0985729999993055,cold
case_094,4,94892,30709,30549,3.106222789616681,0.5210198964472955,318820,0,75776,40960,24,18,0,2.976479900000413,cold
case_094,5,94892,25530,25370,3.7403232163973197,0.626713670191931,259204,0,80640,40960,24,26,0,3.1618218000003253,cold
case_095,2,2084853,1042890,573788,3.633490069503022,44.9809663531149,16588800,16588800,30720,129216,21,13,0,37.96163669999805,cold
case_095,3,2084853,695775,474501,4.393779992033736,31.802522367144554,16367616,16367616,30720,129216,24,24,0,43.375873000000865,cold
case_095,4,2084853,524422,468207,4.4528445751558605,10.719420619272265,16146432,16146432,30720,129216,24,10,0,42.76473040000201,cold
case_095,5,2084853,420852,420852,4.953886401870491,0.0,0,0,36864,37056,24,12,0,36.85236789999908,cold
case_096,2,84194,47175,46054,1.8281582490120294,2.3762586115527293,676784,0,109312,86016,24,8,0,6.228228299998591,cold
case_096,3,84194,33662,33645,2.502422351017982,0.05050204978907968,67392,0,72576,69632,24,13,0,5.694082500001969,cold
case_096,4,84194,26984,26984,3.120145271271865,0.0,78336,0,72576,20480,24,13,0,5.077616000002308,cold
case_096,5,84194,27053,26984,3.120145271271865,0.25505489224854916,78336,0,72576,20480,24,21,0,6.178695399998105,cold
case_097,2,11491509,5617602,5562335,2.0659505405553604,0.9838183623546132,12115968,9560064,524288,0,24,14,0,76.67888790000143,cold
case_097,3,11491509,3660459,3635098,3.161265253371436,0.692836608742237,16670720,7831552,524288,0,24,20,0,80.49431389999882,cold
case_097,4,11491509,2626908,2616285,4.392300150786325,0.40439177923246644,15790080,7163904,524288,0,24,44,0,60.96804989999873,cold
case_097,5,11491509,2102348,2102204,5.466410015393368,0.0068494844811610636,21950464,4591616,524288,0,24,33,0,62.659245900002134,cold
case_098,2,177430,89756,89756,1.9768037791345425,0.0,0,0,229376,110620,7,15,0,1.9345500999988872,cold
case_098,3,177430,89825,79323,2.2368039534561226,11.691622599499025,1642916,20480,131072,122890,24,9,0,7.596819800000958,cold
case_098,4,177430,89894,60423,2.936464591298016,32.784168020112574,1991692,0,94208,126984,24,9,0,8.50596570000198,cold
case_098,5,177430,90168,69570,2.5503809113123475,22.844024487623106,1396952,0,98304,65542,24,1,0,6.2812382000010984,cold
case_099,2,1622999,811392,810820,2.0016760810044154,0.0704961350370721,7035800,5125248,524288,6962,24,11,0,40.80298880000191,cold
case_099,3,1622999,539533,539528,3.0081830785427264,0.0009267273734878125,8335688,4521984,524288,7696,24,14,0,40.05590220000158,cold
case_099,4,1622999,406807,405524,4.002226748601809,0.3153829703028709,9269260,3555328,524288,6144,24,34,0,43.94957360000262,cold
case_099,5,1622999,337221,337091,4.814720654066706,0.03855038683830485,10706048,3080192,524288,6144,24,31,0,42.30243039999914,cold
case_100,2,151223,90243,80490,1.8787799726674121,10.80748645324291,1833032,221184,253568,131072,24,6,0,8.074071700000786,cold
case_100,3,151223,57811,57811,2.6158170590372074,0.0,72192,0,229376,81920,24,12,0,5.514364599999681,cold
case_100,4,151223,58086,49225,3.0720771965464704,15.254966773404952,1605304,0,104192,65546,24,12,0,8.999762300001748,cold
case_100,5,151223,58085,46089,3.28110829048146,20.652492037531204,1578556,0,97536,66050,24,13,0,10.88912369999889,cold
