case,cores,singlecore_cycles,initial_cycles,makespan_cycles,initial_speedup,speedup,reduction_percent,added_copy_bytes,spill_bytes,peak_l1_bytes,peak_ub_bytes,locality_ratio,internalized_bytes,buffer85_ok,evaluations,wall_seconds,selected
case_035,5,169571,95460,57788,1.7763565891472868,2.9343635356821487,39.46364969620784,1089220,0,73728,20686,0.8872003547784736,4349246,True,8,21.727715665008873,eft_placement
case_036,2,931510,466068,466068,1.998656848356892,1.998656848356892,0.0,1152,0,13440,8192,1.0,6553600,True,8,10.047817462997045,base_w0_k2
case_036,3,931510,311345,311345,2.991890025534375,2.991890025534375,0.0,2304,0,13440,8192,1.0,6553600,True,8,10.390570653020404,base_w0_k3
case_036,4,931510,233584,233584,3.987901568600589,3.987901568600589,0.0,3456,0,13440,8192,1.0,6553600,True,8,10.269845485978294,base_w0_k4
case_036,5,931510,187182,187182,4.976493466252097,4.976493466252097,0.0,4608,0,13440,8192,1.0,6553600,True,8,10.407145816017874,base_w0_k5
case_037,2,210001,105374,105374,1.992910964754114,1.992910964754114,0.0,204800,0,225280,0,1.0,3112960,True,8,2.2941237909835763,base_w0_k2
case_037,3,210001,74038,73471,2.836394824279424,2.8582842209851504,0.7658229557794646,1294336,0,274432,0,0.9618421052631579,2994176,True,8,3.506096664001234,move_s4_c2
case_037,4,210001,53320,53320,3.938503375843961,3.938503375843961,0.0,614400,0,110592,0,1.0,3112960,True,8,2.778845732973423,base_w0_k4
case_037,5,210001,43800,43800,4.794543378995434,4.794543378995434,0.0,1925120,0,28672,0,1.0,3112960,True,8,3.1430468899779953,base_w0_k5
case_038,2,1364555,683459,683145,1.996542587046187,1.997460275636944,0.0459427705246401,6103040,4249088,524288,36864,1.0,14659596,False,8,31.407544579007663,split_s0_d18_c0
case_038,3,1364555,462076,454557,2.9530964603225445,3.0019447506033345,1.627221496030956,8062980,3177984,524288,51200,0.9925955667536813,14551050,False,8,30.852197572996374,valley_w1_k3
case_038,4,1364555,346382,340987,3.9394512416926974,4.001780126515087,1.5575289709049547,9405444,2569728,524288,45056,0.9918970481860483,14540810,False,8,36.83790015702834,chain_s8_r3114_d27_c1
case_038,5,1364555,280919,280919,4.857467811006019,4.857467811006019,0.0,9070080,1477632,524288,36864,1.0,14659596,False,8,33.46680904796813,base_w0_k5
case_039,2,1435262,708561,708561,2.025601183243221,2.025601183243221,0.0,11067392,6864896,524288,0,1.0,21217280,False,8,25.191386402002536,base_w0_k2
case_039,3,1435262,485565,476844,2.9558596686334475,3.0099193866337837,1.7960520218714282,13717504,4534272,524288,0,0.9816602316602316,20828160,False,8,32.41698240500409,data_w4_k3
case_039,4,1435262,395323,367778,3.6306058590064327,3.902522717508932,6.967720066882018,12492800,6103040,524288,0,0.9797297297297297,20787200,False,8,35.274936205009,data_w4_k4
case_039,5,1435262,431161,395323,3.3288307615948565,3.6306058590064327,8.311976268725603,17604608,4997120,524288,0,1.0,21217280,False,8,36.53296953998506,base_w0_k4
case_040,2,253454,144027,137167,1.7597672658598735,1.8477767976262511,4.762995827171294,278086,0,245760,103270,0.9723736916171775,8798782,True,8,11.87527640600456,valley_w24_k2
case_040,3,253454,110105,110105,2.301929975932065,2.301929975932065,0.0,0,0,245760,90112,1.0,9048766,True,8,11.374467668007128,base_w0_k3
