case,cores,makespan_cycles,added_copy_bytes,scheduled_copy_bytes,spill_bytes,peak_l1_bytes,peak_ub_bytes,evaluations,wall_seconds,selected,bound_pruned,invalid_candidates,stop_reason,global_lower_bound_cycles,certified_gap,singlecore_cycles,baseline_cycles,speedup,baseline_speedup,reduction_percent
case_007,5,203834,110592,1843200,0,35328,6144,2,3.428960299999744,component_baseline,1,0,fixed_candidate_budget,195804.0,0.041010398153255245,1012562,203834,4.967581463347626,4.967581463347626,0.0
case_008,2,244266,0,2654424,0,36864,37056,2,0.7801225000002887,component_baseline,1,0,fixed_candidate_budget,125064.0,0.953127998464786,487605,244266,1.9962049568912579,1.9962049568912579,0.0
case_008,3,163359,0,2654424,0,36864,37056,2,0.7605795999988914,component_baseline,1,0,fixed_candidate_budget,83376.0,0.9593048359240068,487605,163359,2.984867684057811,2.984867684057811,0.0
case_008,4,123060,0,2654424,0,36864,37056,2,0.7540208999998868,component_baseline,1,0,fixed_candidate_budget,62532.0,0.9679524083669162,487605,123060,3.962335446123842,3.962335446123842,0.0
case_008,5,100603,0,2654424,0,36864,37056,2,0.7545875999931013,component_baseline,1,0,fixed_candidate_budget,50025.6,1.011030352459541,487605,100603,4.846823653370178,4.846823653370178,0.0
case_009,2,92198,0,495332,0,38400,129066,3,9.378162599998177,component_baseline,1,0,fixed_candidate_budget,59996.0,0.5367357823854924,153261,92198,1.66230286991041,1.66230286991041,0.0
case_009,3,90026,1283338,1778670,0,30208,31750,5,16.471533500000078,greedy_schedule,0,0,fixed_candidate_budget,39997.333333333336,1.250800053336889,153261,92207,1.7024081931886343,1.6621406183912284,2.365330181005776
case_009,4,64868,918968,1414300,0,38400,32776,3,5.350086800004647,greedy_schedule,2,0,fixed_candidate_budget,29998.0,1.1624108273884928,153261,92216,2.3626595547881855,1.6619783985425522,29.65645874902403
case_009,5,59855,963416,1458748,0,38400,26636,3,5.576078799997049,greedy_schedule,2,0,fixed_candidate_budget,23998.4,1.4941246083072204,153261,92225,2.560537966752986,1.6618162103551097,35.098942802927624
case_010,2,45272,48384,432534,0,229376,32776,2,0.5549627999935183,component_baseline,1,0,fixed_candidate_budget,27748.0,0.6315410119648264,86969,45272,1.9210328679978794,1.9210328679978794,0.0
case_010,3,30856,48384,432534,0,229376,32776,1,0.4152313999948092,component_baseline,2,0,fixed_candidate_budget,18498.666666666668,0.6680121089808273,86969,30856,2.8185442053409386,2.8185442053409386,0.0
case_010,4,29856,96768,480918,0,229376,32776,3,0.7363751000011689,component_baseline,0,0,fixed_candidate_budget,13874.0,1.1519388784777282,86969,29856,2.9129488210075025,2.9129488210075025,0.0
