case,method,seed,official_call,relative_best
case_044,nsga3_npu,17,29,0.8969173888750194
case_044,nsga3_npu,17,30,0.8969173888750194
case_044,nsga3_npu,29,1,1.2235457755269445
case_044,nsga3_npu,29,2,1.2235457755269445
case_044,nsga3_npu,29,3,1.0
case_044,nsga3_npu,29,4,1.0
case_044,nsga3_npu,29,5,1.0
case_044,nsga3_npu,29,6,1.0
case_044,nsga3_npu,29,7,0.9995125836632309
case_044,nsga3_npu,29,8,0.9797900543290893
case_044,nsga3_npu,29,9,0.9797900543290893
case_044,nsga3_npu,29,10,0.8356455888821522
case_044,nsga3_npu,29,11,0.8356455888821522
case_044,nsga3_npu,29,12,0.8356455888821522
case_044,nsga3_npu,29,13,0.669995363600699
case_044,nsga3_npu,29,14,0.669995363600699
case_044,nsga3_npu,29,15,0.669995363600699
case_044,nsga3_npu,29,16,0.669995363600699
case_044,nsga3_npu,29,17,0.669995363600699
case_044,nsga3_npu,29,18,0.669995363600699
case_044,nsga3_npu,29,19,0.669995363600699
case_044,nsga3_npu,29,20,0.669995363600699
case_044,nsga3_npu,29,21,0.669995363600699
case_044,nsga3_npu,29,22,0.669995363600699
case_044,nsga3_npu,29,23,0.669995363600699
case_044,nsga3_npu,29,24,0.669995363600699
case_044,nsga3_npu,29,25,0.669995363600699
case_044,nsga3_npu,29,26,0.669995363600699
case_044,nsga3_npu,29,27,0.669995363600699
case_044,nsga3_npu,29,28,0.669995363600699
case_044,nsga3_npu,29,29,0.669995363600699
case_044,nsga3_npu,29,30,0.669995363600699
case_044,nsga3_npu,43,1,1.2235457755269445
case_044,nsga3_npu,43,2,1.2235457755269445
case_044,nsga3_npu,43,3,1.0
case_044,nsga3_npu,43,4,1.0
case_044,nsga3_npu,43,5,1.0
case_044,nsga3_npu,43,6,1.0
case_044,nsga3_npu,43,7,1.0
case_044,nsga3_npu,43,8,0.9951496130389814
case_044,nsga3_npu,43,9,0.9951496130389814
case_044,nsga3_npu,43,10,0.9951496130389814
case_044,nsga3_npu,43,11,0.9951496130389814
case_044,nsga3_npu,43,12,0.9951496130389814
case_044,nsga3_npu,43,13,0.9951496130389814
case_044,nsga3_npu,43,14,0.9951496130389814
case_044,nsga3_npu,43,15,0.9951496130389814
case_044,nsga3_npu,43,16,0.9951496130389814
case_044,nsga3_npu,43,17,0.9951496130389814
case_044,nsga3_npu,43,18,0.9951496130389814
case_044,nsga3_npu,43,19,0.9951496130389814
case_044,nsga3_npu,43,20,0.9951496130389814
case_044,nsga3_npu,43,21,0.9951496130389814
case_044,nsga3_npu,43,22,0.9951496130389814
case_044,nsga3_npu,43,23,0.9951496130389814
case_044,nsga3_npu,43,24,0.9951496130389814
case_044,nsga3_npu,43,25,0.9951496130389814
case_044,nsga3_npu,43,26,0.9951496130389814
case_044,nsga3_npu,43,27,0.9951496130389814
case_044,nsga3_npu,43,28,0.9951496130389814
case_044,nsga3_npu,43,29,0.9951496130389814
case_044,nsga3_npu,43,30,0.9951496130389814
case_044,unsga3_npu,17,1,1.2235457755269445
case_044,unsga3_npu,17,2,1.2235457755269445
case_044,unsga3_npu,17,3,1.0
case_044,unsga3_npu,17,4,1.0
case_044,unsga3_npu,17,5,1.0
case_044,unsga3_npu,17,6,1.0
case_044,unsga3_npu,17,7,1.0
case_044,unsga3_npu,17,8,1.0
case_044,unsga3_npu,17,9,0.992736307761808
case_044,unsga3_npu,17,10,0.992736307761808
case_044,unsga3_npu,17,11,0.992736307761808
case_044,unsga3_npu,17,12,0.992736307761808
case_044,unsga3_npu,17,13,0.992736307761808
case_044,unsga3_npu,17,14,0.992736307761808
case_044,unsga3_npu,17,15,0.8967390658249819
case_044,unsga3_npu,17,16,0.8967390658249819
case_044,unsga3_npu,17,17,0.8967390658249819
case_044,unsga3_npu,17,18,0.8967390658249819
case_044,unsga3_npu,17,19,0.8967390658249819
case_044,unsga3_npu,17,20,0.8967390658249819
case_044,unsga3_npu,17,21,0.8967390658249819
case_044,unsga3_npu,17,22,0.8967390658249819
case_044,unsga3_npu,17,23,0.8967390658249819
case_044,unsga3_npu,17,24,0.8967390658249819
case_044,unsga3_npu,17,25,0.8967390658249819
case_044,unsga3_npu,17,26,0.8967390658249819
case_044,unsga3_npu,17,27,0.8967390658249819
case_044,unsga3_npu,17,28,0.7018319721340514
case_044,unsga3_npu,17,29,0.7018319721340514
case_044,unsga3_npu,17,30,0.7018319721340514
case_044,unsga3_npu,29,1,1.2235457755269445
case_044,unsga3_npu,29,2,1.2235457755269445
case_044,unsga3_npu,29,3,1.0
case_044,unsga3_npu,29,4,1.0
case_044,unsga3_npu,29,5,1.0
case_044,unsga3_npu,29,6,1.0
case_044,unsga3_npu,29,7,1.0
case_044,unsga3_npu,29,8,0.993782469655361
case_044,unsga3_npu,29,9,0.993782469655361
case_044,unsga3_npu,29,10,0.993782469655361
