case,cores,strategy,status,makespan_cycles,added_copy_bytes,scheduled_copy_bytes,subgraphs,wall_seconds,error
case_048,5,band_64,ok,223387,119964,534754,10,0.392,
case_048,5,mask_stage_16,ok,155874,774346,1189136,69,0.535,
case_048,5,mask_stage_32,ok,180755,438570,853360,33,0.447,
case_048,5,mask_stage_64,ok,207160,200234,615024,19,0.386,
case_049,5,band_2,ok,164200,5445562,5598102,460,3.413,
case_049,5,band_6,ok,113961,2654370,2806910,151,1.664,
case_049,5,band_12,ok,103849,1800846,1953386,73,1.445,
case_049,5,band_24,ok,142854,530368,682908,29,1.271,
case_049,5,band_48,ok,159756,119312,271852,9,1.337,
case_049,5,band_64,ok,162576,305164,457704,8,1.641,
case_049,5,mask_stage_16,ok,94098,1500678,1653218,93,1.43,
case_049,5,mask_stage_32,ok,117371,738058,890598,57,1.366,
case_049,5,mask_stage_64,ok,131343,505398,657938,40,1.584,
case_035,5,band_2,ok,187036,5250374,5661228,720,3.608,
case_035,5,band_6,ok,101365,2376672,2787526,217,1.761,
case_035,5,band_12,ok,92320,1499360,1910214,99,1.287,
case_035,5,band_24,ok,99874,649942,1060796,37,1.21,
case_035,5,band_48,ok,110569,179032,589886,11,1.09,
case_035,5,band_64,ok,102101,96340,507194,13,1.267,
case_035,5,mask_stage_16,ok,98652,1378880,1789734,190,1.324,
case_035,5,mask_stage_32,ok,94318,717972,1128826,125,1.202,
case_035,5,mask_stage_64,ok,89140,381684,792538,110,1.33,
case_054,5,band_12_heft,ok,316964,5688200,7294476,130,5.032,
case_054,5,band_16_heft,ok,315324,4955606,6561882,95,6.667,
case_054,5,mask_stage_16_heft,ok,306569,6079882,7686158,159,7.012,
case_054,5,valley_mode_heft,ok,210498,2858836,4465112,105,5.656,
case_056,5,band_12_heft,ok,136458,2818592,3040192,113,2.328,
case_056,5,band_16_heft,ok,157120,2674354,2895954,75,2.533,
case_056,5,mask_stage_16_heft,ok,153274,2947460,3169060,146,2.883,
case_056,5,valley_mode_heft,ok,132489,4364564,4586164,180,3.117,
case_088,5,band_12_heft,ok,124231,2226416,4056214,59,1.019,
case_088,5,band_16_heft,ok,116749,1955272,3785070,41,0.997,
case_088,5,mask_stage_16_heft,ok,115164,2159584,3989382,99,1.065,
case_088,5,valley_mode_heft,ok,98648,2205234,4035032,56,1.0,
case_049,5,band_12_heft,ok,99332,1800846,1953386,73,1.341,
case_049,5,band_16_heft,ok,111645,1332844,1485384,49,1.193,
case_049,5,mask_stage_16_heft,ok,97313,1500678,1653218,93,1.327,
case_049,5,valley_mode_heft,ok,112942,1683518,1836058,74,1.501,
case_035,5,band_12_heft,ok,86053,1499360,1910214,99,1.371,
case_035,5,band_16_heft,ok,83069,1143216,1554070,69,1.269,
case_035,5,mask_stage_16_heft,ok,78584,1378880,1789734,190,1.394,
case_035,5,valley_mode_heft,ok,94033,1624558,2035412,210,1.722,
case_044,5,band_12_heft,ok,91881,4022912,4998368,55,0.315,
case_044,5,band_16_heft,ok,91980,3955328,4930784,40,0.309,
case_044,5,mask_stage_16_heft,ok,180931,9537728,10513184,88,0.427,
case_048,5,band_12_heft,ok,152398,877650,1292440,82,0.522,
case_048,5,band_16_heft,ok,156474,721734,1136524,60,0.451,
case_048,5,mask_stage_16_heft,ok,150122,774346,1189136,69,0.463,
case_048,5,valley_mode_heft,ok,139588,1431450,1846240,247,0.78,
case_003,5,valley_mode_heft,ok,183359,4572928,5857192,90,2.881,
case_005,5,valley_mode_heft,ok,44463,1599626,1933040,60,1.027,
case_006,5,valley_mode_heft,ok,31733,63616,606964,5,0.197,
case_009,5,valley_mode_heft,ok,89087,1311512,1806844,225,2.256,
case_010,5,valley_mode_heft,ok,31015,145152,529302,5,0.174,
case_011,5,valley_mode_heft,ok,87817,4505600,5111808,10,0.328,
case_012,5,valley_mode_heft,ok,23309,608364,1163262,30,0.416,
case_015,5,valley_mode_heft,ok,43437,321536,1206150,5,0.304,
case_019,5,valley_mode_heft,ok,24169,73728,260712,5,0.117,
case_026,5,valley_mode_heft,ok,44114,211680,740534,5,0.132,
case_029,5,valley_mode_heft,ok,25488,911996,1342160,20,0.28,
case_032,5,valley_mode_heft,ok,10415,12360,305448,5,0.171,
case_039,5,valley_mode_heft,ok,534622,24190976,28680192,10,4.948,
case_040,5,valley_mode_heft,ok,95187,1671662,2582900,135,1.302,
case_043,5,valley_mode_heft,ok,242620,6146380,7577502,89,4.404,
case_047,5,valley_mode_heft,ok,123456,2352214,2816156,165,4.093,
case_050,5,valley_mode_heft,ok,63507,1515782,1835158,105,1.629,
case_052,5,valley_mode_heft,ok,51596,1382560,2192764,15,0.406,
case_053,5,valley_mode_heft,ok,581766,9504784,12500072,45,8.141,
case_057,5,valley_mode_heft,ok,16538,27936,370396,5,0.581,
case_061,5,valley_mode_heft,ok,23831,180576,724764,12,0.993,
case_064,5,valley_mode_heft,ok,26754,230898,268312,98,0.823,
case_066,5,valley_mode_heft,ok,115971,2342666,3449700,60,4.586,
case_068,5,valley_mode_heft,ok,142535,3419686,6190936,84,1.756,
case_069,5,valley_mode_heft,ok,15837,437984,564038,29,0.221,
case_071,5,valley_mode_heft,ok,13677,365982,487428,29,0.157,
case_075,5,valley_mode_heft,ok,398393,6383958,8221148,165,2.275,
