case,cores,with_l2_cycles,same_plan_no_l2_cycles,paired_cache_ratio,initial_with_l2_cycles,construction_to_selected_ratio,selected_candidate,added_copy_bytes,hit_rate,hit_bytes,miss_bytes,peak_l1_bytes,peak_ub_bytes,max_l2_bytes,official_search_calls,feedback_candidates,invalid_candidates,solver_seconds,total_seconds,full_result_rechecked
case_008,1,269325,269325,1.0,487605,1.8104706209969368,data_aware_bands,3760128,0.0,0,3870936,30720,129216,1044652,3,0,0,0.6483795999956783,1.2793278000026476,True
case_008,2,136244,136244,1.0,244266,1.7928569331493498,data_aware_bands,3538944,0.0,0,3760344,30720,129216,1044652,3,0,0,0.6081407000019681,1.3048686999973143,True
case_008,5,97488,97488,1.0,100603,1.0319526505826357,data_aware_bands,2875392,0.0,0,3428568,30720,129216,1044660,3,0,0,0.6067787999927532,1.8110362000006717,True
case_074,1,1678120,1682239,1.002454532452983,1678120,1.0,component_packing,6070280,0.16680485013829857,1642496,8204316,524288,122900,1048576,4,1,0,3.967907300000661,7.049989999999525,True
case_074,2,820789,822510,1.0020967629926814,820789,1.0,component_packing,7077888,0.26188621340017676,2842624,8011800,524288,122892,1048576,4,1,0,3.7966081999911694,6.952931299994816,True
case_074,5,336925,344440,1.0223046672108036,341696,1.0141604214587816,component_blocks,9084928,0.3493624053995719,4493312,8368152,524288,65542,1048576,4,1,0,3.863243899992085,5.589148300001398,True
case_095,1,1144413,1144413,1.0,2084853,1.8217662679469737,data_aware_bands,16809984,0.0,0,16921500,30720,129216,1044652,3,0,0,4.052786899992498,8.49505890000728,True
case_095,2,573788,573788,1.0,1042890,1.8175528243881016,data_aware_bands,16588800,0.0,0,16810908,30720,129216,1044652,3,0,0,3.4540107999928296,7.6192587000114145,True
case_095,5,420852,420852,1.0,420852,1.0,component_packing,0,0.0,0,8516508,36864,37056,1044600,3,0,0,2.994071300010546,5.29696390000754,True
