case,variant,cores,status,makespan_cycles,original_copy_bytes,scheduled_copy_bytes,added_copy_bytes,cache_hit_rate,cache_hit_bytes,wall_seconds,error
case_056,singlecore,1,ok,277285,221600,221600,0,,,8.952,
case_056,q1,2,ok,265710,221600,221600,0,,,8.81,
case_056,q1,3,ok,265728,221600,221600,0,,,8.845,
case_056,q1,4,ok,265746,221600,221600,0,,,8.809,
case_056,q1,5,ok,265764,221600,221600,0,,,8.91,
case_056,q2,1,ok,277285,221600,221600,0,,,1.845,
case_056,q2,2,ok,265710,221600,221600,0,,,1.768,
case_056,q2,3,ok,265728,221600,221600,0,,,1.812,
case_056,q2,4,ok,265746,221600,221600,0,,,1.894,
case_056,q2,5,ok,265764,221600,221600,0,,,1.938,
case_056,q3,1,ok,277285,221600,221600,0,0.0,0,1.97,
case_056,q3,2,ok,265710,221600,221600,0,0.0,0,1.883,
case_056,q3,3,ok,265728,221600,221600,0,0.0,0,1.841,
case_056,q3,4,ok,265746,221600,221600,0,0.0,0,1.953,
case_056,q3,5,ok,265764,221600,221600,0,0.0,0,1.891,
case_057,singlecore,1,ok,59726,342460,436676,94216,,,0.203,
case_057,q1,2,ok,33730,342460,342748,288,,,0.202,
case_057,q1,3,ok,25250,342460,342748,288,,,0.18,
case_057,q1,4,ok,20957,342460,342748,288,,,0.176,
case_057,q1,5,ok,16538,342460,370396,27936,,,0.172,
case_057,q2,1,ok,59726,342460,436676,94216,,,0.119,
case_057,q2,2,ok,33730,342460,342748,288,,,0.107,
case_057,q2,3,ok,25250,342460,342748,288,,,0.1,
case_057,q2,4,ok,20957,342460,342748,288,,,0.101,
case_057,q2,5,ok,16538,342460,370396,27936,,,0.1,
case_057,q3,1,ok,59726,342460,436676,94216,0.21868152274837513,94208,0.114,
case_057,q3,2,ok,33730,342460,342748,288,0.0008549139742813379,288,0.117,
case_057,q3,3,ok,25250,342460,342748,288,0.0008549139742813379,288,0.112,
case_057,q3,4,ok,20957,342460,342748,288,0.0008549139742813379,288,0.11,
case_057,q3,5,ok,16538,342460,370396,27936,0.07663692925568687,27936,0.108,
case_058,singlecore,1,ok,4539717,7667712,36364288,28696576,,,279.984,
case_058,q1,2,ok,2271316,7667712,41099264,33431552,,,254.283,
case_058,q1,3,ok,1554831,7667712,38068224,30400512,,,63.417,
case_058,q1,4,ok,1154519,7667712,50290688,42622976,,,207.31,
case_058,q1,5,ok,1004819,7667712,39772160,32104448,,,37.721,
case_058,q2,1,ok,4539717,7667712,36364288,28696576,,,12.939,
case_058,q2,2,ok,2271316,7667712,41099264,33431552,,,9.852,
case_058,q2,3,ok,1554831,7667712,38068224,30400512,,,7.762,
case_058,q2,4,ok,1154519,7667712,50290688,42622976,,,7.852,
case_058,q2,5,ok,1004819,7667712,39772160,32104448,,,6.278,
case_058,q3,1,ok,4539717,7667712,36364288,28696576,0.0,0,12.938,
case_058,q3,2,ok,2270206,7667712,41099264,33431552,0.09919214643624093,3973120,9.998,
case_058,q3,3,ok,1554831,7667712,38068224,30400512,0.0,0,8.213,
case_058,q3,4,ok,1142629,7667712,50290688,42622976,0.2689844464775846,13246464,8.931,
case_058,q3,5,ok,1004819,7667712,39772160,32104448,0.0,0,7.15,
case_059,singlecore,1,ok,829473,1343488,3035136,1691648,,,2.401,
case_059,q1,2,ok,369318,1343488,1703936,360448,,,1.289,
case_059,q1,3,ok,266217,1343488,4341760,2998272,,,2.176,
case_059,q1,4,ok,185216,1343488,2424832,1081344,,,1.02,
case_059,q1,5,ok,150782,1343488,5668864,4325376,,,1.815,
case_059,q2,1,ok,829473,1343488,3035136,1691648,,,0.693,
case_059,q2,2,ok,369318,1343488,1703936,360448,,,0.568,
case_059,q2,3,ok,266217,1343488,4341760,2998272,,,0.706,
case_059,q2,4,ok,185216,1343488,2424832,1081344,,,0.628,
case_059,q2,5,ok,150782,1343488,5668864,4325376,,,0.768,
case_059,q3,1,ok,815938,1343488,3035136,1691648,0.6100443131462334,1691648,0.759,
case_059,q3,2,ok,369318,1343488,1703936,360448,0.0,0,0.668,
case_059,q3,3,ok,262333,1343488,4341760,2998272,0.6832329317269076,2787328,0.797,
case_059,q3,4,ok,185216,1343488,2424832,1081344,0.0,0,0.631,
case_059,q3,5,ok,150736,1343488,5668864,4325376,0.7378787878787879,3989504,0.89,
case_060,singlecore,1,ok,888789,2099006,4167526,2068520,,,9.149,
case_060,q1,2,ok,469437,2099006,4867918,2768912,,,10.557,
case_060,q1,3,ok,334622,2099006,5538762,3439756,,,9.407,
case_060,q1,4,ok,229383,2099006,5798974,3699968,,,9.051,
case_060,q1,5,ok,183272,2099006,6389950,4290944,,,9.059,
case_060,q2,1,ok,888789,2099006,4167526,2068520,,,1.46,
case_060,q2,2,ok,469437,2099006,4867918,2768912,,,1.417,
case_060,q2,3,ok,334622,2099006,5538762,3439756,,,1.37,
case_060,q2,4,ok,229383,2099006,5798974,3699968,,,1.461,
case_060,q2,5,ok,183272,2099006,6389950,4290944,,,1.435,
case_060,q3,1,ok,887801,2099006,4167526,2068520,0.4231432279268349,1763336,1.483,
case_060,q3,2,ok,469051,2099006,4867918,2768912,0.4001222771154434,1947648,1.469,
case_060,q3,3,ok,334146,2099006,5538762,3439756,0.42727695226016965,2366464,1.443,
case_060,q3,4,ok,228970,2099006,5798974,3699968,0.513020168672405,2974848,1.42,
case_060,q3,5,ok,182846,2099006,6389950,4290944,0.5288935018886729,3379456,1.546,
case_061,singlecore,1,ok,77191,544188,544188,0,,,0.43,
case_061,q1,2,ok,39299,544188,578748,34560,,,0.388,
case_061,q1,3,ok,28409,544188,587196,43008,,,0.399,
case_061,q1,4,ok,27166,544188,606396,62208,,,0.477,
case_061,q1,5,ok,22283,544188,627900,83712,,,0.497,
case_061,q2,1,ok,77191,544188,544188,0,,,0.192,
case_061,q2,2,ok,39299,544188,578748,34560,,,0.182,
case_061,q2,3,ok,28409,544188,587196,43008,,,0.192,
case_061,q2,4,ok,27166,544188,606396,62208,,,0.188,
case_061,q2,5,ok,22283,544188,627900,83712,,,0.199,
case_061,q3,1,ok,77191,544188,544188,0,0.0,0,0.216,
case_061,q3,2,ok,39273,544188,578748,34560,0.05973079661802017,34560,0.211,
case_061,q3,3,ok,28368,544188,587196,43008,0.06977330489707756,40960,0.198,
case_061,q3,4,ok,27166,544188,606396,62208,0.10261214956354207,62208,0.209,
case_061,q3,5,ok,22283,544188,627900,83712,0.12315770022365663,77312,0.239,
