case,cores,singlecore_cycles,q1_cycles,q2_cycles,q3_cycles,q1_speedup,q2_speedup,q3_speedup,q3_cache_hit_rate,q3_cache_hit_bytes
case_016,3,7715523.0,7715523.0,7715523.0,7715523.0,1.0,1.0,1.0,0.0,0
case_016,4,7715523.0,7715523.0,7715523.0,7715523.0,1.0,1.0,1.0,0.0,0
case_016,5,7715523.0,7715523.0,7715523.0,7715523.0,1.0,1.0,1.0,0.0,0
case_017,1,162810.0,,162810.0,162810.0,,1.0,1.0,0.040398388942088706,22528
case_017,2,162810.0,87680.0,87680.0,87680.0,1.8568658759124088,1.8568658759124088,1.0,0.14060738432877767,87552
case_017,3,162810.0,58579.0,58579.0,58579.0,2.7793236484064257,2.7793236484064257,1.0,0.1362503555226394,96768
case_017,4,162810.0,42384.0,42384.0,42384.0,3.841308040770102,3.841308040770102,1.0,0.12327556469826946,97920
case_017,5,162810.0,35496.0,35496.0,35496.0,4.586713995943205,4.586713995943205,1.0,0.3024277773338964,264960
case_018,1,1004367.0,,1004367.0,1003110.0,,1.0,1.0012531028501361,0.34375031576536474,1224704
case_018,2,1004367.0,502105.0,502105.0,501620.0,2.0003126836020355,2.0003126836020355,1.0009668673497867,0.483919000151325,2315264
case_018,3,1004367.0,338272.0,338272.0,338089.0,2.969110656513102,2.969110656513102,1.0005412775925866,0.5319887669508631,2904448
case_018,4,1004367.0,258133.0,258133.0,257482.0,3.89088958017766,3.89088958017766,1.0025283320775822,0.6677898264066645,4304640
case_018,5,1004367.0,203865.0,203865.0,202515.0,4.926627915532338,4.926627915532338,1.0066661728760833,0.5661064534954261,4124672
case_019,1,81144.0,,81144.0,81144.0,,1.0,1.0,0.0,0
case_019,2,81144.0,43224.0,43224.0,43224.0,1.8772903942254304,1.8772903942254304,1.0,0.13161515357039047,27168
case_019,3,81144.0,29121.0,29121.0,29121.0,2.7864427732564128,2.7864427732564128,1.0,0.12057224718880624,24576
case_019,4,81144.0,24099.0,24099.0,24099.0,3.3671106684924688,3.3671106684924688,1.0,0.011220973523351054,2592
case_019,5,81144.0,24169.0,24169.0,24169.0,3.357358599859324,3.357358599859324,1.0,0.06476401296545181,16384
case_020,1,532746.0,,532746.0,532746.0,,1.0,1.0,0.0,0
case_020,2,532746.0,266580.0,266580.0,266580.0,1.9984469952734638,1.9984469952734638,1.0,0.0,0
case_020,3,532746.0,177950.0,177950.0,177950.0,2.993796010115201,2.993796010115201,1.0,0.0,0
case_020,4,532746.0,133704.0,133704.0,133704.0,3.984518039849219,3.984518039849219,1.0,0.0,0
case_020,5,532746.0,107650.0,107650.0,107650.0,4.948871342313051,4.948871342313051,1.0,0.0,0
case_021,1,6567937.0,,6567937.0,6558837.0,,1.0,1.0013874410966457,0.5005973715651135,3432448
case_021,2,6567937.0,3194570.0,3194570.0,3193634.0,2.0559690349561914,2.0559690349561914,1.0002930830520969,0.21777777777777776,1204224
case_021,3,6567937.0,2144024.0,2144024.0,2142851.0,3.063369160046716,3.063369160046716,1.0005474015692177,0.5459328207203561,5525504
case_021,4,6567937.0,1550324.0,1550324.0,1550324.0,4.236493145948847,4.236493145948847,1.0,0.0,0
case_021,5,6567937.0,1250168.0,1250168.0,1249380.0,5.253643510312214,5.253643510312214,1.0006307128335654,0.5699643493761141,7858176
case_022,1,56780.0,,56780.0,56780.0,,1.0,1.0,0.0,0
case_022,2,56780.0,28333.0,28333.0,28333.0,2.004023576747962,2.004023576747962,1.0,0.03135376408469871,6912
case_022,3,56780.0,19128.0,19128.0,19128.0,2.968423253868674,2.968423253868674,1.0,0.060801182245210326,13824
case_022,4,56780.0,14654.0,14654.0,14654.0,3.874709976798144,3.874709976798144,1.0,0.060801182245210326,13824
case_022,5,56780.0,11828.0,11828.0,11828.0,4.800473452823808,4.800473452823808,1.0,0.08851098704092608,20736
case_023,1,122614.0,,122614.0,122614.0,,1.0,1.0,0.0,0
case_023,2,122614.0,61227.0,61227.0,61227.0,2.0026132261910594,2.0026132261910594,1.0,0.1627445005457989,84384
case_023,3,122614.0,41662.0,41662.0,41662.0,2.943065623349815,2.943065623349815,1.0,0.3120291338757373,196896
case_023,4,122614.0,31519.0,31519.0,31519.0,3.890161489894984,3.890161489894984,1.0,0.39317754213714806,281280
case_023,5,122614.0,25191.0,25191.0,25191.0,4.867373268230717,4.867373268230717,1.0,0.32420005761319176,231840
