case,cores,q1_speedup,q2_speedup,q1_cycles,q2_cycles,q1_extra_bytes,q2_extra_bytes
case_046,4,2.218526305652746,3.4484457638958186,124612,80168,4513952,2791200
case_046,5,2.218526305652746,2.8998269261026905,124612,95335,4513952,3721600
case_047,2,1.615832294079221,1.854147737597674,202068,176096,1097622,494022
case_047,3,2.10922480620155,2.550365556458164,154800,128024,1594560,1353740
case_047,4,2.694805301992374,3.134226061915047,121162,104175,1482538,1170770
case_047,5,2.7190646313738225,3.4457765207480264,120081,94756,2257428,2385816
case_048,2,1.620707008088219,1.4946092641292432,137113,148681,805802,424582
case_048,3,1.8215948586792576,1.707703184556744,121992,130128,723464,638220
case_048,4,1.9860399853428783,1.7521781983047506,111891,126825,925012,415310
case_048,5,1.9715036019731005,1.7451055843064576,112716,127339,717046,415760
case_049,2,1.3997618045799132,1.4845551084621669,140221,132212,1426960,795798
case_049,3,1.6165845783847004,1.6956889848812096,121414,115750,788740,1226378
case_049,4,1.9415773906678142,1.9191004644341236,101091,102275,846224,1531118
case_049,5,1.777186215389073,2.008000245531832,110442,97747,1570238,1726740
case_050,2,1.779545157340371,1.9856472023983234,84117,75386,720726,597958
case_050,3,2.0196173669014272,2.4773678897108717,74118,60423,1257138,919320
case_050,4,3.0272817360001616,3.0415523722442344,49447,49215,707666,1303162
case_050,5,3.3233426579636784,3.1372343546967345,45042,47714,975622,1526304
case_051,2,1.6974982888910617,1.6009801467585334,357955,379535,9045258,9438408
case_051,3,2.086476983194951,2.6648831426278328,291222,228013,9045304,376
case_051,4,2.389338911870645,3.159036319965063,254308,192346,9045350,1332
case_051,5,2.3935932182024455,3.165372132881158,253856,191961,9045396,1520
case_052,2,1.9758147588050934,1.9758147588050934,91254,91254,102912,102912
case_052,3,2.845614810372311,2.845614810372311,63361,63361,181248,181248
case_052,4,3.778231805703988,3.778231805703988,47721,47721,259584,259584
case_052,5,3.4894716469905167,3.4894716469905167,51670,51670,328704,328704
case_053,2,1.900414102453257,2.0483246194909115,774929,718971,5959552,4639598
case_053,3,2.6967035703691224,2.6967035703691224,546106,546106,5882944,5882944
case_053,4,2.991853434965626,2.991853434965626,492232,492232,6360992,6360992
case_053,5,3.600611231999218,2.829661482651418,409010,520446,8797386,9600548
case_054,2,1.8333468295206603,1.869687494981981,444570,435929,1442752,661958
case_054,3,2.6180237245561684,2.76118123733832,311323,295182,2153244,1733776
case_054,4,3.266488724305564,3.517578158717006,249519,231708,2064246,1766610
case_054,5,4.1031358078140965,4.032989272424986,198641,202096,2566484,2922392
case_055,2,1.8069916671735295,1.8069916671735295,65764,65764,57856,57856
case_055,3,2.7201455810653057,2.7201455810653057,43687,43687,115712,115712
