case,cores,singlecore_cycles,q1_makespan_cycles,q1_added_copy_bytes,q1_speedup,q2_makespan_cycles,q2_added_copy_bytes,q2_speedup
case_068,5,362095.0,134203,3108894,2.6981140511016894,123877,3420288,2.923020415412062
case_069,2,25144.0,15079,166470,1.6674845812056502,13742,111846,1.8297191092999563
case_069,3,25144.0,11285,218794,2.2280903854674348,11864,330444,2.119352663519892
case_069,4,25144.0,11326,271118,2.220024721878863,9592,262578,2.621351125938282
case_069,5,25144.0,9133,267954,2.75309317858316,14614,331026,1.7205419460791023
case_070,2,117300.0,58525,129536,2.0042716787697565,58525,129536,2.0042716787697565
case_070,3,117300.0,45661,259072,2.568931911259061,45661,259072,2.568931911259061
case_070,4,117300.0,36336,360960,3.228203434610304,36336,360960,3.228203434610304
case_070,5,117300.0,27664,462848,4.240167727009832,27664,462848,4.240167727009832
case_071,2,18919.0,11671,117990,1.6210264758803872,11417,80358,1.6570903039327318
case_071,3,18919.0,10106,193450,1.8720562042351079,10829,277100,1.7470680579924278
case_071,4,18919.0,8078,185678,2.342040108937856,8514,211122,2.2221047686163966
case_071,5,18919.0,7854,233394,2.4088362617774384,11906,219474,1.5890307408029565
case_072,2,23897828.0,11833111,113945376,2.0195727057745,11888724,113611640,2.0101255609937616
case_072,3,23897828.0,7945629,114002720,3.007669751507401,7926170,118470700,3.015053676618089
case_072,4,23897828.0,5994354,122293024,3.9867228395253265,5994354,122293024,3.9867228395253265
case_072,5,23897828.0,4863110,121488048,4.9141039376037146,4863110,121488048,4.9141039376037146
case_073,2,10081626.0,5980423,141121024,1.6857713910872192,5306906,91712384,1.8997182162261776
case_073,3,10081626.0,4515227,140671616,2.232806013961203,4347939,93073664,2.318713763003575
case_073,4,10081626.0,3903787,140222208,2.5825246100773427,3640418,94434944,2.7693594526782364
case_073,5,10081626.0,3517515,139772800,2.8661216796516857,3224273,95796224,3.1267904423725907
case_074,2,1682239.0,822510,7077888,2.0452505136715664,822510,7077888,2.0452505136715664
case_074,3,1682239.0,553814,7614464,3.0375523190096314,553814,7614464,3.0375523190096314
case_074,4,1682239.0,423088,8429568,3.9760971712740614,423088,8429568,3.9760971712740614
case_074,5,1682239.0,347042,9035776,4.847364295964177,407970,12185740,4.123437997892002
case_075,2,1441809.0,782269,2960082,1.8431115127916355,738658,1401990,1.9519303926851128
case_075,3,1441809.0,621902,4795646,2.3183861766001717,559640,4018700,2.576315131155743
case_075,4,1441809.0,457743,4319402,3.149822061724592,398037,3455122,3.6222989320088335
case_075,5,1441809.0,395938,6346198,3.641501952325869,369499,6786072,3.902064687590494
case_076,2,6185113.0,3069464,30744576,2.015046600970072,3069464,30744576,2.015046600970072
case_076,3,6185113.0,2061609,35117056,3.0001387265965564,2061609,35117056,3.0001387265965564
case_076,4,6185113.0,1550155,35703808,3.9899964842225453,1550155,35703808,3.9899964842225453
case_076,5,6185113.0,1238120,37194752,4.995568280942074,1238120,37194752,4.995568280942074
case_077,2,495320.0,250735,57344,1.9754721119907472,250735,57344,1.9754721119907472
case_077,3,495320.0,178739,114688,2.771191513883372,178739,114688,2.771191513883372
case_077,4,495320.0,144734,172032,3.4222781101883455,144734,172032,3.4222781101883455
case_077,5,495320.0,121081,172032,4.090815239385205,121081,172032,4.090815239385205
case_078,2,2296143.0,1260358,12535344,1.8218180866071385,1055740,2148480,2.1749133309337525
case_078,3,2296143.0,823047,17398656,2.7898078724544284,773858,5034240,2.967137381793559
case_078,4,2296143.0,690924,13146912,3.3232931552529656,557664,6445440,4.117430926149079
case_078,5,2296143.0,573730,16722816,4.002131664720339,528099,9331200,4.347940442985122
case_079,2,31052251.0,15446486,31780864,2.010311665708304,15446486,31780864,2.010311665708304
case_079,3,31052251.0,10181692,39960576,3.049812447675691,10181692,39960576,3.049812447675691
case_079,4,31052251.0,7635624,30445568,4.066760097144647,7635624,30445568,4.066760097144647
case_079,5,31052251.0,6075976,47677440,5.110660575354478,6075976,47677440,5.110660575354478
case_080,2,292138.0,145926,2191360,2.0019598974822856,156441,3076096,1.8674004896414622
case_080,3,292138.0,100325,3047424,2.9119162721156244,100098,983040,2.9185198505464647
case_080,4,292138.0,101166,3452928,2.8877093094517923,92659,2584576,3.1528291909042836
case_080,5,292138.0,100325,3047424,2.9119162721156244,113455,4571136,2.574923978669957
case_081,2,151795.0,76860,0,1.9749544626593807,76860,0,1.9749544626593807
case_081,3,151795.0,51943,0,2.9223379473653814,51943,0,2.9223379473653814
case_081,4,151795.0,39588,0,3.834369000707285,39588,0,3.834369000707285
case_081,5,151795.0,30943,0,4.905632937982743,30943,0,4.905632937982743
case_082,2,721041.0,379451,1237914,1.9002216359951614,365555,567942,1.972455581239485
case_082,3,721041.0,267619,1844266,2.694281796135551,249583,1538572,2.888982823349347
