returncode,process_wall_s,case,cores,makespan_cycles,initial_cycles,singlecore_cycles,speedup,component_baseline_cycles,baseline_speedup,selected,evaluations,added_copy_bytes
0,5.159580600004119,case_040,5,110105,110337,253454,2.301929975932065,110337,2.2970898248094476,reuse_pack_k3,4,0
0,140.74304819999816,case_041,2,3002984,3002984,6003957,1.9993303327623457,3002984,1.9993303327623457,component_baseline,1,30557184
0,126.0173763999992,case_041,3,1998385,1998385,6003957,3.0044045566795186,1998385,3.0044045566795186,component_baseline,1,34762752
0,112.82557169999927,case_041,4,1501288,1501288,6003957,3.999204016817559,1501288,3.999204016817559,component_baseline,1,34759680
0,109.95226600000024,case_041,5,1213259,1213259,6003957,4.948619379703756,1213259,4.948619379703756,component_baseline,1,38200320
0,10.065616399995633,case_042,2,849537,849537,1686740,1.9854815034542346,849537,1.9854815034542346,component_baseline,2,6469920
0,12.429907699995965,case_042,3,567781,567781,1686740,2.97075809158813,567781,2.97075809158813,component_baseline,2,8368416
0,10.550540600001113,case_042,4,444517,444517,1686740,3.7945455404405233,444517,3.7945455404405233,component_baseline,2,8168736
0,6.740034199996444,case_042,5,362266,362266,1686740,4.656081442917635,362266,4.656081442917635,component_baseline,1,10073088
0,21.683231800001522,case_043,2,353177,353177,677656,1.918743293023045,353177,1.918743293023045,component_baseline,3,385024
0,34.09160349999729,case_043,3,268777,268777,677656,2.521257399256633,268777,2.521257399256633,component_baseline,4,279560
0,31.526188099996943,case_043,4,268777,272738,677656,2.521257399256633,269194,2.517351798331315,reuse_pack_k3,4,279560
0,35.44650120000006,case_043,5,241503,241503,677656,2.805994128437328,269612,2.5134489562779105,valley_w4,5,6133260
0,1.3469782000029227,case_044,2,74488,131105,154407,2.072911072924498,131105,1.1777354029213225,data_band_w3,3,1976544
0,1.1469885999977123,case_044,3,75633,131105,154407,2.0415294910951567,123553,1.2497227910289512,data_band_w5,3,2559168
0,1.1094685000061872,case_044,4,82428,131105,154407,1.8732348231183578,124268,1.2425322689670713,data_band_w6,3,3227680
0,1.0679716000013286,case_044,5,92751,131105,154407,1.6647475498916453,132892,1.161898383649881,data_band_w8,3,4059520
